Áfríkà	África
3088 Jinxiuzhonghua	3088 Jinxiuzhonghua
3089 Oujianquan	3089 Oujianquan
Benigno Ferreira	Benigno Ferreira
3091 van den Heuvel	3091 van den Heuvel
309 Fraternitas	309 Fraternitas
3092 Herodotus	3092 Herodotus
3093 Bergholz	3093 Bergholz
3097 Tacitus	3097 Tacitus
3098 van Sprang	3098 van Sprang
Colin Powell	Colin Powell
3099 Hergenrother	3099 Hergenrother
31 Euphrosyne	31 Euphrosyne
310 Margarita	310 Margarita
3106 Morabito	3106 Morabito
311 Claudia	311 Claudia
312 Pierretta	312 Pierretta
3124 Kansas	3124 Kansas
313 Chaldaea	313 Chaldaea
3132 Landgraf	3132 Landgraf
3134 Kostinsky	3134 Kostinsky
3136 Anshan	3136 Anshan
3139 Shantou	3139 Shantou
314 Rosalia	314 Rosalia
3142 Kilopi	3142 Kilopi
Gene Hackman	Gene Hackman
3164 Prast	3164 Prast
3166 Klondike	3166 Klondike
3171 Wangshouguan	3171 Wangshouguan
317 Roxane	317 Roxane
3173 McNaught	3173 McNaught
3174 Alcock	3174 Alcock
3181 Ahnert	3181 Ahnert
318 Magdalena	318 Magdalena
3184 Raab	3184 Raab
3187 Dalian	3187 Dalian
Frédéric Joliot-Curie	Frédéric Joliot-Curie
3192 A'Hearn	3192 A'Hearn
319 Leona	319 Leona
3193 Elliot	3193 Elliot
320 Katharina	320 Katharina
32 Pomona	32 Pomona
3201 Sijthoff	3201 Sijthoff
3202 Graff	3202 Graff
3206 Wuhan	3206 Wuhan
3211 Louispharailda	3211 Louispharailda
321 Florentina	321 Florentina
3212 Agricola	3212 Agricola
3218 Delphine	3218 Delphine
3220 Murayama	3220 Murayama
322 Phaeo	322 Phaeo
3221 Changshi	3221 Changshi
3222 Liller	3222 Liller
3223 Forsius	3223 Forsius
3226 Plinius	3226 Plinius
3228 Pire	3228 Pire
3229 Solnhofen	3229 Solnhofen
3239 Meizhou	3239 Meizhou
323 Brucia	323 Brucia
324 Bamberga	324 Bamberga
3241 Yeshuhua	3241 Yeshuhua
3245 Jensch	3245 Jensch
3251 Eratosthenes	3251 Eratosthenes
3254 Bus	3254 Bus
3258 Somnium	3258 Somnium
326 Tamara	326 Tamara
327 Columbia	327 Columbia
3272 Tillandz	3272 Tillandz
3275 Oberndorfer	3275 Oberndorfer
3277 Aaronson	3277 Aaronson
3279 Solon	3279 Solon
3281 Maupertuis	3281 Maupertuis
3290 Azabu	3290 Azabu
329 Svea	329 Svea
3292 Sather	3292 Sather
3293 Rontaylor	3293 Rontaylor
3294 Carlvesely	3294 Carlvesely
3297 Hong Kong	3297 Hong Kong
330 Adalberta	330 Adalberta
33 Polyhymnia	33 Polyhymnia
3300 McGlasson	3300 McGlasson
3314 Beals	3314 Beals
331 Etheridgea	331 Etheridgea
3316 Herzberg	3316 Herzberg
3318 Blixen	3318 Blixen
3329 Golay	3329 Golay
332 Siri	332 Siri
3335 Quanzhou	3335 Quanzhou
333 Badenia	333 Badenia
334 Chicago	334 Chicago
3346 Gerla	3346 Gerla
335 Roberta	335 Roberta
3350 Scobee	3350 Scobee
3352 McAuliffe	3352 McAuliffe
6665 Kagawa	6665 Kagawa
3355 Onizuka	3355 Onizuka
6699 Igaueno	6699 Igaueno
6660 Matsumoto	6660 Matsumoto
3356 Resnik	3356 Resnik
336 Lacadiera	336 Lacadiera
Thomas Carlyle	Thomas Carlyle
George Marshall	George Marshall
3377 Lodewijk	3377 Lodewijk
337 Devosa	337 Devosa
3378 Susanvictoria	3378 Susanvictoria
338 Budrosa	338 Budrosa
3380 Awaji	3380 Awaji
3381 Mikkola	3381 Mikkola
3388 Tsanghinchi	3388 Tsanghinchi
3394 Banno	3394 Banno
3396 Muazzez	3396 Muazzez
3398 Stättmayer	3398 Stattmayer
34 Circe	34 Circe
340 Eduarda	340 Eduarda
3400 Aotearoa	3400 Aotearoa
3405 Daiwensai	3405 Daiwensai
3409 Abramov	3409 Abramov
3421 Yangchenning	3421 Yangchenning
342 Endymion	342 Endymion
3425 Hurukawa	3425 Hurukawa
3426 Seki	3426 Seki
3427 Szentmártoni	3427 Szentmartoni
Frederick Sanger	Frederick Sanger
3437 Kapitsa	3437 Kapitsa
343 Ostara	343 Ostara
344 Desiderata	344 Desiderata
3449 Abell	3449 Abell
345 Tercidina	345 Tercidina
3462 Zhouguangzhao	3462 Zhouguangzhao
346 Hermentaria	346 Hermentaria
3463 Kaokuen	3463 Kaokuen
3468 Urgenta	3468 Urgenta
Ìrànwọ́:Báwo lẹṣe le ṣe àtúnṣe ojúewé	Ajuda:Guia de edição/Formatação
3476 Dongguan	3476 Dongguan
347 Pariana	347 Pariana
3485 Barucci	3485 Barucci
348 May	348 May
3491 Fridolin	3491 Fridolinho
349 Dembowska	349 Dembowska
3494 Purple Mountain	3494 Purple Mountain
3497 Innanen	3497 Innanen
3499 Hoppe	3499 Hoppe
35 Leukothea	35 Leukothea
350 Ornamenta	350 Ornamenta
3500 Kobayashi	3500 Kobayashi
Nicolas Steno	Nicolaus Steno
3502 Huangpu	3502 Huangpu
3508 Pasternak	3508 Pasternak
Süleyman Demirel	Süleyman Demirel
3509 Sanshui	3509 Sanshui
3513 Quqinyue	3513 Quqinyue
351 Yrsa	351 Yrsa
François Englert	François Englert
3519 Ambiorix	3519 Ambiorix
3522 Becker	3522 Becker
3524 Schulz	3524 Schulz
353 Ruperto-Carola	353 Ruperto-Carola
3534 Sax	3534 Sax
Constantine 2k ilẹ̀ Gríìsì	Constantino II da Grécia
3538 Nelsonia	3538 Nelsonia
3539 Weimar	3539 Weimar
354 Eleonora	354 Eleonora
3542 Tanjiazhen	3542 Tanjiazhen
3543 Ningbo	3543 Ningbo
Semerkhet	Semempsés
STS-59	STS-59
Eduard Kokoity	Eduard Kokoity
355 Gabriella	355 Gabriella
Frederik Willem de Klerk	Frederik Willem de Klerk
Hotepsekhemwy	Hetepsekhemui
Qa'a	Kaa
Den (fáráò)	Den
3556 Lixiaohua	3556 Lixiaohua
Nynetjer	Nynetjer
Djet	Djet
3560 Chenqian	3560 Chenqian
356 Liguria	356 Liguria
3563 Canterbury	3563 Canterbury
3567 Alvema	3567 Alvema
3568 ASCII	3568 ASCII
Pápá Ọkọ̀ Òfurufú Pleiku	Aeroporto de Pleiku
3570 Wuyeesun	3570 Wuyeesun
357 Ninina	357 Ninina
3573 Holmberg	3573 Holmberg
358 Apollonia	358 Apollonia
3582 Cyrano	3582 Cyrano
3590 Holst	3590 Holst
3597 Kakkuri	3597 Kakkuri
Fernando Lugo	Fernando Lugo
360 Carlova	360 Carlova
3604 Berkhuijsen	3604 Berkhuijsen
3605 Davy	3605 Davy
3606 Pohjola	3606 Pohjola
3609 Liloketai	3609 Liloketai
Pópù Benedict 1k	Papa Bento I
361 Bononia	361 Bononia
3611 Dabu	3611 Dabu
Pópù Pelagius 2k	Papa Pelágio II
3613 Kunlun	3613 Kunlun
362 Havnia	362 Havnia
George Papandreou	Geórgios Papandréu (1952)
3626 Ohsaki	3626 Ohsaki
363 Padua	363 Padua
3641 Williams Bay	3641 Williams Bay
3643 Tienchanglin	3643 Tienchanglin
3644 Kojitaku	3644 Kojitaku
36446 Cinodapistoia	36446 Cinodapistoia
Leonel Fernández	Leonel Fernández
3650 Kunming	3650 Kunming
365 Corduba	365 Corduba
3654 AAS	3654 AAS
366 Vincentina	366 Vincentina
3663 Tisserand	3663 Tisserand
3664 Anneres	3664 Anneres
367 Amicitia	367 Amicitia
Josephine Baker	Josephine Baker
3678 Mongmanwai	3678 Mongmanwai
Pierre Laval	Pierre Laval
3683 Baumann	3683 Baumann
368 Haidea	368 Haidea
369 Aëria	369 Aeria
3693 Barringer	3693 Barringer
370 Modestia	370 Modestia
3704 Gaoshiqi	3704 Gaoshiqi
3707 Schröter	3707 Schroter
3718 Dunbar	3718 Dunbar
3722 Urata	3722 Urata
372 Palma	372 Palma
3729 Yangzhou	3729 Yangzhou
3734 Waland	3734 Waland
373 Melusina	373 Melusina
Yousaf Raza Gillani	Yousuf Raza Gillani
3745 Petaev	3745 Petaev
374 Burgundia	374 Burgundia
3746 Heyuan	3746 Heyuan
3749 Balam	3749 Balam
3752 Camillo	3752 Camillo
375 Ursula	375 Ursula
3755 Lecointe	3755 Lecointe
3761 Romanskaya	3761 Romanskaya
376 Geometria	376 Geometria
3763 Qianxuesen	3763 Qianxuesen
3768 Monroe	3768 Monroe
377 Campania	377 Campania
3771 Alexejtolstoj	3771 Alexejtolstoj
3776 Vartiovuori	3776 Vartiovuori
378 Holmia	378 Holmia
3780 Maury	3780 Maury
3784 Chopin	3784 Chopin
3790 Raywilson	3790 Raywilson
3792 Preston	3792 Preston
3798 de Jager	3798 de Jager
38 Leda	38 Leda
380 Fiducia	380 Fiducia
August Krogh	Schack August Steenberg Krogh
3807 Pagels	3807 Pagels
3808 Tempel	3808 Tempel
3811 Karma	3811 Karma
381 Myrrha	381 Myrrha
3812 Lidaksum	3812 Lidaksum
3825 Nürnberg	3825 Nurnberg
382 Dodona	382 Dodona
Tiye	Tiy
384 Burdigala	384 Burdigala
3844 Lujiaxi	3844 Lujiaxi
3851 Alhambra	3851 Alhambra
385 Ilmatar	385 Ilmatar
3859 Börngen	3859 Borngen
386 Siegena	386 Siegena
3868 Mendoza	3868 Mendoza
387 Aquitania	387 Aquitania
3872 Akirafujii	3872 Akirafujii
3877 Braes	3877 Braes
388 Charybdis	388 Charybdis
3881 Doumergua	3881 Doumergua
3883 Verbano	3883 Verbano
3884 Alferov	3884 Alferov
3887 Gerstner	3887 Gerstner
3889 Menshikov	3889 Menshikov
Carl Gustaf Emil Mannerheim	Carl Gustaf Emil Mannerheim
3890 Bunin	3890 Bunin
389 Industria	389 Industria
3892 Dezsö	3892 Dezso
3896 Pordenone	3896 Pordenone
3897 Louhi	3897 Louhi
Kgalema Motlanthe	Kgalema Motlanthe
3899 Wichterle	3899 Wichterle
39 Laetitia	39 Letícia
László Sólyom	László Sólyom
3901 Nanjingdaxue	3901 Nanjingdaxue
3902 Yoritomo	3902 Yoritomo
3907 Kilmartin	3907 Kilmartin
3908 Nyx	3908 Nyx
3911 Otomo	3911 Otomo
3915 Fukushima	3915 Fukushima
3917 Franz Schubert	3917 Franz Schubert
Fouad Mebazaa	Fouad Mebazaâ
392 Wilhelmina	392 Wilhelmina
3924 Birch	3924 Birch
Djer	Djer
3928 Randa	3928 Randa
Ismail Haniyeh	Ismail Haniya
Mohamed Nasheed	Mohamed Nasheed
393 Lampetia	393 Lampetia
3936 Elst	3936 Elst
Joan Miró	Joan Miró
Theodor Adorno	Theodor W. Adorno
395 Delia	395 Delia
394 Arduina	394 Arduina
Alfred Adler	Alfred Adler
3953 Perth	3953 Perth
39558 Kishine	39558 Kishine
3957 Sugie	3957 Sugie
3958 Komendantov	3958 Komendantov
3960 Chaliubieju	3960 Chaliubieju
396 Aeolia	396 Aeolia
397 Vienna	397 Vienna
398 Admete	398 Admete
399 Persephone	399 Persephone
Alva Myrdal	Alva Reimer Myrdal
2811 Střemchoví	2811 Stremchovi
40 Harmonia	40 Harmonia
Gunnar Myrdal	Gunnar Myrdal
4001 Ptolemaeus	4001 Ptolemaeus
400 Ducrosa	400 Ducrosa
4002 Shinagawa	4002 Shinagawa
4003 Schumann	4003 Schumann
4004 List'ev	4004 List'ev
4005 Dyagilev	4005 Dyagilev
4006 Sandler	4006 Sandler
4008 Corbin	4008 Corbin
4009 Drobyshevskij	4009 Drobyshevskij
4010 Nikol'skij	4010 Nikol'skij
401 Ottilia	401 Ottilia
4011 Bakharev	4011 Bakharev
4012 Geballe	4012 Geballe
4013 Ogiria	4013 Ogiria
4014 Heizman	4014 Heizman
Nina Badrić	Nina Badrić
4016 Sambre	4016 Sambre
4017 Disneya	4017 Disneya
4018 Bratislava	4018 Bratislava
4019 Klavetter	4019 Klavetter
4020 Dominique	4020 Dominique
3628 Božněmcová	3628 Boznemcova
402 Chloë	402 Chloe
4021 Dancey	4021 Dancey
Alfredo Stroessner	Alfredo Stroessner
4022 Nonna	4022 Nonna
4023 Jarník	4023 Jarnik
4024 Ronan	4024 Ronan
4025 Ridley	4025 Ridley
4026 Beet	4026 Beet
4027 Mitton	4027 Mitton
4028 Pancratz	4028 Pancratz
4029 Bridges	4029 Bridges
4030 Archenhold	4030 Archenhold
403 Cyane	403 Cyane
4031 Mueller	4031 Mueller
4032 Chaplygin	4032 Chaplygin
4033 Yatsugatake	4033 Yatsugatake
4036 Whitehouse	4036 Whitehouse
4037 Ikeya	4037 Ikeya
4038 Kristina	4038 Kristina
4039 Souseki	4039 Souseki
4040 Purcell	4040 Purcell
404 Arsinoë	404 Arsinoe
4041 Miyamotoyohko	4041 Miyamotoyohko
4042 Okhotsk	4042 Okhotsk
4043 Perolof	4043 Perolof
4044 Erikhøg	4044 Erikhog
4045 Lowengrub	4045 Lowengrub
4046 Swain	4046 Swain
4048 Samwestfall	4048 Samwestfall
4049 Noragal'	4049 Noragal'
405 Thia	405 Thia
4050 Mebailey	4050 Mebailey
4052 Crovisier	4052 Crovisier
4051 Hatanaka	4051 Hatanaka
4053 Cherkasov	4053 Cherkasov
4054 Turnov	4054 Turnov
4056 Timwarner	4056 Timwarner
4058 Cecilgreen	4058 Cecilgreen
4059 Balder	4059 Balder
406 Erna	406 Erna
4061 Martelli	4061 Martelli
4062 Schiaparelli	4062 Schiaparelli
4064 Marjorie	4064 Marjorie
4066 Haapavesi	4066 Haapavesi
4067 Mikhel'son	4067 Mikhel'son
4069 Blakee	4069 Blakee
4071 Rostovdon	4071 Rostovdon
407 Arachne	407 Arachne
4072 Yayoi	4072 Yayoi
4073 Ruianzhongxue	4073 Ruianzhongxue
3701 Purkyně	3701 Purkyne
4074 Sharkov	4074 Sharkov
4075 Sviridov	4075 Sviridov
4076 Dörffel	4076 Dorffel
4077 Asuka	4077 Asuka
4078 Polakis	4078 Polakis
4079 Britten	4079 Britten
4080 Galinskij	4080 Galinskij
408 Fama	408 Fama
4081 Tippett	4081 Tippett
4082 Swann	4082 Swann
4083 Jody	4083 Jody
4084 Hollis	4084 Hollis
4085 Weir	4085 Weir
4087 Pärt	4087 Part
4088 Baggesen	4088 Baggesen
4090 Říšehvězd	4090 Risehvezd
409 Aspasia	409 Aspasia
4091 Lowe	4091 Lowe
4092 Tyr	4092 Tyr
4093 Bennett	4093 Bennett
4094 Aoshima	4094 Aoshima
4095 Ishizuchisan	4095 Ishizuchisan
4096 Kushiro	4096 Kushiro
4097 Tsurugisan	4097 Tsurugisan
4098 Thraen	4098 Thraen
4100 Sumiko	4100 Sumiko
4102 Gergana	4102 Gergana
4101 Ruikou	4101 Ruikou
4103 Chahine	4103 Chahine
4104 Alu	4104 Alu
4105 Tsia	4105 Tsia
4106 Nada	4106 Nada
4107 Rufino	4107 Rufino
4108 Rakos	4108 Rakos
4109 Anokhin	4109 Anokhin
411 Xanthe	411 Xanthe
4110 Keats	4110 Keats
4111 Lamy	4111 Lamy
4112 Hrabal	4112 Hrabal
4113 Rascana	4113 Rascana
4114 Jasnorzewska	4114 Jasnorzewska
4115 Peternorton	4115 Peternorton
4116 Elachi	4116 Elachi
4117 Wilke	4117 Wilke
4118 Sveta	4118 Sveta
4119 Miles	4119 Miles
412 Elisabetha	412 Elisabetha
4120 Denoyelle	4120 Denoyelle
4121 Carlin	4121 Carlin
4122 Ferrari	4122 Ferrari
4124 Herriot	4124 Herriot
4125 Lew Allen	4125 Lew Allen
4126 Mashu	4126 Mashu
4127 Kyogoku	4127 Kyogoku
4128 UKSTU	4128 UKSTU
4129 Richelen	4129 Richelen
413 Edburga	413 Edburga
4130 Ramanujan	4130 Ramanujan
4131 Stasik	4131 Stasik
4132 Bartók	4132 Bartok
4133 Heureka	4133 Heureka
4134 Schütz	4134 Schutz
4135 Svetlanov	4135 Svetlanov
4136 Artmane	4136 Artmane
4137 Crabtree	4137 Crabtree
4139 Ul'yanin	4139 Ul'yanin
4140 Branham	4140 Branham
Raneb	Nebré
4141 Nintanlena	4141 Nintanlena
Jean Dausset	Jean Dausset
4144 Vladvasil'ev	4144 Vladvasil'ev
4145 Maximova	4145 Maximova
4146 Rudolfinum	4146 Rudolfinum
4147 Lennon	4147 Lennon
4148 McCartney	4148 McCartney
Plaek Pibulsonggram	Plaek Pibulsonggram
4149 Harrison	4149 Harrison
415 Palatia	415 Palatia
4150 Starr	4150 Starr
4151 Alanhale	4151 Alanhale
4152 Weber	4152 Weber
4153 Roburnham	4153 Roburnham
4154 Rumsey	4154 Rumsey
4155 Watanabe	4155 Watanabe
4156 Okadanoboru	4156 Okadanoboru
4157 Izu	4157 Izu
4158 Santini	4158 Santini
4159 Freeman	4159 Freeman
416 Vaticana	416 Vaticana
4160 Sabrina-John	4160 Sabrina-John
4161 Amasis	4161 Amasis
4162 SAF	4162 SAF
4163 Saaremaa	4163 Saaremaa
4164 Shilov	4164 Shilov
4165 Didkovskij	4165 Didkovskij
4166 Pontryagin	4166 Pontryagin
4167 Riemann	4167 Riemann
4168 Millan	4168 Millan
4169 Celsius	4169 Celsius
417 Suevia	417 Suevia
4170 Semmelweis	4170 Semmelweis
4171 Carrasco	4171 Carrasco
4172 Rochefort	4172 Rochefort
4173 Thicksten	4173 Thicksten
4174 Pikulia	4174 Pikulia
4175 Billbaum	4175 Billbaum
4176 Sudek	4176 Sudek
Fay Bainter	Fay Bainter
4177 Kohman	4177 Kohman
Tanga, Tanzania	Tanga (Tanzânia)
418 Alemannia	418 Alemannia
4181 Kivi	4181 Kivi
4182 Mount Locke	4182 Mount Locke
4184 Berdyayev	4184 Berdyayev
4185 Phystech	4185 Phystech
4186 Tamashima	4186 Tamashima
4187 Shulnazaria	4187 Shulnazaria
4188 Kitezh	4188 Kitezh
4189 Sayany	4189 Sayany
George 2k ilẹ̀ Gríìsì	Jorge II da Grécia
4190 Kvasnica	4190 Kvasnica
419 Aurelia	419 Aurelia
4191 Assesse	4191 Assesse
4192 Breysacher	4192 Breysacher
4193 Salanave	4193 Salanave
4194 Sweitzer	4194 Sweitzer
4195 Esambaev	4195 Esambaev
4196 Shuya	4196 Shuya
4198 Panthera	4198 Panthera
4199 Andreev	4199 Andreev
420 Bertholda	420 Bertholda
4200 Shizukagozen	4200 Shizukagozen
4201 Orosz	4201 Orosz
4203 Brucato	4203 Brucato
4204 Barsig	4204 Barsig
4206 Verulamium	4206 Verulamium
4207 Chernova	4207 Chernova
4208 Kiselev	4208 Kiselev
4209 Briggs	4209 Briggs
4210 Isobelthompson	4210 Isobelthompson
421 Zähringia	421 Zahringia
4211 Rosniblett	4211 Rosniblett
4212 Sansyu-Asuke	4212 Sansyu-Asuke
4213 Njord	4213 Njord
4214 Veralynn	4214 Veralynn
4215 Kamo	4215 Kamo
4216 Neunkirchen	4216 Neunkirchen
4217 Engelhardt	4217 Engelhardt
Maximilian Schell	Maximilian Schell
4218 Demottoni	4218 Demottoni
4219 Nakamura	4219 Nakamura
4220 Flood	4220 Flood
4221 Picasso	4221 Picasso
4222 Nancita	4222 Nancita
Emmanuel Levinas	Emmanuel Levinas
4223 Shikoku	4223 Shikoku
4224 Susa	4224 Susa
4226 Damiaan	4226 Damiaan
4227 Kaali	4227 Kaali
4228 Nemiro	4228 Nemiro
4229 Plevitskaya	4229 Plevitskaya
4230 van den Bergh	4230 van den Bergh
4231 Fireman	4231 Fireman
4232 Aparicio	4232 Aparicio
4233 Pal'chikov	4233 Pal'chikov
4234 Evtushenko	4234 Evtushenko
4235 Tatishchev	4235 Tatishchev
4236 Lidov	4236 Lidov
4237 Raushenbakh	4237 Raushenbakh
4238 Audrey	4238 Audrey
4239 Goodman	4239 Goodman
4240 Grün	4240 Grun
424 Gratia	424 Gratia
4241 Pappalardo	4241 Pappalardo
4242 Brecher	4242 Brecher
4243 Nankivell	4243 Nankivell
4244 Zakharchenko	4244 Zakharchenko
4245 Nairc	4245 Nairc
4246 Telemann	4246 Telemann
4247 Grahamsmith	4247 Grahamsmith
4248 Ranald	4248 Ranald
4249 Křemže	4249 Kremze
Georges Charpak	Georges Charpak
425 Cornelia	425 Cornelia
4250 Perun	4250 Perun
4251 Kavasch	4251 Kavasch
Edward Victor Appleton	Edward Appleton
4253 Märker	4253 Marker
4254 Kamél	4254 Kamel
John Robert Schrieffer	John Robert Schrieffer
4255 Spacewatch	4255 Spacewatch
4256 Kagamigawa	4256 Kagamigawa
Jack Steinberger	Jack Steinberger
4258 Ryazanov	4258 Ryazanov
Albert Fert	Albert Fert
426 Hippo	426 Hippo
4260 Yanai	4260 Yanai
4261 Gekko	4261 Gekko
4263 Abashiri	4263 Abashiri
4264 Karljosephine	4264 Karljosephine
4265 Kani	4265 Kani
4266 Waltari	4266 Waltari
4267 Basner	4267 Basner
4268 Grebenikov	4268 Grebenikov
4269 Bogado	4269 Bogado
427 Galene	427 Galene
4270 Juanvictoria	4270 Juanvictoria
4272 Entsuji	4272 Entsuji
4271 Novosibirsk	4271 Novosibirsk
4274 Karamanov	4274 Karamanov
4273 Dunhuang	4273 Dunhuang
4277 Holubov	4277 Holubov
4278 Harvey	4278 Harvey
4279 De Gasparis	4279 De Gasparis
Agbègbè Singida	Singida (região)
4280 Simonenko	4280 Simonenko
Agbègbè Rukwa	Rukwa (região)
4281 Pounds	4281 Pounds
Agbègbè Tabora	Tabora (região)
4282 Endate	4282 Endate
Agbègbè Shinyanga	Shinyanga (região)
4283 Stöffler	4283 Stoffler
4284 Kaho	4284 Kaho
4285 Hulkower	4285 Hulkower
4286 Rubtsov	4286 Rubtsov
4289 Biwako	4289 Biwako
429 Lotis	429 Lotis
4290 Heisei	4290 Heisei
4291 Kodaihasu	4291 Kodaihasu
4292 Aoba	4292 Aoba
4293 Masumi	4293 Masumi
4294 Horatius	4294 Horatius
4295 Wisse	4295 Wisse
4296 van Woerkom	4296 van Woerkom
4297 Eichhorn	4297 Eichhorn
4299 WIYN	4299 WIYN
430 Hybris	430 Hybris
4300 Marg Edmondson	4300 Marg Edmondson
4302 Markeev	4302 Markeev
4303 Savitskij	4303 Savitskij
4304 Geichenko	4304 Geichenko
4305 Clapton	4305 Clapton
4306 Dunaevskij	4306 Dunaevskij
4307 Cherepashchuk	4307 Cherepashchuk
4308 Magarach	4308 Magarach
4309 Marvin	4309 Marvin
4310 Strömholm	4310 Stromholm
4311 Zguridi	4311 Zguridi
4312 Knacke	4312 Knacke
Makarios III	Makarios III
4313 Bouchet	4313 Bouchet
4315 Pronik	4315 Pronik
4316 Babinkova	4316 Babinkova
4317 Garibaldi	4317 Garibaldi
4319 Jackierobinson	4319 Jackierobinson
432 Pythia	432 Pythia
4320 Jarosewich	4320 Jarosewich
4321 Zero	4321 Zero
4322 Billjackson	4322 Billjackson
4323 Hortulus	4323 Hortulus
4325 Guest	4325 Guest
4326 McNally	4326 McNally
4327 Ries	4327 Ries
4328 Valina	4328 Valina
4330 Vivaldi	4330 Vivaldi
4331 Hubbard	4331 Hubbard
4332 Milton	4332 Milton
4333 Sinton	4333 Sinton
4335 Verona	4335 Verona
4336 Jasniewicz	4336 Jasniewicz
4337 Arecibo	4337 Arecibo
4338 Velez	4338 Velez
4339 Almamater	4339 Almamater
4340 Dence	4340 Dence
434 Hungaria	434 Hungaria
4342 Freud	4342 Freud
4343 Tetsuya	4343 Tetsuya
4345 Rachmaninoff	4345 Rachmaninoff
4346 Whitney	4346 Whitney
4347 Reger	4347 Reger
4349 Tibúrcio	4349 Tibúrcio
435 Ella	435 Ella
4350 Shibecha	4350 Shibecha
4351 Nobuhisa	4351 Nobuhisa
4352 Kyoto	4352 Kyoto
4353 Onizaki	4353 Onizaki
4354 Euclides	4354 Euclides
4355 Memphis	4355 Memphis
4356 Marathon	4356 Marathon
4357 Korinthos	4357 Korinthos
4358 Lynn	4358 Lynn
Elinor Ostrom	Elinor Ostrom
4360 Xuyi	4360 Xuyi
436 Patricia	436 Patricia
4361 Nezhdanova	4361 Nezhdanova
4362 Carlisle	4362 Carlisle
4363 Sergej	4363 Sergej
4364 Shkodrov	4364 Shkodrov
4365 Ivanova	4365 Ivanova
4366 Venikagan	4366 Venikagan
43669 Winterthur	43669 Winterthur
4367 Meech	4367 Meech
4368 Pillmore	4368 Pillmore
4369 Seifert	4369 Seifert
437 Rhodia	437 Rhodia
4370 Dickens	4370 Dickens
4371 Fyodorov	4371 Fyodorov
4372 Quincy	4372 Quincy
4373 Crespo	4373 Crespo
4374 Tadamori	4374 Tadamori
Alcide De Gasperi	Alcide De Gasperi
4375 Kiyomori	4375 Kiyomori
4376 Shigemori	4376 Shigemori
4377 Koremori	4377 Koremori
4378 Voigt	4378 Voigt
4379 Snelling	4379 Snelling
438 Zeuxo	438 Zeuxo
4380 Geyer	4380 Geyer
4381 Uenohara	4381 Uenohara
4382 Stravinsky	4382 Stravinsky
4383 Suruga	4383 Suruga
4385 Elsässer	4385 Elsasser
4386 Lüst	4386 Lust
4387 Tanaka	4387 Tanaka
4388 Jürgenstock	4388 Jurgenstock
4389 Durbin	4389 Durbin
Nikolaas Tinbergen	Nikolaas Tinbergen
439 Ohio	439 Ohio
4390 Madreteresa	4390 Madreteresa
4391 Balodis	4391 Balodis
4392 Agita	4392 Agita
4393 Dawe	4393 Dawe
4394 Fritzheide	4394 Fritzheide
4395 Danbritt	4395 Danbritt
4396 Gressmann	4396 Gressmann
4397 Jalopez	4397 Jalopez
4398 Chiara	4398 Chiara
4399 Ashizuri	4399 Ashizuri
4400 Bagryana	4400 Bagryana
440 Theodora	440 Theodora
4402 Tsunemori	4402 Tsunemori
4403 Kuniharu	4403 Kuniharu
4404 Enirac	4404 Enirac
4405 Otava	4405 Otava
4406 Mahler	4406 Mahler
4407 Taihaku	4407 Taihaku
4409 Kissling	4409 Kissling
Yunifásítì ìlú Tübingen	Universidade de Tubinga
441 Bathilde	441 Bathilde
4412 Chephren	4412 Chephren
4411 Kochibunkyo	4411 Kochibunkyo
4413 Mycerinos	4413 Mycerinos
4415 Echnaton	4415 Echnaton
4416 Ramses	4416 Ramses
4417 Lecar	4417 Lecar
4418 Fredfranklin	4418 Fredfranklin
4419 Allancook	4419 Allancook
4420 Alandreev	4420 Alandreev
4421 Kayor	4421 Kayor
4422 Jarre	4422 Jarre
4423 Golden	4423 Golden
4424 Arkhipova	4424 Arkhipova
4426 Roerich	4426 Roerich
Mungu ibariki Afrika	Mungu ibariki Afrika
4427 Burnashev	4427 Burnashev
4428 Khotinok	4428 Khotinok
4429 Chinmoy	4429 Chinmoy
4430 Govorukhin	4430 Govorukhin
443 Photographica	443 Photographica
4431 Holeungholee	4431 Holeungholee
4432 McGraw-Hill	4432 McGraw-Hill
4433 Goldstone	4433 Goldstone
4434 Nikulin	4434 Nikulin
4437 Yaroshenko	4437 Yaroshenko
4438 Sykes	4438 Sykes
4439 Muroto	4439 Muroto
4440 Tchantchès	4440 Tchantches
4441 Toshie	4441 Toshie
4442 Garcia	4442 Garcia
4444 Escher	4444 Escher
4445 Jimstratton	4445 Jimstratton
4446 Carolyn	4446 Carolyn
4447 Kirov	4447 Kirov
4448 Phildavis	4448 Phildavis
4449 Sobinov	4449 Sobinov
445 Edna	445 Edna
4452 Ullacharles	4452 Ullacharles
4453 Bornholm	4453 Bornholm
4454 Kumiko	4454 Kumiko
4455 Ruriko	4455 Ruriko
4456 Mawson	4456 Mawson
4457 van Gogh	4457 van Gogh
4458 Oizumi	4458 Oizumi
4459 Nusamaibashi	4459 Nusamaibashi
4460 Bihoro	4460 Bihoro
446 Aeternitas	446 Aeternitas
4461 Sayama	4461 Sayama
4462 Vaughan	4462 Vaughan
4463 Marschwarzschild	4463 Marschwarzschild
4464 Vulcano	4464 Vulcano
4465 Rodita	4465 Rodita
4466 Abai	4466 Abai
4467 Kaidanovskij	4467 Kaidanovskij
