Aafrika	África
Franz Joseph Gall	Franz Joseph Gall
Michel Martelly	Michel Martelly
Mohammed Waheed Hassan	Mohammed Waheed Hassan
Jorge Carlos Fonseca	Jorge Carlos Fonseca
Olena Savtšenko	Aliona Savchenko
Taur Matan Ruak	Taur Matan Ruak
Ali Bongo Ondimba	Ali Bongo
Tupua Tamasese Tupuola Tufuga Efi	Tuiatuia Tamese Efi
Rochus Misch	Rochus Misch
Bujar Nishani	Bujar Nishani
Gurbanguly Berdimuhammedow	Gurbanguly Berdimuhammedow
George Maxwell Richards	George Maxwell Richards
Sebastian Haffner	Sebastian Haffner
Letsie III	Letsie III do Lesoto
Johann (Saksimaa)	João da Saxónia
Otto Pérez Molina	Otto Pérez Molina
Filip Vujanović	Filip Vujanović
Rajkeswur Purryag	Kailash Purryag
Abdul Halim	Abdul Halim de Quedá
Mohammed VI	Maomé VI de Marrocos
Georg Christoph Lichtenberg	Georg Christoph Lichtenberg
Şabāḩ IV al-Aḩmad al-Jābir aş-Şabāḩ	Sabah Al-Ahmad Al-Jaber Al-Sabah
Islom Karimov	Islam Karimov
Carl Runge	Carl Runge
Joël Matip	Joël Matip
Heinrich, Preisi prints	Henrique da Prússia
Herbert Backe	Herbert Backe
Felix Steiner	Felix Steiner
Franziska van Almsick	Franziska van Almsick
Mõkola Azarov	Mykola Azarov
Wilhelm (Albaania vürst)	Guilherme de Wied
Gordon Bajnai	Gordon Bajnai
Portia Simpson-Miller	Portia Simpson-Miller
Iseseisvuspäev	Feriado nacional
Nguyễn Tấn Dũng	Nguyễn Tấn Dũng
Roland Freisler	Roland Freisler
Baldwin Spencer	Baldwin Spencer
Erich Auerbach	Erich Auerbach
Robert Fico	Robert Fico
Eugen Sandow	Eugen Sandow
Jadranka Kosor	Jadranka Kosor
Ahmed Ouyahia	Ahmed Ouyahia
Pedro Passos Coelho	Pedro Passos Coelho
Artur Rasi-zadə	Artur Rasizade
Lawrence Gonzi	Lawrence Gonzi
Sali Berisha	Sali Berisha
Sibylla	Sibila de Saxe-Coburgo-Gota
Janez Janša	Janez Janša
Valdis Dombrovskis	Valdis Dombrovskis
Hashim Thaçi	Hashim Thaçi
Jyrki Katainen	Jyrki Katainen
Andrus Ansip	Andrus Ansip
Viktor Orbán	Viktor Orbán
Lee Hsien Loong	Lee Hsien Loong
Yoshihiko Noda	Yoshihiko Noda
José Maria Neves	José Maria Neves
Helle Thorning-Schmidt	Helle Thorning-Schmidt
Sophie (Austria)	Sofia da Baviera
Muḩammad bin Rāshid Āl Maktūm	Mohammed bin Rashid Al Maktoum
Erwin Panofsky	Erwin Panofsky
Raila Odinga	Raila Odinga
Victoria (Hesseni printsess)	Vitória de Hesse
Jean-Claude Juncker	Jean-Claude Juncker
Andrius Kubilius	Andrius Kubilius
Emma (Madalmaade kuninganna)	Ema de Waldeck e Pyrmont
Jens Stoltenberg	Jens Stoltenberg
Dési Bouterse	Dési Bouterse
Yingluck Shinawatra	Yingluck Shinawatra
Nūrī al-Mālikī	Nouri al-Maliki
Najib Razak	Najib Razak
Hermann Fegelein	Hermann Fegelein
Jigme Thinley	Jigme Thinley
Dileita Mohamed Dileita	Dileita Mohamed Dileita
Hermann Lotze	Rudolf Hermann Lotze
Vlad Filat	Vlad Filat
Gedeon Burkhard	Gedeon Burkhard
Zoran Milanović	Zoran Milanović
Victor Ponta	Victor Ponta
Mizengo Pinda	Mizengo Pinda
Samuel Hinds	Sam Hinds
Dean Barrow	Dean Barrow
Amtsbergi vald	Amtsberg
Perry Christie	Perry Christie
Freundel Stuart	Freundel Stuart
Bad Schlema	Bad Schlema
Kamla Persad-Bissessar	Kamla Persad-Bissessar
Bärenstein (Saksimaa)	Bärenstein
Barnabas Sibusiso Dlamini	Barnabas Sibusiso Dlamini
Bernsbach	Bernsbach
Carlos Gomes Júnior	Carlos Gomes Júnior
Xuzhou	Xuzhou
Bockau	Bockau
Tuilaepa Sailele Malielegaoi	Tuila'epa Sailele Malielegaoi
Börnicheni vald	Börnichen
Khalīfah ibn Salmān Āl Khalīfah	Khalifa bin Salman al-Khalifa
Borstendorf	Borstendorf
Breitenbrunni vald (Saksimaa)	Breitenbrunn (Saxônia)
Pakalitha Mosisili	Pakalitha Mosisili
Ḩamad ibn Jābir Āl Thānī	Hamad bin Jassim bin Jaber Al Thani
Houston Stewart Chamberlain	Houston Stewart Chamberlain
Denzil Douglas	Denzil Douglas
Crottendorf	Crottendorf
Walter Röhrl	Walter Röhrl
Deutschneudorfi vald	Deutschneudorf
Igor Lukšić	Igor Lukšić
Drebach	Drebach
Kenny Anthony	Kenneth Anthony
Gelenau	Gelenau
Faustin-Archange Touadéra	Faustin-Archange Touadéra
Gornau vald	Gornau
Morgan Tsvangirai	Morgan Tsvangirai
Nikola Gruevski	Nikola Gruevski
Ernst Johann von Biron	Ernesto João de Biron
Großolbersdorf	Großolbersdorf
Jóhanna Sigurðardóttir	Jóhanna Sigurðardóttir
Großrückerswalde	Großrückerswalde
Bojko Borisov	Boyko Borisov
Grünhainichen	Grünhainichen
Heidersdorf	Heidersdorf
Walter Schellenberg	Walter Schellenberg
John Key	John Key
Hun Sen	Hun Sen
Mark Rutte	Mark Rutte
Königswalde vald	Königswalde
Edward I	Eduardo I de Inglaterra
Ralph Gonsalves	Ralph Gonsalves
Mildenau vald	Mildenau
Antónis Samarás	Antónis Samarás
Shavkat Mirziyoyev	Shavkat Mirziyayev
Enda Kenny	Enda Kenny
Pfaffroda	Pfaffroda
Pockau	Pockau
Roosevelt Skerrit	Roosevelt Skerrit
Schönheide vald	Schönheide
Johann Christoph Bach	Johann Christoph Bach
Josaia Voreqe Bainimarama	Frank Bainimarama
Sehmatal	Sehmatal
Sven Hannawald	Sven Hannawald
Navin Ramgoolam	Navin Ramgoolam
Seiffeni vald	Seiffen
Philémon Yang	Philémon Yang
Stützengrün	Stützengrün
Tannenbergi vald	Tannenberg (Saxônia)
‘Alī Zīdān	Ali Zidan
Kwesi Ahoomey-Zunu	Kwesi Ahoomey-Zunu
Thermalbad Wiesenbad	Thermalbad Wiesenbad
Karl Friedrich (Schleswig-Holstein-Gottorf)	Carlos Frederico, Duque de Holstein-Gottorp
Zschorlau	Zschorlau
Jeannot Ahoussou-Kouadio	Jeannot Ahoussou-Kouadio
Emmanuel Nadingar	Emmanuel Nadingar
Amama Mbabazi	Amama Mbabazi
Mohamed Said Fofana	Mohamed Saïd Fofana
Ehrenfriedersdorf	Ehrenfriedersdorf
Brigi Rafini	Brigi Rafini
Eibenstock	Eibenstock
Luc-Adolphe Tiao	Luc-Adolphe Tiao
Augustin Matata Ponyo	Augustin Matata Ponyo
Elterlein	Elterlein
Norovõn Altanhujag	Norovyn Altankhuyag
Geyer	Geyer (Saxônia)
Grünhain-Beierfeld	Grünhain-Beierfeld
U.S. Bank Tower	US Bank Tower
Abdelmalek Sellal	Abdelmalek Sellal
Johanngeorgenstadt	Johanngeorgenstadt
Muḩammad Bāsindwah	Muhammad Basindawa
Jöhstadt	Jöhstadt
Lauter	Lauter (Saxônia)
Lengefeld	Lengefeld
Arendali vald	Arendal
Lößnitz	Lößnitz
Oberwiesenthal	Oberwiesenthal
Taizhou	Taizhou (Jiangsu)
Olbernhau	Olbernhau
Scheibenberg	Scheibenberg
Schlettau	Schlettau
Schneeberg	Schneeberg (Saxônia)
Annaberg-Buchholz	Annaberg-Buchholz
Hugo Münsterberg	Hugo Münsterberg
Aue	Aue (Saxônia)
Marienberg	Marienberg (Saxônia)
Manfred Rommel	Manfred Rommel
Schwarzenberg	Schwarzenberg (Saxônia)
Thilo Sarrazin	Thilo Sarrazin
Günther Oettinger	Günther Oettinger
Michael Greis	Michael Greis
Varaždini maakond	Condado de Varaždin
Hermann von Salza (ordumeister)	Hermann von Salza
Thum	Thum
Wolkenstein	Wolkenstein
Willi Hennig	Willi Hennig
Zöblitz	Zöblitz
Zwönitz	Zwönitz
Otto Carius	Otto Carius
Zschopau	Zschopau
Wilhelm Stuckart	Wilhelm Stuckart
Mindaugas II	Mindaugas II da Lituânia
Johann Peter Eckermann	Johann Peter Eckermann
Pobershau	Pobershau
EBay	EBay
Friedrich Franz I	Frederico Francisco I de Mecklemburgo-Schwerin
Koprivnica-Križevci maakond	Condado de Koprivnica-Križevci
Heinrich Müller	Heinrich Müller
Bjelovari-Bilo gora maakond	Condado de Bjelovar-Bilogora
AMSN	AMSN
Primorje-Gora maakond	Condado Litoral-Serrano
Erik Erikson	Erik Erikson
Petro Porošenko	Petro Poroshenko
Lika-Senji maakond	Condado de Lika-Senj
Virovitica-Podravina maakond	Condado de Virovitica-Podravina
Sent	Cêntimo
Požega-Slavoonia maakond	Condado de Požega-Eslavônia
Erkki Tuomioja	Erkki Tuomioja
Brodi-Posavina maakond	Condado de Brod-Posavina
Nicolás Maduro	Nicolás Maduro
Zadari maakond	Condado de Zadar
Pastöörimine	Pasteurização
Bahreini peaminister	Primeiro-ministro do Barém
Daniel Kablan Duncan	Daniel Kablan Duncan
Osijeki-Baranja maakond	Condado de Osijek-Barânia
Merovech	Meroveu
Jiaxing	Jiaxing
Nefron	Nefrónio
Koloratuursopran	Soprano coloratura
Šibeniki-Knini maakond	Condado de Šibenik-Knin
Karel Schwarzenberg	Karel Schwarzenberg
Ahmet Davutoğlu	Ahmet Davutoğlu
Kiirsuhtlus	Mensageiro instantâneo
Dimmu Borgir	Dimmu Borgir
Sergei Lavrov	Sergey Lavrov
Vukovari-Srijemi maakond	Condado de Vukovar-Sírmia
Spliti-Dalmaatsia maakond	Condado de Split-Dalmácia
Istra maakond	Condado da Ístria
Guido Westerwelle	Guido Westerwelle
Alexandru Averescu	Alexandru Averescu
Dubrovniki-Neretva maakond	Dubrovnik-Neretva (condado)
Prantsusmaa Esimene Vabariik	Primeira República Francesa
Alexandru Marghiloman	Alexandru Marghiloman
Avigdor Lieberman	Avigdor Lieberman
Međimurje maakond	Condado de Međimurje
Diskomuusika	Música disco
Laminiinid	Laminina
Magnettakistus	Magnetorresistência
Prix Médicis	Prêmio Médicis
Hiiglaslik magnettakistus	Magnetorresistência gigante
Amon	Amon
André Schürrle	André Schürrle
Windows 1.0	Windows 1.x
Duran Duran	Duran Duran
Bourbonid	Casa de Bourbon
The Shins	The Shins
Plasmonid	Plasmon
King's Crossi tulekahju	Incêndio de King's Cross
Imipramiin	Imipramina
Amitriptüliin	Amitriptilina
Shijiazhuang	Shijiazhuang
Paternalism	Paternalismo
Slackware	Slackware
Kuriili hoovus	Corrente Oyashio
Robinho	Robinho
Liam Neeson	Liam Neeson
Hüdrasiin	Hidrazina
Cancello ed Arnone vald	Cancello ed Arnone
Louis XII	Luís XII de França
Casapesenna vald	Casapesenna
Castel Volturno	Castel Volturno
Leo IX	Papa Leão IX
Victor II	Papa Vítor II
Stephanus IX	Papa Estêvão IX
Handan Shi	Handan
Gregorius V	Papa Gregório V
Clemens II	Papa Clemente II
Friedrich Wöhler	Friedrich Wöhler
Dragoni vald	Dragoni
Ernst Röhm	Ernst Röhm
Edmund Husserl	Edmund Husserl
Johann Friedrich Blumenbach	Johann Friedrich Blumenbach
Yao Ming	Yao Ming
Daniel Brühl	Daniel Brühl
Friedrich III (Saksa keiser)	Frederico III da Alemanha
Arcade Fire	Arcade Fire
Galluccio vald	Galluccio
Hans Jürgen Eysenck	Hans Eysenck
Pandžabi keel	Língua panjabi
Robert Ley	Robert Ley
Max August Zorn	Max August Zorn
Kapsasrohi	Brassica
Puštu keel	Língua pachto
Coconino maakond	Condado de Coconino
Friedrich Wilhelm Argelander	Friedrich Wilhelm August Argelander
Pima maakond	Condado de Pima
Santa Cruzi maakond (Arizona)	Condado de Santa Cruz (Arizona)
Maricopa maakond	Condado de Maricopa
Mohave maakond	Condado de Mohave
Metssiga	Javali
Yuma maakond	Condado de Yuma (Arizona)
Suremus	Taxa de mortalidade
Araabia meri	Mar Arábico
Aeroflot	Aeroflot
Langfang	Langfang
Yavapai maakond	Condado de Yavapai
Mihhail Lomonossov	Mikhail Lomonossov
.si	.si
Baja California	Baja California
CONMEBOL	Confederação Sul-Americana de Futebol
Saastamine	Poluição
Lily Allen	Lily Allen
La Pazi maakond	Condado de La Paz
Kylie (album)	Kylie (álbum)
Karl Wilhelm Ferdinand	Carlos Guilherme Fernando de Brunswick-Wolfenbüttel
Cochise'i maakond	Condado de Cochise
Süsteem	Sistema
Hasselt	Hasselt
FSB	FSB
Päikeseelement	Célula solar
Anton de Bary	Anton de Bary
Doku Umarov	Dokka Umarov
Kaukaasia Emiraat	Emirado do Cáucaso
Otto von Kotzebue	Otto von Kotzebue
Rocchetta e Croce vald	Rocchetta e Croce
Emil Ludwig	Emil Ludwig
Sarasvatī	Sarasvati
San Cipriano d'Aversa vald	San Cipriano d'Aversa
Tuareegid	Tuaregues
Adolph Wagner	Adolph Wagner
Patsifism	Pacifismo
Karl Bühler	Karl Bühler
Billy Mays	Billy Mays
Sparanise	Sparanise
Teverola vald	Teverola
Courteney Cox	Courteney Cox
Kastratsioon	Castração
Akvamariin	Água-marinha
Trell	Furadeira
Vokk	Roda de fiar
Pireus	Pireu
Max Born	Max Born
Boriss Strugatski	Boris Strugatsky
Haswell	Haswell (microarquitetura)
Mordva lipp	Bandeira da Mordóvia
Laktoonid	Lactona
Östhammar	Östhammar
Östhammari vald	Östhammar (comuna)
Zhuhai	Zhuhai
Herbivoor	Herbívoro
Narvik	Narvik
Pioneer 10	Pioneer 10
Teadusfilosoofia	Filosofia da ciência
Sorrento poolsaar	Península Sorrentina
Mariner 10	Mariner 10
Diogenes Laertios	Diógenes Laércio
Naatriumpump	Bomba de sódio
Kosmoloogiline konstant	Constante cosmológica
Diogenes	Diógenes de Sinope
Busta Rhymes	Busta Rhymes
Michael Dawson	Michael Dawson
Bābil	Babil
Diglossia	Diglossia
Robert Redford	Robert Redford
Madutähed	Ophiuroidea
Michael Bay	Michael Bay
Ajutine valitsus	Governo provisório
Patrick Leahy	Patrick Leahy
Mercury City Tower	Mercury City Tower
Merovingid	Dinastia merovíngia
Lestalised (kalad)	Pleuronectiformes
Randy Savage	Randy Savage
Benguela hoovus	Corrente de Benguela
Zelenogorsk (Krasnojarski krai)	Zelenogorsk (Krai de Krasnoiarsk)
Demetrios Poliorketes	Demétrio I da Macedónia
Uus-Britannia	Nova Bretanha
Wicca	Wicca
Älvkarleby vald	Älvkarleby (comuna)
Kodu kullakallis	Home Sweet Homediddly-Dum-Doodily
Ratsulibliklased	Papilionidae
Sitsiilia lipp	Bandeira da Sicília
Jacob Burckhardt	Jacob Burckhardt
Bejaïa	Bugia (Argélia)
Hermann von Helmholtz	Hermann von Helmholtz
Hannah Arendt	Hannah Arendt
Gottlob Frege	Gottlob Frege
Herbert Marcuse	Herbert Marcuse
Heidi Klum	Heidi Klum
Zalaegerszeg	Zalaegerszeg
Reinhard Heydrich	Reinhard Heydrich
Albert Speer	Albert Speer
Nivhid	Nivkh
Gustav Kirchhoff	Gustav Kirchhoff
Narew	Rio Narew
Albert Suur	Alberto Magno
Karl von Frisch	Karl Ritter von Frisch
Damasus II	Papa Dâmaso II
Alaska poolsaar	Península do Alasca
Gerhard Ertl	Gerhard Ertl
Friedrich Wilhelm Joseph Schelling	Friedrich Wilhelm Joseph von Schelling
Helisev muusika (film)	The Sound of Music
Wilhelm Dilthey	Wilhelm Dilthey
Hans Frank	Hans Frank
Heinrich IV (Saksa-Rooma keiser)	Henrique IV (imperador)
Paul Tillich	Paul Tillich
Guntis Ulmanis	Guntis Ulmanis
Nepali kuningas	Lista de reis do Nepal
Michael Stich	Michael Stich
Konrad Gesner	Conrad Gessner
.sn	.sn
Chiapas	Chiapas
Veracruzi osariik	Veracruz
Kar 98k	Karabiner 98k
1150. aastad	Década de 1150
Eckhart Tolle	Eckhart Tolle
Hindustani poolsaar	Subcontinente indiano
Heinrich Barth	Heinrich Barth
Walther Darré	Richard Walter Darré
Taani lipp	Bandeira da Dinamarca
Guerrero	Guerrero
Heroiin	Heroína
Yucatán	Iucatã
Aby Warburg	Aby Warburg
Meteoriit	Meteorito
Semiootika	Semiótica
Julia Jentsch	Julia Jentsch
1030. aastad	Década de 1030
Ari'el Sharon	Ariel Sharon
Adolf I (Schleswig-Holstein-Gottorp)	Adolfo de Holstein-Gottorp
1050. aastad	Década de 1050
Johann Gustav Droysen	Johann Gustav Droysen
Aeneis	Eneida
Patt	Pecado
Kofeiin	Cafeína
Ihtüoloogia	Ictiologia
Alexander von Kluck	Alexander von Kluck
Paul Biedermann	Paul Biedermann
Christian Benteke	Christian Benteke
Walter Schottky	Walter Schottky
Martin Harnik	Martin Harnik
Terrakota	Terracota
Pagulasseisundi konventsioon	Convenção das Nações Unidas relativa ao Estatuto dos Refugiados
Maarjamaa Risti teenetemärk	Ordem da Cruz da Terra Mariana
DeAndre Jordan	DeAndre Jordan
Videviku saaga: Koidukuma - Osa 2	Amanhecer: Parte 2
Andre Lange	André Lange
Videviku saaga: Koidukuma - Osa 1	Amanhecer: Parte 1
Mary (Suurbritannia printsess)	Maria da Grã-Bretanha
Moussa Sissoko	Moussa Sissoko
Neoklassikaline koolkond	Economia neoclássica
Artur Axmann	Artur Axmann
Moritz Hermann von Jacobi	Moritz von Jacobi
Thomas Abbt	Thomas Abbt
Christian Fürchtegott Gellert	Christian Fürchtegott Gellert
Polaaralad	Região polar
Novalis	Novalis
Hermann von Keyserling	Hermann Graf Keyserling
Günter Behnisch	Günther Behnisch
Zog I	Zog I da Albânia
Ferdinand Alexander Porsche	Ferdinand Alexander Porsche
Hyazinth von Strachwitz	Hyazinth Graf Strachwitz von Gross-Zauche und Camminetz
Georg Donatus	Jorge Donatus
Philipp (Hessen)	Filipe de Hesse-Cassel
Ricarda Huch	Ricarda Huch
Arp Schnitger	Arp Schnitger
August I (Oldenburg)	Augusto de Oldemburgo
Rinat Ahmetov	Rinat Akhmetov
Ansel Adams	Ansel Adams
Skandinaavia Rahaliit	União Monetária Escandinava
C. W. Ceram	C. Walter Ceram
John Austin	John Austin (jurista)
Stephen	Estêvão de Inglaterra
Mullsortimine	Bubble sort
Filippuse evangeelium	Evangelho de Filipe
Austraalia lahtised meistrivõistlused tennises	Open da Austrália
Jeremy Bentham	Jeremy Bentham
Eberhard von Mackensen	Eberhard von Mackensen
Milano Malpensa lennujaam	Aeroporto de Milão-Malpensa
Fumigatsioon	Fumigação
Johann Christian Erxleben	Johann Christian Erxleben
Albrecht (Mainz)	Alberto de Mainz
Ashkelon	Ascalão
Saba	Cauda
Kinabalu	Monte Kinabalu
Sákis Rouvás	Sákis Rouvás
Joseph Dietzgen	Joseph Dietzgen
Ottawa jõgi	Rio Ottawa
Vene Õigeusu Kirik	Igreja Ortodoxa Russa
Pseudonüüm	Pseudónimo
Jacksoni maakond (Arkansas)	Condado de Jackson (Arkansas)
Leopold, Baieri prints	Leopoldo, príncipe da Baviera
Bradley maakond (Arkansas)	Condado de Bradley (Arkansas)
Karl von Bülow	Karl von Bülow
Cleburne'i maakond	Condado de Cleburne (Arkansas)
David Wineland	David Wineland
Al-Ma'mūn	Al-Mamun
Vassili Kandinsky	Wassily Kandinsky
Glossolaalia	Glossolalia
Walter Gropius	Walter Gropius
Walter Benjamin	Walter Benjamin
Kumõss	Kumis
Franklini maakond (Arkansas)	Condado de Franklin (Arkansas)
Melaka	Malaca (cidade)
Liibanoni seeder	Cedro-do-líbano
Architecture in Helsinki	Architecture in Helsinki
Foster the People	Foster the People
Ivor Novello auhind	Ivor Novello Awards
Perry maakond (Arkansas)	Condado de Perry (Arkansas)
Abraham a Sancta Clara	Johann Ulrich Megerle
Kurt Hahn	Kurt Hahn
Washingtoni maakond (Arkansas)	Condado de Washington (Arkansas)
Mississippi maakond	Condado de Mississippi (Arkansas)
Pulaski maakond (Arkansas)	Condado de Pulaski (Arkansas)
Oswald Külpe	Oswald Külpe
Gerd Albrecht	Gerd Albrecht
Anton Ulrich (Braunschweig-Wolfenbüttel)	António Ulrich de Brunsvique-Luneburgo
Fredi Bobič	Fredi Bobič
Nanoosake	Nanopartícula
Histamiin	Histamina
Vladimir Kuts	Vladimir Kuts
The New Pornographers	The New Pornographers
Petra Roth	Petra Roth
Johann Friedrich Eschscholtz	Johann Friedrich von Eschscholtz
Wilhelm V (Hessen-Kasseli maakrahv)	Guilherme V de Hesse-Cassel
Ludwig Hermann Alexander Chlodwig	Luís de Hesse
Reinhart Koselleck	Reinhart Koselleck
Christopher Franke	Christopher Franke
Heinrich Scheidemann	Heinrich Scheidemann
Peter Friedrich Ludwig	Pedro I de Oldemburgo
Hermann Abert	Hermann Abert
Ronny Ackermann	Ronny Ackermann
Martin Heinrich Rathke	Martin Heinrich Rathke
Maximilian zu Wied-Neuwied	Maximilian zu Wied-Neuwied
Ukulele	Ukulele
Jeffersoni maakond (Arkansas)	Condado de Jefferson (Arkansas)
Kaug-Ida Vabariik	República do Extremo Oriente
Lincolni maakond (Arkansas)	Condado de Lincoln (Arkansas)
Guanajuato	Guanajuato (cidade)
Colima osariik	Colima
August Ludwig von Schlözer	August Ludwig von Schlözer
Colima	Colima (Colima)
Kurt Koffka	Kurt Koffka
Sofie maailm	O Mundo de Sofia
X-kromosoom	Cromossoma X (humano)
Preeklampsia	Pré-eclampsia
Crittendeni maakond (Arkansas)	Condado de Crittenden (Arkansas)
Uwe Boll	Uwe Boll
Johann Arndt	Johann Arndt
Nortriptüliin	Cloridrato de Nortriptilina
Ergutustants	Animadora de torcida
Conrad Böcker	Conrad Böcker
Atsüülimine	Acilação
Jonesboro	Jonesboro (Arkansas)
Atseetaldehüüd	Etanal
Iluvõimlemine	Ginástica rítmica
Prairie maakond (Arkansas)	Condado de Prairie (Arkansas)
Rasvhapped	Ácido graxo
Ełk	Ełk
Nevada maakond (Arkansas)	Condado de Nevada (Arkansas)
IPhone 5	IPhone 5
Reisimine	Viagem
Ludwig Rudolf	Luís Rudolfo de Brunsvique-Luneburgo
Epifaania	Epiphany
Vähemuskeel	Língua minoritária
Georg Wilhelm (Braunschweig-Lüneburg)	Jorge Guilherme de Brunsvique-Luneburgo
Max Skladanowsky	Max Skladanowsky
Hans Berger	Hans Berger
Arkadi Strugatski	Arcady Strugatsky
Gustav Landauer	Gustav Landauer
Adam Ries	Adam Ries
Hortobágyi rahvuspark	Parque Nacional de Hortobágy
Mollweide valemid	Karl Mollweide
Georg (Braunschweig-Calenberg)	Jorge de Brunsvique-Luneburgo
Boxberg	Boxberg
Ulrich von Wilamowitz-Moellendorff	Ulrich von Wilamowitz-Moellendorff
Brandenburgi Dorothea	Doroteia de Brandemburgo
Johann Friedrich Struensee	Johann Friedrich Struensee
Bernd Eichinger	Bernd Eichinger
Werner Jaeger	Werner Jaeger
Lennuvägi	Força aérea
Carl Hempel	Carl Gustav Hempel
Hermann Diels	Hermann Diels
Giorgio Pantano	Giorgio Pantano
Maailma Turismiorganisatsioon	Organização Mundial de Turismo
Kurt Knispel	Kurt Knispel
Joseph Pilates	Joseph Pilates
Starnberg	Starnberg
Semej	Semey
Georg Jellinek	Georg Jellinek
Rüdiger von der Goltz	Rüdiger von der Goltz
Stanislaus Hosius	Stanisław Hozjusz
August II (Braunschweig-Wolfenbüttel)	Augusto, o Jovem, duque de Brunsvique-Luneburgo
Toyota F1	Toyota Racing
Wilhelm Worringer	Wilhelm Worringer
Daimjo	Daimiô
Friedrich Wilhelm (Braunschweig-Wolfenbüttel-Oels)	Frederico Guilherme de Brunswick-Wolfenbüttel
Ordoviitsium	Ordoviciano
Lapimaa	Lapónia
Edna St. Vincent Millay	Edna St. Vincent Millay
Porgandriisikas	Lactarius deliciosus
Afiks	Afixo
Antonov An-26	Antonov An-26
Aach	Aach
Iljušin Il-86	Ilyushin Il-86
Keskpunkt	Center
Jarvise saar	Ilha Jarvis
Polükarbonaadid	Policarbonato
Ålesund	Ålesund
Jolla	Jolla
Vanadzor	Vanadzor
Johannes Heesters	Johannes Heesters
Meririsla	Pilrito-escuro
Tower	Torre de Londres
Ferdinand Zirkel	Ferdinand Zirkel
Islandi vaba riik	Comunidade Islandesa
Amelia Sophia	Amélia da Grã-Bretanha
Peter Friedrich Georg von Holstein-Oldenburg	Jorge de Oldemburgo
Thomas Brdarić	Thomas Brdarić
Silur	Siluriano
Lennuväli	Aeródromo
Wilhelm Noorem (Braunschweig-Lüneburg)	Guilherme de Brunsvique-Luneburgo
Polaarkoordinaadid	Coordenadas polares
Iooniline side	Ligação iônica
Victor Fleming	Victor Fleming
Soome Demokraatlik Vabariik	República Democrática da Finlândia
Bert Hellinger	Bert Hellinger
Maria Sibylla Merian	Maria Sibylla Merian
Melchior Hoffmann	Melchior Hofmann
Ioonikanal	Canal iónico
Forseti	Forseti
Islandi Kuningriik	Reino da Islândia
Rootsi-Norra	Reino da Suécia e Noruega
Androgeenid	Andrógeno
Albert Leo Schlageter	Albert Leo Schlageter
Kalmari unioon	União de Kalmar
Sahara Atlas	Aurès
Endiste riikide loend	Lista de estados extintos
Soome Suurvürstiriik	Grão-Ducado da Finlândia
Nordkapi vald	Nordkapp
Germaania	Germânia
Taani-Norra	Reino da Dinamarca e Noruega
Georg Heinrich von Langsdorff	Georg Heinrich von Langsdorff
Christophorus Cellarius	Christoph Cellarius
Karakorum	Caracórum (cidade)
Leandro Damião	Leandro Damião
Yin ja yang	Yin-yang
Jay-Z	Jay-Z
Emakas (botaanika)	Pistilo
Hulk (jalgpallur)	Hulk (futebolista)
Johann Friedrich (Braunschweig-Calenberg)	João Frederico de Brunsvique-Luneburgo
Barranquilla	Barranquilla
Ludwig Büchner	Ludwig Büchner
Observatoorium	Observatório
Ernst Rudolph von Trautvetter	Ernst Rudolf von Trautvetter
Otto Kuntze	Carl Ernst Otto Kuntze
Otto Wilhelm Hermann von Abich	Otto Wilhelm Hermann von Abich
Koszalin	Koszalin
Heike Kamerlingh Onnes	Heike Kamerlingh Onnes
Descartes'i koordinaadid	Sistema de coordenadas cartesiano
Digifotoaparaat	Câmera digital
Semiidid	Semita
Elastsus	Elasticidade
Burj al-‘Arab	Burj Al Arab
Julius (Braunschweig-Wolfenbüttel)	Júlio, Duque de Braunschweig-Wolfenbüttel
Sharon Stone	Sharon Stone
Al-Qādisīyah	Al-Qadisiyyah (província)
Inglise patsient (film)	O Paciente Inglês (filme)
Ābādān	Abadan
Maarja Magdaleena	Maria Madalena
Alexander von Keyserling	Alexander von Keyserling
Adda	Rio Adda
Carl Wilhelm von Kupffer	Karl Wilhelm von Kupffer
Arvsõna	Numeral
Paul Walden	Paul Walden
Klassifikaator (keeleteadus)	Classificador nominal
Constantin Wilhelm Lambert Gloger	Constantin Wilhelm Lambert Gloger
Euroopa kaugseiresatelliit	European Remote Sensing Satellite
Pavia lahing	Batalha de Pavia
GIGN	Groupe d'Intervention de la Gendarmerie Nationale
Raphael Holzdeppe	Raphael Holzdeppe
Friedrich Ulrich	Frederico Ulrico de Brunsvique-Volfembutel
Cabernet Franc	Cabernet Franc
Sarah Connor	Sarah Connor (cantora)
Arne Friedrich	Arne Friedrich
Kaarle I	Frederico Carlos de Hesse
Eduard Mörike	Eduard Mörike
Paul Nipkow	Paul Nipkow
Moffati maakond	Condado de Moffat
Analoogarvuti	Computador analógico
Nõgilillik	Limosella
Ḩāfiz̧ullāh Amīn	Hafizullah Amin
Yverdon-les-Bains	Yverdon-les-Bains
Unity	Unity
Femen	FEMEN
Theodoros II	Teodoro II de Alexandria
Baar (Šveits)	Baar
Brugg	Brugg
Engelbergi vald	Engelberg
Elektromagnetiline impulss	Pulso eletromagnético
Meiringen	Meiringen
Konrad von Feuchtwangen	Konrad von Feuchtwangen
Bonsai	Bonsai
Wilhelm Lexis	Wilhelm Lexis
Sapipõis	Vesícula biliar
Elektrolüüs	Eletrólise
Suurtükivägi	Artilharia
