frikytu'a	África
fi'orxruki	Numididae
cagyske	Agronomia
voncimdyna'u	Quaterniões
nikaraguas. zei lalxu	Lago Nicarágua
cevni	Deidade
mluske to pijyske	Fenomenologia
tabra	Metais
cicna	Ciano
banpliske	Pragmática
baklanme	Boi-almiscarado
vlaba'u	Pronúncia
gerna selcni	Modo verbal
ve'erze'erna'u	Campo (física)
banli vlile carna xamsi brife de'i 1780moi nanca	Grande furacão de 1780
ponslakyle'u	Kana (escrita)
teingyld.	Tangled
gramin. zei banxa	Grameen Bank
bancuvysi'o	Purismo linguístico
.i mi pacna da	Eu Tenho um Sonho
ka'o	Unidade imaginária
peljma daskysmacu	Antechinus flavipes
latmo veldetri	Calendário romano
rafael.del.riegos	Rafael de Riego
poxiol	Pohjola
detri	Data
dat.seventiz.cous	That '70s Show
la cabna cedra	Era comum
la uigyn	Wigan
1812moi nanca bancu zgike sidbo selfinti	Abertura 1812
dys.uar.yv.dys.uyrldz.	A Guerra dos Mundos (livro)
nu damba befi la berstici	The Battle for Wesnoth
nenzenkai	Estado excitado
prenu	Pessoa (filosofia)
galbisybau	Alto islandês
king.kong	King Kong
keinritli	Atuação
favmapti	Homologia (biologia)
dasri pe la .mobius.	Fita de Möbius
gletu	Cópula (biologia)
parikuTIN	Paricutín
mirlyxarju	Babyrousa
lubin	Lubin
lujvo	Composição (linguística)
xalo,uin	Dia das bruxas
soliaris to cuktrnovela toi	Solaris (livro)
la nolraiseltru be la .araukanias. joi la patagonias.	Reino da Araucânia e Patagônia
andis. kafmen	Andy Kaufman
ma'a fa'u mi'a	Inclusividade (linguística)
ni'icpa	Inferência
dijyselpla	Blueprint
kreg.tomson	Craig Thompson
fyl.xous.	Full House
manri febybi'o nejni	Entalpia de vaporização
kijytcini	Estado de oxidação
leon. to skina toi	Léon (filme)
luk.besyn	Luc Besson
manri dujbi'o nejni	Calor de fusão
cimni smani cmacyje'u	Teorema do macaco infinito
glanejni sroka'e	Calor específico
manti saske	Mirmecologia
Patrícia Pillar	Patricia Pillar
sliders	Sliders
kaizers.orkestras.	Kaizers Orchestra
la jaumoi sonci	The 13th Warrior
tcadrklaipeda	Klaipėda
citri lo glibau	História da língua inglesa
ka'oske	Ciências da saúde
neptunz. to remei toi	The Neptunes
fyrd.rak.frym.dys.syn.	3rd Rock from the Sun
remna girzu	Grupo (sociologia)
gubytrusi'o	Republicanismo
krilysu'a	Estrutura cristalina
sornai ke mlemai terzba cmeci'e	Nomenclatura Internacional de Ingredientes de Cosméticos
nalseljunbau	Língua ignota
cipra mukti sampla	Test Driven Development
kampidjip.	Poverty Point
febvi	Ponto de ebulição
purdi	Jardim
kalabrian.xesybau	Dialeto greco-calabriano
dainosorz.	Dinosaurs
cionmau	Panda
dilcyna'u	Número racional
liste loi banskepre	Lista de linguistas
pyrfekt.streindjyrz.	Perfect Strangers
Category:dotygu'e	Categoria:Alemanha
Category:italias	Categoria:Itália
Category:mergu'e	Categoria:Estados Unidos
Category:rukygu'e	Categoria:Rússia
Category:kadnygu'e	Categoria:Canadá
Category:ritygu'e	Categoria:Reino Unido
Category:sangu'e	Categoria:Espanha
Category:pongu'e	Categoria:Japão
Category:sralygu'e	Categoria:Austrália
Category:mexygu'e	Categoria:México
Category:xingu'e	Categoria:Índia
Category:djogu'e	Categoria:Arábia Saudita
Category:brogu'e	Categoria:Israel
Category:turk	Categoria:Turquia
Category:nanfi'ogu'e	Categoria:África do Sul
Category:misrygu'e	Categoria:Egito
Category:iran	Categoria:Irão
Category:getygu'e	Categoria:Argentina
Category:jexygu'e	Categoria:Argélia
Category:osteraix	Categoria:Áustria
Category:kubas	Categoria:Cuba
Category:itiopias	Categoria:Etiópia
Category:bidgu'e	Categoria:Indonésia
Category:raksygu'e	Categoria:Iraque
Category:nederland	Categoria:Países Baixos
Category:nixerias	Categoria:Nigéria
Category:kisygu'e	Categoria:Paquistão
Category:polskas	Categoria:Polónia
Category:potygu'e	Categoria:Portugal
Category:singapura	Categoria:Singapura
Category:snanu zei .xanguk	Categoria:Coreia do Sul
Category:sudan	Categoria:Sudão
Category:elvetias	Categoria:Suíça
Category:tanzanias	Categoria:Tanzânia
Category:vurgu'e	Categoria:Ucrânia
Category:vietnam	Categoria:Vietname
Category:mabru	Categoria:Mamíferos
Category:termu'eske	Categoria:Física
Category:mivyske	Categoria:Biologia
Category:xumske	Categoria:Química
Category:citri	Categoria:História
Category:tutske	Categoria:Geografia
Category:lijda	Categoria:Religião
Category:gunma natmi	Categoria:Nações Unidas
Lima Duarte	Lima Duarte
Category:pijyske	Categoria:Filosofia
Category:menske	Categoria:Psicologia
Category:bu'ojda	Categoria:Budismo
Category:musyjda	Categoria:Islamismo
la xunre je blanu stizu	Cadeira Vermelha e Azul
prototaksitizi	Prototaxites
Maria Fernanda Cândido	Maria Fernanda Cândido
Marcello Antony	Marcello Antony
pacruxydinj	Castlevania
kinzbapre	Diretor de cinema
benficysi'a	Neurodiversidade
Category:na mulno	Categoria:!Esboços
Category:kulnu	Categoria:Cultura
Category:nanca	Categoria:Anos
jan,iv.jirar	Jean-Yves Girard
makykai	Magnetismo
rutrkoko	Cocos (botânica)
na'orteryratni	Massa atômica
Category:gugde	Categoria:Países
Wikipedia:administrator	Wikipédia:Administradores
Category:kazaksTAN	Categoria:Cazaquistão
Category:prenu	Categoria:Pessoas
Wikipedia:bots	Wikipédia:Robôs
Category:plajva	Categoria:Política
Category:larcu	Categoria:Arte
misrygu'e	Egito
Template:Bot	Predefinição:Robô
kadnygu'e	Canadá
Category:madjiar	Categoria:Hungria
Category:beldjym	Categoria:Bélgica
Category:tcesk.zei gubyseltru	Categoria:República Checa
Category:danmark	Categoria:Dinamarca
Category:estis	Categoria:Estónia
Category:xesygu'e	Categoria:Grécia
Category:island	Categoria:Islândia
Category:luksymbyrg	Categoria:Luxemburgo
Category:lietuvas	Categoria:Lituânia
Category:maltas	Categoria:Malta
Category:sueriges	Categoria:Suécia
Category:slovensk	Categoria:Eslováquia
Category:slovEni,as	Categoria:Eslovénia
Category:samselkei	Categoria:Jogos eletrônicos
Category:maikrosaft	Categoria:Microsoft
Category:rontu'a	Categoria:Europa
Template:Documentation	Predefinição:Documentação
Category:pilno admin	Categoria:!Administradores
Category:pilno bangu	Categoria:!Wikipedistas por idioma
Wikipedia:lo mu pe'a kamju be la .uikipedias.	Wikipédia:Cinco pilares
.sung. .jae-gi.	Sung Jae-ki
Template:Softredirect	Predefinição:Pseudorredirecionamento
Template:ko vimcu	Predefinição:ER
sarar.dAni,us	Sara Danius
Category:bangu	Categoria:Línguas
Wikipedia:clinoi pe loi finselkai	Wikipédia:Livro de estilo
kanguru	Canguru
Template:!-	Predefinição:!-
Template:Clear	Predefinição:Limpar
Wikipedia:liste be le tcevai ckupau	Wikipédia:Artigos essenciais
Category:frikytu'a	Categoria:África
Category:cukta	Categoria:Livros
Template:babel	Predefinição:Babel
Template:na mulno	Predefinição:Esboço
Template:pilno de	Predefinição:User de
Template:pilno es	Predefinição:User es
Template:pilno en-3	Predefinição:User en-3
Template:pilno en-1	Predefinição:User en-1
Template:pilno en-2	Predefinição:User en-2
Template:pilno en	Predefinição:User en
Template:pilno de-2	Predefinição:User de-2
Template:pilno fr-1	Predefinição:User fr-1
Category:relma'i	Categoria:Fevereiro
Category:1957moi	Categoria:1957
Category:1949moi	Categoria:1949
Category:1927moi	Categoria:1927
Category:1919moi	Categoria:1919
Category:moldovas	Categoria:Moldávia
Category:zdotu'a	Categoria:Ásia
Category:tciles	Categoria:Chile
Category:20xyxymoi	Categoria:Século XXI
Category:ketytu'a	Categoria:América do Sul
Category:1930moi	Categoria:1930
Category:1936moi	Categoria:1936
Category:1947moi	Categoria:1947
Category:1937moi	Categoria:1937
Category:1940moi	Categoria:1940
Category:1934moi	Categoria:1934
Category:1960moi	Categoria:1960
Category:1943moi	Categoria:1943
Category:1951moi	Categoria:1951
Category:1942moi	Categoria:1942
Category:1959moi	Categoria:1959
Category:1928moi	Categoria:1928
Category:1913moi	Categoria:1913
Category:1954moi	Categoria:1954
Category:mejgu'e	Categoria:Malásia
Category:1941moi	Categoria:1941
Category:1955moi	Categoria:1955
Category:1950moi	Categoria:1950
Category:1977moi	Categoria:1977
Category:1946moi	Categoria:1946
Category:1948moi	Categoria:1948
Category:1932moi	Categoria:1932
Category:1945moi	Categoria:1945
Template:Mod	Predefinição:Mod
Category:1923moi	Categoria:1923
Category:1917moi	Categoria:1917
Category:1904moi	Categoria:1904
Category:1926moi	Categoria:1926
Category:1907moi	Categoria:1907
Template:pilno es-2	Predefinição:User es-2
Category:1908moi	Categoria:1908
Template:coi	Predefinição:Bem-vindo(a)
Category:1901moi	Categoria:1901
Category:1903moi	Categoria:1903
Category:1933moi	Categoria:1933
Category:1952moi	Categoria:1952
Category:bauske	Categoria:Linguística
Category:1911moi	Categoria:1911
Category:1906moi	Categoria:1906
Category:pilno fr-1	Categoria:Usuário fr-1
Template:frikytu'a	Predefinição:Países da África
Template:gugde datni	Predefinição:Info/País
Category:paris	Categoria:Paris
Category:pilno en	Categoria:Usuários en
Category:pilno zh	Categoria:Usuários zh
Category:xrvatskas	Categoria:Croácia
Category:pilno zh-N	Categoria:Usuário zh
Category:pilno en-2	Categoria:Usuário en-2
Template:tertcita tanxe	Predefinição:Info
Category:cagyske	Categoria:Agricultura
Category:19xyxymoi	Categoria:Século XX
Template:IPA	Predefinição:AFI
Category:18xyxymoi	Categoria:Século XIX
Template:talkback	Predefinição:Resposta
Category:1958moi	Categoria:1958
Category:1956moi	Categoria:1956
Category:1944moi	Categoria:1944
Category:pavma'i	Categoria:Janeiro
Category:1916moi	Categoria:1916
Category:1939moi	Categoria:1939
Category:mu'eske	Categoria:Cosmologia
Template:nanca cartu	Predefinição:Cabeçalho dos anos
Template:na tugni	Predefinição:Discordo
selratni liste fi lo namcu	Lista de elementos químicos
Template:suzmunski	Predefinição:Desambiguação
Category:1962moi	Categoria:1962
Category:mongolo	Categoria:Mongólia
Category:1953moi	Categoria:1953
Template:braplu	Predefinição:Continentes
Category:pilno fr	Categoria:Usuários fr
Category:pilno pt	Categoria:Usuários pt
Category:pilno fr-2	Categoria:Usuário fr-2
Category:pilno fr-N	Categoria:Usuário fr
Category:pilno de	Categoria:Usuários de
Category:pilno de-2	Categoria:Usuário de-2
Category:pilno de-N	Categoria:Usuário de
Category:pilno en-3	Categoria:Usuário en-3
Category:pilno en-N	Categoria:Usuário en
Category:pilno es	Categoria:Usuários es
Category:pilno es-N	Categoria:Usuário es
Category:168xymoi	Categoria:Década de 1680
Category:1452moi	Categoria:1452
Category:pilno pl-N	Categoria:Usuário pl
Category:sezga'o	Categoria:Autismo
Category:1812moi	Categoria:1812
Category:197xymoi	Categoria:Década de 1970
Category:189xymoi	Categoria:Década de 1890
Category:1691moi	Categoria:1691
Category:samske	Categoria:Ciência da computação
Category:solri ciste	Categoria:Sistema solar
Category:1453moi	Categoria:1453
Category:363moi	Categoria:363
Category:belrus	Categoria:Bielorrússia
Category:997moi	Categoria:997
solri barna	Mancha solar
Category:194xymoi	Categoria:Década de 1940
Category:190xymoi	Categoria:Década de 1900
Category:191xymoi	Categoria:Década de 1910
Category:192xymoi	Categoria:Década de 1920
Category:193xymoi	Categoria:Década de 1930
Category:195xymoi	Categoria:Década de 1950
Category:196xymoi	Categoria:Década de 1960
Category:198xymoi	Categoria:Década de 1980
Category:199xymoi	Categoria:Década de 1990
Category:200xymoi	Categoria:Década de 2000
Category:pilno pt-N	Categoria:Usuário pt
Category:1627moi	Categoria:1627
Category:1683moi	Categoria:1683
Category:1725moi	Categoria:1725
Category:1780moi	Categoria:1780
Category:182xymoi	Categoria:Década de 1820
Category:181xymoi	Categoria:Década de 1810
Category:185xymoi	Categoria:Década de 1850
Category:16xyxymoi	Categoria:Século XVII
Category:188xymoi	Categoria:Década de 1880
Category:172xymoi	Categoria:Década de 1720
Category:187xymoi	Categoria:Década de 1870
Category:178xymoi	Categoria:Década de 1780
Category:186xymoi	Categoria:Década de 1860
Category:179xymoi	Categoria:Década de 1790
Category:036xymoi	Categoria:Década de 360
Category:180xymoi	Categoria:Década de 1800
Category:145xymoi	Categoria:Década de 1450
Category:09xyxymoi	Categoria:Século X
Category:angol	Categoria:Angola
Category:botsuanas	Categoria:Botswana
Category:gabon	Categoria:Gabão
Category:kamerun	Categoria:Camarões
Category:kenias	Categoria:Quénia
Category:libgu'e	Categoria:Líbia
Category:morgu'e	Categoria:Marrocos
Category:mosambik	Categoria:Moçambique
Category:namibias	Categoria:Namíbia
Category:1743moi	Categoria:1743
Category:1782moi	Categoria:1782
Category:1788moi	Categoria:1788
Category:1794moi	Categoria:1794
Category:1807moi	Categoria:1807
Category:1809moi	Categoria:1809
Category:1814moi	Categoria:1814
Category:1815moi	Categoria:1815
Category:1830moi	Categoria:1830
Category:1834moi	Categoria:1834
Category:1836moi	Categoria:1836
Category:1848moi	Categoria:1848
Category:1852moi	Categoria:1852
Category:1862moi	Categoria:1862
Category:1869moi	Categoria:1869
Category:1870moi	Categoria:1870
Category:1882moi	Categoria:1882
Category:1885moi	Categoria:1885
Category:1887moi	Categoria:1887
Category:1961moi	Categoria:1961
Category:1964moi	Categoria:1964
Category:1965moi	Categoria:1965
Category:1966moi	Categoria:1966
Category:1967moi	Categoria:1967
Category:1969moi	Categoria:1969
Category:1970moi	Categoria:1970
Category:1972moi	Categoria:1972
Category:1973moi	Categoria:1973
Category:1974moi	Categoria:1974
Category:1975moi	Categoria:1975
Category:1976moi	Categoria:1976
Category:1978moi	Categoria:1978
Category:1980moi	Categoria:1980
Category:1981moi	Categoria:1981
Category:1982moi	Categoria:1982
Category:1983moi	Categoria:1983
Category:1984moi	Categoria:1984
Category:1985moi	Categoria:1985
Category:1986moi	Categoria:1986
Category:1987moi	Categoria:1987
Category:1988moi	Categoria:1988
Category:1989moi	Categoria:1989
Category:1990moi	Categoria:1990
Category:1991moi	Categoria:1991
Category:1992moi	Categoria:1992
Category:1993moi	Categoria:1993
Category:1994moi	Categoria:1994
Category:1995moi	Categoria:1995
Category:1996moi	Categoria:1996
Category:1997moi	Categoria:1997
Category:1999moi	Categoria:1999
Category:2000moi	Categoria:2000
Category:2001moi	Categoria:2001
Category:2002moi	Categoria:2002
Category:2004moi	Categoria:2004
Category:2005moi	Categoria:2005
Category:2006moi	Categoria:2006
Category:2007moi	Categoria:2007
Template:pilno pt	Predefinição:User pt
Template:pilno zh-1	Predefinição:User zh-1
Category:zambias	Categoria:Zâmbia
Category:senegal	Categoria:Senegal
Category:sieras. leon	Categoria:Serra Leoa
Category:zimbabues	Categoria:Zimbabwe
Category:somalias	Categoria:Somália
Category:tcad	Categoria:Chade
Category:ugandas	Categoria:Uganda
Category:banskepre	Categoria:Linguistas
Category:pilipinas	Categoria:Filipinas
Category:pilno zh-1	Categoria:Usuário zh-1
Category:tivni	Categoria:Televisão
Category:sixygu'e	Categoria:Síria
Category:174xymoi	Categoria:Década de 1740
Category:184xymoi	Categoria:Década de 1840
Category:099xymoi	Categoria:Década de 990
Category:13xyxymoi	Categoria:Século XIV
Category:15xyxymoi	Categoria:Século XVI
Category:03xyxymoi	Categoria:Século IV
Category:17xyxymoi	Categoria:Século XVIII
Category:1xyxyxymoi	Categoria:Segundo milénio
Category:0xyxyxymoi	Categoria:Primeiro milénio
Category:xindo ropno bangu	Categoria:Línguas indo-europeias
Category:1963moi	Categoria:1963
Category:selratni	Categoria:Elementos químicos
Category:14xyxymoi	Categoria:Século XV
Category:berti zei .xanguk	Categoria:Coreia do Norte
Category:1831moi	Categoria:1831
Category:1968moi	Categoria:1968
Category:djamaikas	Categoria:Jamaica
Category:1998moi	Categoria:1998
Category:luaos	Categoria:Laos
Category:lu'orgu'e	Categoria:Líbano
Category:nepal	Categoria:Nepal
Category:2003moi	Categoria:2003
Category:sofygu'e	Categoria:União Soviética
Category:1971moi	Categoria:1971
Category:jorgu'e	Categoria:Jordânia
Category:kostarikas	Categoria:Costa Rica
Category:surinam	Categoria:Suriname
Category:nikaraguas	Categoria:Nicarágua
Category:noreg	Categoria:Noruega
Category:panamas	Categoria:Panamá
Category:paraguais	Categoria:Paraguai
Category:lictenctain	Categoria:Liechtenstein
Category:onduras	Categoria:Honduras
Category:uruguais	Categoria:Uruguai
Category:andoras	Categoria:Andorra
Category:serbias	Categoria:Sérvia
Category:beliz	Categoria:Belize
Category:salbador	Categoria:El Salvador
Category:ekuador	Categoria:Equador
Category:perus	Categoria:Peru
Category:bolivias	Categoria:Bolívia
Category:remske	Categoria:Antropologia
Category:gudjanas	Categoria:Guiana
Category:kolombias	Categoria:Colômbia
Category:zgitci	Categoria:Instrumentos musicais
Category:timske	Categoria:Meteorologia
Category:gackle	Categoria:Gases
Category:jinkle	Categoria:Metais
Category:pilno pl	Categoria:Usuários pl
Category:dansu	Categoria:Dança
Category:162xymoi	Categoria:Década de 1620
Category:169xymoi	Categoria:Década de 1690
Category:2xyxyxymoi	Categoria:Terceiro milénio
Category:kaurpo'esi'o	Categoria:Comunismo
Category:logji	Categoria:Lógica
Category:bemtu'a	Categoria:América do Norte
Category:183xymoi	Categoria:Década de 1830
Category:guatemal	Categoria:Guatemala
najgenja	Cenoura
trojany	Trojany
Category:la'ortu'a	Categoria:América Latina
Category:skoselti'e	Categoria:Cordados
Category:skari	Categoria:Cor
Category:selpliske	Categoria:Ciências aplicadas
Category:pilno en-1	Categoria:Usuário en-1
Category:pilno de-1	Categoria:Usuário de-1
toldi	Borboleta
Special:RecentChanges	Especial:Mudanças recentes
