ئافرىقا	África
ھىندونېزىيە تىلى	Língua indonésia
موڭغۇل تىلى	Língua mongol
Baku	Baku
قازاق تىلى	Língua cazaque
قىرغىز تىلى	Língua quirguiz
تاجىك تىلى	Língua tajique
ئۆزبېك تىلى	Língua uzbeque
تۈركمەن تىلى	Língua turcomena
يەھۇدى دىنى	Judaísmo
تىمپۇ	Thimbu
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Língua hebraica
ئەزەربەيجان تىلى	Língua azeri
ماكېدون تىلى	Língua macedônia
سېرب تىلى	Língua sérvia
سېربو-كرودىيىلىكلەر تىلى	Língua servo-croata
بوسنىيە تىلى	Língua bósnia
گالىسىيەچە	Língua galega
ۋېلش تىلى	Língua galesa
دىلى	Díli
شوتلاندىيە گائېل تىلى	Língua gaélica escocesa
Wyéntyan	Vienciana
مالې	Malé
Bishkek	Bisqueque
Düshenbe	Duchambe
جىگەر	Fígado
تلا	Baço
بۆرەك	Rim
دوۋساق	Bexiga
نېرۋا سىستىمېسى	Sistema nervoso
ئوكيانىيە	Oceano
مۇھەممەد ئەلەيھىسسالام	Maomé
ئىمام ئەلغازالىي	Al-Ghazali
رىچارد نىكسون	Richard Nixon
قورساق قىسم	Abdómen
داۋجياۋ دىنى	Taoismo
سوپىزم (تەسەۋۋۇپ)	Sufismo
ۋېنا تومۇرى	Veia
بېنگال تىلى	Língua bengali
تىل	Língua
پانكرېئاتىت	Pâncreas
بويۇن	Pescoço
ئېغىز بوشلۇقى	Boca
بوغۇز	Laringe
فالكلاند تاقىم ئاراللىرى	Ilhas Malvinas
سازاڭسىمان ئۆسۈكچە	Apêndice cecal
ئېلىزابېت II	Isabel II do Reino Unido
تاڭ سۇلالىسى	Dinastia Tang
كېننېدى	John F. Kennedy
تاڭ تەيزوڭ	Imperador Taizong de Tang
بالزاك	Honoré de Balzac
مىڭ سۇلالىسى	Dinastia Ming
جۇ يۈەنجاڭ	Zhū Yuánzhāng
رېگان	Ronald Reagan
زۇلۇچە	Língua zulu
زازا تىلى	Zazaki
پلازما	Plasma
رىم گىلادىئاتورلار مەيدانى	Coliseu de Roma
Saragossa	Saragoça
Bélfast	Belfast
ئېلېمېنتلارنىڭ دەۋرىي جەەدۋىلى	Tabela periódica
قۇرۇق ئۈزۈم	Uva
ھەسەل	Mel
شېكەر	Açúcar
روبوت	Robô
ماشىنىسازلىق	Máquina
ئايلىنىش سىستېمىسى	Sistema circulatório
ئىچكى ئاجراتما سىستېمىسى	Sistema endócrino
كىسلاتا	Ácido
سارايېۋو	Sarajevo
تۇز	Sal de cozinha
فۇنكسىيە	Função (matemática)
مولېكۇلا	Molécula
ئېنېرگىيە	Energia
ئىنفرا قىزىل نۇر	Radiação infravermelha
ماسسا	Massa
مېتال	Metal
پولات	Aço
نانو تېخنىكىسى	Nanotecnologia
ئەينەك	Vidro
ۋاكۇئۇم	Vácuo
ئېلېكترون ئىلمى	Eletrônica
.توك (توك ئېقىمى)	Corrente elétrica
ئىككى پۇتلۇق لامپا	Diodo semicondutor
ئامېرىكىغا قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Ilhas Virgens Americanas
شېنياڭ شەھىرى	Shenyang
چۇڭچىڭ شەھىرى	Chongqing
تيەنجىن شەھىرى	Tianjin
Lahor	Lahore
ۋۇخەن شەھىرى	Wuhan
نۆۋەتتىكى ھادىسە	Lista de Estados soberanos
ناگويا	Nagoia
تاش قورال دەۋرى	Idade da Pedra
ئېيىق	Ursidae
فوتوسىنتېز رولى	Fotossíntese
برېتون تىلى	Língua bretã
پىرېنېي تاغلىرى	Pireneus
Détroyt	Detroit
بۇرج دۇبەي	Burj Khalifa
Sedichin Sépili	Muralha da China
ئاياسوڧيا	Santa Sofia
ئابباسىيلار خاندانلىقى	Califado Abássida
سەلىپنىڭ شەرققە يۈرۈش قىلىشى	Cruzada
موڭغۇل ئىمپېرىيىسى	Império Mongol
ئوسمان ئىمپېرىيىسى	Império Otomano
ئىسپانىيە-ئامېرىكا ئۇرۇشى	Guerra Hispano-Americana
مىللى دارامەت	Produto interno bruto
ئېلېكتر	Eletricidade
يادرو ئېنېرگىيىسى	Energia nuclear
ھور ماشىنىسى	Motor a vapor
Antwérp	Antuérpia
باش سۆڭىكى	Crânio
ئانار	Romã
ئاپېلسىن	Citrus × sinensis
دۇنيا تىلى	Língua romanche
جۇاڭزۇ تىلى	Língua zhuang
ئۇيغۇر تىلى	Língua uigur
سىنگال تىلى	Língua cingalesa
ناخۇئاتل تىلى	Língua náuatle
مونتسەررات	Montserrat
خارۋارد ئۇنىۋېرسىتېتى	Universidade Harvard
Pisa	Pisa
باشقۇرتچە	Língua bashkir
قېلىپ:Location map Earth	Predefinição:Mapa de localização/Terra
باغلانغان ئۆردەك	Le Canard enchaîné
ئەرەب تىلى	Língua árabe
كيۇسيۇ ئارىلى	Kyushu
خونسيو ئارىلى	Honshu
شىكوكۇ	Shikoku
كورسىكا ئارىلى	Córsega
ئاڧرىقانچە	Língua africâner
بۆرە بورسۇق	Glutão
ئاۋمېن	Macau
خۇ جىنتاۋ	Hu Jintao
شى جىنپىڭ	Xi Jinping
زىراپە	Girafa
شېنجېن شەھىرى	Shenzhen
گۇئاڭدوڭ ئۆلكىسى	Guangdong
گۇاڭشى جۇاڭزۇ ئاپتونۇم رايونى	Guangxi
سوۋېت ئىتتىپاقى	União Soviética
شياڭگاڭ ئۇنىۋېرستېتى	Universidade de Hong Kong
رۇبلى	Rublo
پۇت	Pé
دولا	Ombro
قالقانبەز	Tiroide
قېلىپ:Link FA	Predefinição:Link FA
Wikipedia:Tor Jamiyeti	Wikipédia:Esplanada
Wérmont Shitati	Vermont
San Diyégo	San Diego
San Xosé	San José (Califórnia)
Dénwér	Denver
Hyuston	Houston
Féniks	Phoenix (Arizona)
Dallas	Dallas
Austin	Austin
Mémfis, Ténnéssi	Memphis (Tennessee)
Sharlot	Charlotte (Carolina do Norte)
Kolumbu, Oxéo	Columbus (Ohio)
گۇاڭجۇ شەھىرى	Cantão (China)
جىياڭ جىشى	Chiang Kai-shek
ۋېن جىياباۋ	Wen Jiabao
Guam Aril	Guam
ئامېرىكىغا قاراشلىق ساموئا	Samoa Americana
شىمالىي مارىئانا فېدېراتسىيىسى	Marianas Setentrionais
نەنجىڭ شەھىرى	Nanquim
بېيجىڭ ئۇنىۋېرسىتېتى	Universidade de Pequim
ئۈرۈمچى شەھىرى	Ürümqi
جياڭسۇ ئۆلكىسى	Jiangsu
جېجياڭ ئۆلكىسى	Zhejiang
گۇئادەلوپە	Guadalupe
مارتىنىكا	Martinica
شىزاڭ ئاپتونوم رايونى	Região Autônoma do Tibete
دالاي لاما	Tenzin Gyatso
تۆگىقۇش	Avestruz
Sakraménto	Sacramento (Califórnia)
چاۋشيەن	Coreia
لى كېچياڭ	Li Keqiang
Manchéstér	Manchester
تۇركس ۋە كايكوس تاقىم ئاراللىرى	Turks e Caicos
ۋىتامىن A	Vitamina A
ياۋروپا چىمپيونلۇق لوڭقىسى	Liga dos Campeões da UEFA
Pyongyang	Pyongyang
New Testament	Novo Testamento
ئادالەت ۋە تەرەققىيات پارتىيىسى	Partido da Justiça e Desenvolvimento (Turquia)
گۈللىنىش پارتىيىسى	Partido Republicano do Povo
مىللى دارامەت بويىچە دۆلەت تەرتىپى	Lista de países por PIB nominal
خېيلوڭجياڭ ئۆلكىسى	Heilongjiang
ما يىنجىئۇ	Ma Ying-jeou
بۇخارېست	Bucareste
پوئىرتورىكان مۇستەقىللىق پارتىيىسى	Partido Independentista Portorriquenho
Tirana	Tirana
ئېشەك	Equus africanus asinus
سىچۈەن ئۆلكىسى	Sichuan
مۇھەممەر قەززافى	Muammar al-Gaddafi
بارس	Tigre
سامسۇڭ گۇرۇھى	Samsung
شىمالىي ياۋروپا	Escandinávia
كىشىنېۋ	Chișinău
بیلگیسايار مۈھەندیسلیغی	Ciência da computação
Şalom	Şalom
ئارۇبا	Aruba
خېبېي ئۆلكىسى	Hebei
پرىنسېتون ئۇنىۋېرستېتى	Universidade de Princeton
نېفىت	Petróleo
پېنسىلۋانىيە نېمىس تىلى	Alemão da Pensilvânia
پرژىۋالسكى ياۋا ئات	Cavalo-de-przewalski
قوي	Ovis
ئىرلاندىيە	Irlanda (ilha)
Chéshir	Cheshire
Nortumbér Wilayiti	Northumberland
Staffordshir	Staffordshire
ﻟﯘﺷﯜﻥ	Lu Xun (escritor)
Shimaliy Amptonshir	Northamptonshire
Bédfordshir	Bedfordshire
Kornwél	Cornualha
Bristol	Bristol
Déwonshir	Devon
خالتىلىق چاشقانلار ئائىلىسى	Macropodidae
Nashwil	Nashville (Tennessee)
Xampishir	Hampshire
Bérkshir	Berkshire
Bukkinxamshir	Buckinghamshire
Ésséks	Essex
Ként	Kent
Ulanbatur	Ulan Bator
ئېرنېست ھېمىڭۋاي	Ernest Hemingway
Idinburg	Edimburgo
ئاشخاباد	Asgabate
پىياز	Cebola
پەمىدۇر	Tomate
جورج بۇش	George H. W. Bush
بالقانلار	Bálcãs
پروتېستانت دىنى	Protestantismo
سەلەنا	Selena
Atlanta	Atlanta
بېرمۇدا	Bermudas
باش	Cabeça
ۋېللىنگتون	Wellington
روبوتلارنىڭ ئۈچ قانۇنى	Leis da Robótica
ئالفېرد نوبىل	Alfred Nobel
لیلا چڑھاو	Lila Downs
907-يىلى	907
Wankuwér	Vancouver
Liwérpol	Liverpool
Brémén	Bremen
يېڭى نورۋېگىيە تىلى	Língua nova norueguesa
پوند ستېرلىڭ	Libra esterlina
ئانگۋىللا	Anguilla
فائېروس تىل	Língua feroesa
مۈشۈك ئائىلىسى	Felidae
ISO 3166-1	ISO 3166-1
تاتار تىلى	Língua tártara
ئەنگلىيىگە قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Ilhas Virgens Britânicas
كىچىك سېسىق كۈزەنى	Mustela nivalis
فرىزانچە	Língua frísia
ئاق ئاغمىخان	Arminho
قارشىلىق	Resistência elétrica
ناۋاسسا ئاراللىرى	Ilha de Navassa
سېنت بارتھېلەمي ئاراللىرى	Coletividade de São Bartolomeu
شىمالىي گېرمانىيە دىئالېكتى	Baixo-alemão
ئاغمىخان ئائىلىسى	Mustelídeos
ساينت مارتىن	Ilha de São Martinho
بۆكەن	Antílope
قارا بۇلغۇن	Zibelina
سۈنئىي ھەمراھ	Satélite artificial
قوتاز	Iaque
ب م ۋ	BMW
Kuk Taqim Aralliri	Ilhas Cook
رەشىدە داتى	Rachida Dati
شەرقىي ئاسىيا	Ásia Oriental
ئوتتۇرا ئاسىيا	Ásia Central
ئاق تۆش بۇلغۇن	Fuinha
ئامخارا تىلى	Língua amárica
Képinek	Lepidoptera
چاچ	Pelo
ھىجرىيە كالېندارى	Calendário islâmico
جيامۇسى شەھىرى	Jiamusi
دىرىخلې	Johann Peter Gustav Lejeune Dirichlet
ئاستۇرىيە تىلى	Língua asturiana
خىتاي	China (civilização)
قاما	Lontra-europeia
چېڭدۇ شەھىر	Chengdu
يىلپىز	Leopardo-das-neves
جېڭجۇ شەھىرى	Zhengzhou
تېرېسا ئانا	Madre Teresa de Calcutá
DELL شىركىتى	Dell
فرانسىيىگە قاراشلىق پولىنېزىيە	Polinésia Francesa
618-يىلى	618
روژدېستۋو ئاراللىرى	Ilha Christmas
Krakow	Cracóvia
بېيجىڭ پايتەخت ئايروپورتى	Aeroporto Internacional de Pequim
تىراختور	Tractor Sazi Tabriz Football Club
ۋېنىسىيە تىلى	Língua vêneta
جامى	Mesquita
كورسىكا تىلى	Língua corsa
فىلىپىنچە	Língua filipina
چۇۋاش تىلى	Língua tchuvache
قرىم تاتار تىلى	Língua tártara da Crimeia
ھايتى كرېئول تىلى	Língua crioula haitiana
ياۋا تىلى	Língua javanesa
مۈشۈكئېيىق	Ailuropoda melanoleuca
قالماق تىلى	Língua calmuca
مانجۇ تىلى	Língua manchu
كانناداچە	Língua canaresa
مۇڭغۇل تىللىرى	Línguas mongólicas
پوچېركا	Mão
دۇفۇ	Du Fu
يېڭى كالېدونىيە	Nova Caledónia
ئورىياچە	Língua oriá
نېپال تىلى	Língua nepali
نېئاپول تىلى	Língua napolitana
نورمان تىلى	Língua normanda
تېئودور روزېۋېلت	Theodore Roosevelt
تېلاۋىف	Tel Aviv
Nis	Nice
سالار تىلى	Língua salar
سىتسىلىيە تىلى	Língua siciliana
ساردىنىيە تىلى	Língua sarda
ژىيۇل ۋېرن	Júlio Verne
سىندى تىلى	Língua sindi
سۇندا تىلى	Língua sundanesa
شونا تىلى	Língua chona
Niué Arili	Niue
تاگالوگ تىلى	Língua tagalo
تۈركى تىللار ئائىلىسى	Línguas turcomanas
تونگاچە	Língua tonganesa
ئۇرال تىللىرى	Línguas urálicas
تىگرىنىيەچە	Língua tigrínia
Oksford	Oxford
تۇنگۇس مانجۇ تىللىرى	Línguas tungúsicas
زاڭزۇ تىلى	Língua tibetana
ۋۇ تىلى	Língua wu
ۋىلسون	Woodrow Wilson
ياقۇت تىلى	Língua iacuta
يورۇباچە	Língua iorubá
سېسوتوچە	Língua soto do sul
Rottérdam	Roterdão
Yéngi Orléan	Nova Orleães
فۇشەن شەھىر	Foshan
ئوكسفورد ئۇنىۋېرسىتېتى	Universidade de Oxford
ئەھمىدى نىجات	Mahmoud Ahmadinejad
Saynt Xéléna Arili	Santa Helena (ilha)
بارماق	Dedo
ساينت پىئېر ئارىلى ۋە مىكېلون تاقىم ئاراللىرى	Saint-Pierre e Miquelon
ئون پەرھىز	Dez Mandamentos
Yohannésburg	Joanesburgo
قاپلان	Leopardo
Saltzburg	Salzburgo
X نۇرى	Raios X
شىنجاڭ ئۇيغۇر ئاپتونوم رايونى	Xinjiang
Albukwér kwé	Albuquerque
Oklaxoma Shehiri	Oklahoma City
برىسبان	Brisbane
ئىسساك ئاسىموۋ	Isaac Asimov
جەنۇبىي گىئورگىيە ۋە ساندۋىچ ئاراللىرى	Ilhas Geórgia do Sul e Sandwich do Sul
كۇۋائىت شەھىرى	Kuwait (cidade)
ئەرەبلەر	Árabes
سۇمېرلار	Suméria
كولومبو	Colombo
ئالمۇتا	Almaty
قانداغاي	Alce
ۋاللىس ۋە فۇتۇنا تاقىم ئاراللىرى	Wallis e Futuna
تاتار مىللىتى	Tártaros
خوككايدو ئارىلى	Hokkaido
ئۇرال تاغلىرى	Montes Urais
ماددا	Matéria
ئوساكا	Osaka (cidade)
كامبرىج ئۇنىۋېرستېتى	Universidade de Cambridge
ئاكا-ئۇكا رايتلار	Irmãos Wright
گۇئارانچە	Língua guarani
شور دېڭىز	Mar de Aral
ئىستانبۇل بوغازى	Bósforo
Izmir	Esmirna
كەئەلىڭ كوكوس تاقىم ئاراللىرى	Ilhas Cocos (Keeling)
مېرسېدېس - بېنز	Mercedes-Benz
كۋېنسلاند	Queensland
Minnéapolis	Minneapolis
دەرەخ خالتىلىق ئېيىقى	Coala
2011-يىلدىكى ياپونىيە يەر تەۋرەش ۋە دېڭىز تاشقىنى	Sismo e tsunami de Tohoku de 2011
لىنگالاچە	Língua lingala
مالايالامچە	Língua malaiala
يىپەك يولى	Rota da Seda
Kalgari	Calgary
ئوستىيىن	Jane Austen
قوڭۇر ئېيىق	Ursus arctos
كۇرد تىلى	Língua curda
مولداۋىيە تىلى	Língua moldava
يېڭى تاش قۇرال دەۋرى	Neolítico
مورېسبى پورتى	Port Moresby
خىمىيىلىك رېئاكسىيە	Reação química
لاھەي	Haia
جۇاڭزۇ مىللىتى	Zhuang (etnia)
ئوسمانلى تۈركچىسى	Língua turca otomana
يۇھاننا بايان قىلغان خۇش خەۋەر	Evangelho segundo João
توكېلاۋ تاقىم ئاراللىرى	Tokelau
تۋىچە	Língua twi
چېڭلۇڭ	Jackie Chan
توخار تىلى	Línguas tocarianas
ئېلان	Publicidade
Zeytun	Oliveira
ئاۋكلاند	Auckland
ئاۋكادۇر	Persea americana
قىزىل قان دانىچىلىرى	Hemácia
ئوقۇتقۇچى	Professor
تىز	Joelho
ئۆرۈك	Damasqueiro
گلۇكوزا	Glicose
Sint-Truiden	Sint-Truiden
ئالتاي تىللىرى سىستېمىسى	Línguas altaicas
ناتالىيە پورتمەن	Natalie Portman
Ran'gon	Rangum
ناگاساكى	Nagasaki
يوكوخاما	Yokohama
ئادانا	Adana
لازېر نۇرى	Laser
Lyuju shehiri	Liuzhou
خەلق پۇلى يۈەنى	Renminbi
Ritis	Leeds
رەجەپ تاييىپ ئەردوغان	Recep Tayyip Erdoğan
قىزغۇچ سېرىق	Laranja (cor)
شىمال بۇغىسى	Rena
لۇقا بايان قىلغان خۇش خەۋەر	Evangelho segundo Lucas
كونا تاش قۇرال دەۋرى	Paleolítico
ئانتاليا ۋىلايىتى	Antália (província)
ھەزرىتى ئەيسا ئەلچىلىرىنىڭ پائالىيەتلىرى	Atos dos Apóstolos
پەرۋەز مۇشەررەڧ	Pervez Musharraf
ئادانا ۋىلايىتى	Adana (província)
تاشقا ئايلانغان جىسىم	Fóssil
بۇرسا	Bursa
ئۇرۇق	Semente
ئەنخۇي ئۆلكىسى	Anhui
خەلقئارا ئولىمپىك كومىتىتى	Comité Olímpico Internacional
ماڭلاي	Testa
ئىچكى موڭغۇل ئاپتونوم رايونى	Mongólia Interior
Nottingxam	Nottingham
راكېتا	Foguete espacial
كۇردىستان	Curdistão
ستانفورد ئۇنىۋېرستېتى	Universidade Stanford
فۇجيەن ئۆلكىسى	Fujian
Kanzas Shehiri, Missuri	Kansas City (Missouri)
كىچىك مۈشۈكئېيىق	Panda-vermelho
موڭغۇل مىللىتى	Mongóis
ۋەھىيلەر	Apocalipse
Sirtlan	Hiena
كاسا	Nádegas
خەينەن ئۆلكىسى	Hainan
رىمان	Bernhard Riemann
گەنسۇ ئۆلكىسى	Gansu
ئاق قان ھۈجەيرىسى	Leucócito
ئەنگلىيىلىكلەر	Ingleses
ئاناتول فرانس	Anatole France
جەينەك	Cotovelo
سۇجۇ شەھىرى	Suzhou
جاڭگال مولۇنى	Gato-da-selva
بېنگال مولۇنى تاغ مۈشۈكى	Gato-leopardo
Wénju shehiri	Wenzhou
ۋۇشى شەھىرى	Wuxi
Shawshin shehiri	Shaoxing
خەنزۇ مىللىتى	Han (etnia)
نىڭبو شەھىرى	Ningbo
ئابدۇللاھ گۈل	Abdullah Gül
نېمىسلار	Alemães
خاربىن شەھىرى	Harbin
Orkéstr	Orquestra
تۈرك قەھۋەسى	Café turco
قىزىل ياقۇت	Rubi
كەشمىر	Caxemira
كەۋىن رۇد	Kevin Rudd
يۈننەن ئۆلكىسى	Yunnan
مالكولم X	Malcolm X
مەۋلانا جالالىددىن رۇمى	Jalal ad-Din Muhammad Rumi
Plimowt	Plymouth (Devon)
شەندۇڭ ئۆلكىسى	Shandong
قول	Braço
Dérbi	Derby (Derbyshire)
ياقۇت رەڭلىك	Esmeralda
كىرىستال	Cristal
خېنەن ئۆلكىسى	Henan
بۇرسا ۋىلايىتى	Bursa (província)
ئارتۋىن ۋىلايىتى	Artvin (província)
كىندىك	Umbigo
ئادىيامان ۋىلايىتى	Adıyaman (província)
لياۋنىڭ ئۆلكىسى	Liaoning
خىمىيىلىك باغ	Ligação química
GNU	GNU
توچىگى ناھىيىسى	Tochigi
سېمونت	Cimento
جىلىن ئۆلكىسى	Jilin
ئافيون قاراھىسار ۋىلايىتى	Afyonkarahisar (província)
بېربېرلار	Berberes
ئېچىتقۇ	Levedura
خۇنەن ئۆلكىسى	Hunan
ھونلار	Hunos
چىڭخەي ئۆلكىسى	Qinghai
ئۇيغۇر مىللىتى	Uigures
بىلەجىك ۋىلايىتى	Bilecik (província)
خۇبېي ئۆلكىسى	Hubei
شەنشى ئۆلكىسى	Shanxi
يۈز	Bochecha
قوڭۇر رەڭلىك	Marrom
گۇيلىن ئۆلكىسى	Guizhou
بالىكەسىر ۋىلايىتى	Balıkesir (província)
كيوتو كىلىشىمنامىسى	Protocolo de Quioto
ئانىلار بايرىمى	Dia das Mães
خەلقئارا ئىسلام كېڭىشى تەشكىلاتى	Organização para a Cooperação Islâmica
چاناققالە ۋىلايىتى	Çanakkale (província)
مىياگى ناھىيىسى	Miyagi
Luknow	Lucknow
شېنشى ئۆلكىسى	Shaanxi
رىملىقلارغا يېزىلغان خەت	Epístola aos Romanos
مالىكىي مەزھىبى	Maliquismo
ئوقۇغۇچى	Aluno
Kobe	Kōbe
ئىۋاتە ناھىيىسى	Iwate
كولۇمبىيە ئۇنىۋېرستېتى	Universidade Columbia
بوستون ئۇنىۋېرستېتى	Universidade de Boston
يالې ئۇنىۋېرسىتېتى	Universidade Yale
پېنسىلۋانىيە ئۇنىۋېرستېتى	Universidade da Pensilvânia
Portland, Méané	Portland (Maine)
نيۇيورك ئۇنىۋېرستېتى	Universidade de Nova Iorque
ئىتاليانلار	Italianos
پارىژ مېتروسى	Metropolitano de Paris
پىرىت	Pirita
فىلىپىلىكلەرگە يېزىلغان خەت	Epístola aos Filipenses
ئېگىزلىك گېرمان تىلى	Alto-alemão
قېلىپ:Taxobox	Predefinição:Info/Taxonomia
قارا ئېقىم	Corrente Kuro Shivo
خەلق گېزىتى	Diário do Povo (China)
جياڭشى ئۆلكىسى	Jiangxi
ئىلھام ئالىيېۋ	Ilham Aliyev
زاردارى	Asif Ali Zardari
نۇرسۇلتان نازاربايېۋ	Nursultan Nazarbayev
نىڭشيا خۇيزۇ ئاپتونۇم رايونى	Ningxia
ئىسلام كەرىموۋ	Islam Karimov
شۈجو شەھىرى	Xuzhou
ساۋكات مىرزىيويەۋ	Shavkat Mirziyayev
Yangjo shehiri	Yangzhou
Teyju shehiri, Jyangsu	Taizhou (Jiangsu)
Nentung shehiri	Nantong
جاڭجياڭ شەھىرى	Zhenjiang
چاڭجو شەھىر	Changzhou
ئەھمەد داۋۇد ئوغلۇ	Ahmet Davutoğlu
شىجياجۇاڭ شەھىرى	Shijiazhuang
تاڭشەن شەھىرى	Tangshan
Chinxuangdaw shehiri	Qinhuangdao
خەندەن شەھىرى	Handan
Bawding shehiri	Baoding (Hebei)
پەنجاب تىلى	Língua panjabi
پاشتوچە	Língua pachto
Langfang shehiri	Langfang
Juxey shehiri	Zhuhai
شەنتۇ شەھىرى	Shantou
Xuyjo shehiri	Huizhou
Dongwen shehiri	Dongguan
Jongshen shehiri	Zhongshan
Uyghurche Wikipédiye	Wikipédia em uigure
مىقدار سۆز	Numeral
ئۆت خالتىسى	Vesícula biliar
Jaypur	Jaipur
فۇجو شەھىرى	Fucheu
Nenping shehiri	Nanping
Putyen shehiri	Putian
Senming shehiri	Sanming
Chüenju shehiri	Quanzhou
شيامېن شەھىرى	Xiamen
Jyangju shehiri	Zhangzhou
Longyen shehiri	Longyan
Shining shehiri	Xining
خۇئاڭشى شەھىرى	Huangshi
ئائومورى ناھىيىسى	Aomori
فۇكۇشىما ناھىيىسى	Fukushima
تەييۈەن شەھىرى	Taiyuan
داتۇڭ شەھىر	Datong
داليەن شەھىرى	Dalian
ئەنشەن شەھىرى	Anshan (China)
لياۋياڭ شەھەر	Liaoyang
يوزگات ۋىلايىتى	Yozgat (província)
چوڭ مېڭە پوستلاق ماددىسى	Córtex cerebral
ئوڭچى	Direita política
كارل ۋون دونىتىز	Karl Dönitz
سۆسۈنە ياقۇت	Ametista
بىنگۆل ۋىلايىتى	Bingöl (província)
تايغان بۇغا	Cervus elaphus
ئارداھان ۋىلايىتى	Ardaã (província)
ئايدىن ۋىلايىتى	Aydın (província)
ئاماسيا ۋىلايىتى	Amásia (província)
قازاق مىللىتى	Cazaques
ئاغرى ۋىلايىتى	Ağrı (província)
بۇردۇر ۋىلايىتى	Burdur (província)
كورىنتلىقلارغا يېزىلغان بىرىنچى خەت	Primeira Epístola aos Coríntios
باتمان ۋىلايىتى	Batman (província)
كۇرىل ئاراللىرى	Ilhas Curilas
يېڭى يەر	Nova Zembla
Patna	Patna
سۇلتان ئاخمەت جامىي	Mesquita Azul
ۋان ۋىلايىتى	Van (província)
كونيا ۋىلايىتى	Konya (província)
ئاكىتا ناھىيىسى	Akita
سېگولەن رويال	Ségolène Royal
بولۇ ۋىلايىتى	Bolu (província)
دېنىزلى ۋىلايىتى	Denizli (província)
شافىئىي مەزھىپى	Shafi'i
گىپىس	Gipsita
ئېڭەك	Queixo
ئامېرىكا ياۋا كالىسى	Bisão-americano
Léyséstér	Leicester
ساكاريا ۋىلايىتى	Sakarya (província)
ئاقساراي ۋىلايىتى	Aksaray (província)
قارس ۋىلايىتى	Kars (província)
دىيارباقىر ۋىلايىتى	Diarbaquir (província)
مور	Cogumelo
تەيبېي 101	Taipei 101
ئەدىرنە ۋىلايىتى	Edirne (província)
ظوسذث	Alface
بىتلىس ۋىلايىتى	Bitlis (província)
ئىباراكى ناھىيىسى	Ibaraki
ھاتاي ۋىلايىتى	Hatay (província)
پان تۈركىزم	Panturquismo
يۇگوسلاۋىيە سوتسىيالىست فېدېرال جۇمھۇرىيىتى	República Socialista Federativa da Iugoslávia
تۈرك	Povos turcos
بارتىن ۋىلايىتى	Bartın (província)
باش بارماق	Polegar
كوجائەلى ۋىلايىتى	Kocaeli (província)
تۈرك خاقانلىقى	Turcos
سازاڭسىمان مەددە	Caenorhabditis elegans
چاڭچۈن شەھىرى	Changchun
جىلىن شەھىرى	Jilin (cidade)
ئېمۇ قۇشى	Emu
خاككارى ۋىلايىتى	Hakkâri (província)
راۋالپىندى	Rawalpindi
Emir Kusturica	Emir Kusturica
ماشىنىىسازلىق ئىنژىنىرلىقى	Engenharia mecânica
ئاينۇ مىللىتى	Ainus
ئورانگوتان	Hominoidea
يېشىل ياقۇت	Berilo
Markus bayan qilghan xush xewer	Evangelho segundo Marcos
ئازۇرىت	Azurita
بېلىز شەھىرى	Belize (cidade)
مارشال	Marechal
Chuju shehiri	Chuzhou
Rékazé shehiri	Shigatse
قىرىم	Tártaros da Crimeia
كىلون تېخنىكىسى	Clonagem
كورىنتلىقلارغا يېزىلغان ئىككىنچى خەت	Segunda Epístola aos Coríntios
مۇغلا ۋىلايىتى	Muğla (província)
ئاسىيا قارا ئېيىق	Urso-negro-asiático
گۈلچىلىك	Jardinagem
ئىغدىر ۋىلايىتى	Iğdır (província)
ياماگاتا ناھىيىسى	Yamagata
قاڭشارلىق بۆكەن	Saiga
كۈتاھيا ۋىلايىتى	Kütahya (província)
كۆك ياقۇت	Safira
كۈرەشچى ئايروپىلان	Caça (avião)
ئېرتىش دەرياسى	Rio Irtich
ئىبرانىيلارغا يېزىلغان خەت	Epístola aos Hebreus
گالاتىيلىقلارغا يېزىلغان خەت	Epístola aos Gálatas
شاڭ سۇلالىسى	Dinastia Shang
كىلىس ۋىلايىتى	Kilis (província)
تەكىرداغ ۋىلايىتى	Tekirdağ (província)
سان	Coxa
مانىسا ۋىلايىتى	Manisa (província)
كىچىك مېڭە	Cerebelo
كولوسىلىقلارغا يېزىلغان خەت	Epístola aos Colossenses
ياقۇپ يازغان خەت	Epístola de Tiago
يۇھاننا يازغان بىرىنچى خەت	Primeira Epístola de João
فىلىمۇنغا يېزىلغان خەت	Epístola a Filémon
سالونىكىلىقلارغا يېزىلغان ئىككىنچى خەت	Segunda Epístola aos Tessalonicenses
پاۋىل كرۇگمەنن	Paul Krugman
سالونىكىلىقلارغا يېزىلغان بىرىنچى خەت	Primeira Epístola aos Tessalonicenses
پېترۇس يازغان بىرىنچى خەت	Primeira Epístola de Pedro
پېترۇس يازغان ئىككىنچى خەت	Segunda Epístola de Pedro
تىموتىيغا يېزىلغان بىرىنچى خەت	Primeira Epístola a Timóteo
ئېسكىموسلار	Esquimós
IMMAGINE&POESIA	IMMAGINE&POESIA
چىكاگو ئۇنىۋېرستېتى	Universidade de Chicago
ماردىن ۋىلايىتى	Mardin (província)
