Aprika	África
San Leonardo de Yagüe	San Leonardo de Yagüe
Muriel de la Fuente	Muriel de la Fuente
Villar del Río	Villar del Río
Valderrodilla	Valderrodilla
Espejón	Espejón
Liceras	Liceras
Matalebreras	Matalebreras
Quintana Redonda	Quintana Redonda
Nafría de Ucero	Nafría de Ucero
Sotillo del Rincón	Sotillo del Rincón
Torrubia de Soria	Torrubia de Soria
Noviercas	Noviercas
Tajueco	Tajueco
Valdenebro	Valdenebro
Villaciervos	Villaciervos
Villanueva de Gormaz	Villanueva de Gormaz
Yelo (Spen)	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Quiñonería	Quiñonería
Villar del Campo	Villar del Campo
Portillo de Soria	Portillo de Soria
Gormaz	Gormaz
Santa Cruz de Yanguas	Santa Cruz de Yanguas
Villaseca de Arciel	Villaseca de Arciel
Reznos	Reznos
Cueva de Ágreda	Cueva de Ágreda
Nolay	Nolay
Cirujales del Río	Cirujales del Río
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Miño de San Esteban	Miño de San Esteban
Fuentestrún	Fuentestrún
Espeja de San Marcelino	Espeja de San Marcelino
Matamala de Almazán	Matamala de Almazán
La Póveda de Soria	La Póveda de Soria
Quintanas de Gormaz	Quintanas de Gormaz
Valdemaluque	Valdemaluque
San Felices	San Felices
Morón de Almazán	Morón de Almazán
Los Villares de Soria	Los Villares de Soria
Torreblacos	Torreblacos
Vizmanos (Soria)	Vizmanos
Tejado	Tejado
Retortillo de Soria	Retortillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza
Monteagudo de las Vicarías	Monteagudo de las Vicarías
La Riba de Escalote	La Riba de Escalote
Montejo de Tiermes	Montejo de Tiermes
La Losilla	La Losilla
Recuerda	Recuerda
Tajahuerce	Tajahuerce
Santa María de las Hoyas	Santa María de las Hoyas
Fuentepinilla	Fuentepinilla
Rioseco de Soria	Rioseco de Soria
Gómara, Soria	Gómara
Barca, Soria	Barca (Espanha)
Niu Ailan	Nova Irlanda (província)
Kinsale	Kinsale
Cihuela	Cihuela
Pilosopi long Wes	Filosofia ocidental
Trabadelo	Trabadelo
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Sepik	Rio Sepik
Westen Provins	Província Ocidental (Papua-Nova Guiné)
Sauten Hailans	Southern Highlands (província)
Westen Hailans	Western Highlands (Papua-Nova Guiné)
Isten Hailans	Eastern Highlands
Morobe	Morobe (província)
Buñol	Buñol
Bill Cobbs	Bill Cobbs
Enga	Enga
Manus	Manus (província)
Sentral Provins	Central (Papua-Nova Guiné)
Milen Be	Milne Bay (província)
Gulf Provins	Gulf (província)
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Olmedillo de Roa (Burgos)	Olmedillo de Roa
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Val de San Lorenzo	Val de San Lorenzo
Villaquilambre	Villaquilambre
Valdemora	Valdemora
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Riopico
Nebreda (Burgos)	Nebreda
Galbarros (Burgos)	Galbarros
Tony Ramos	Tony Ramos
Riego de la Vega	Riego de la Vega
Benuza	Benuza
Villamanín	Villamanín
Molinos de Duero	Molinos de Duero
Vozmediano	Vozmediano
Hinojosa del Campo	Hinojosa del Campo
Vanimo	Vanimo
Maun Hagen	Mount Hagen
Kokopo	Kokopo
Wewak	Wewak
Tabubil	Tabubil
Rello	Rello
Casey Kasem	Casey Kasem
Rebollar	Rebollar (Castela e Leão)
Iglesias (Burgos)	Iglesias (Espanha)
Bembibre	Bembibre
Ples balus	Aeroporto
Pat Carroll	Pat Carroll
Nesenel Alains Pati	Partido da Aliança Nacional
Lamington (maunten)	Monte Lamington
Nesenel Kapitol Distrik	Distrito da Capital Nacional
Cármenes	Cármenes
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Grup:Siamani	Categoria:Alemanha
Grup:Itali	Categoria:Itália
Grup:Ol Yunaitet Stet	Categoria:Estados Unidos
Grup:Kanada	Categoria:Canadá
Grup:Yunaitet Kingdom	Categoria:Reino Unido
Grup:Spen	Categoria:Espanha
Grup:Siapan	Categoria:Japão
Grup:Ostrelia	Categoria:Austrália
Grup:India	Categoria:Índia
Grup:Isrel	Categoria:Israel
Grup:Ijip	Categoria:Egito
Grup:Niu Silan	Categoria:Nova Zelândia
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Carucedo	Carucedo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Grup:Indonisia	Categoria:Indonésia
Grup:Irak	Categoria:Iraque
Grup:Polan	Categoria:Polónia
Grup:Saut Koria	Categoria:Coreia do Sul
Grup:Tailan	Categoria:Tailândia
Grup:Yukren	Categoria:Ucrânia
Grup:Vietnam	Categoria:Vietname
Grup:Ol pisin	Categoria:Aves
Grup:Ol Sayor	Categoria:Plantas
Grup:Save long Laip	Categoria:Biologia
Grup:Kemistri	Categoria:Química
Grup:Histori	Categoria:História
Grup:Save long giraun	Categoria:Geografia
Grup:Sosaiti	Categoria:Sociedade
Grup:Lotu	Categoria:Religião
Grup:Saiens	Categoria:Ciência
Grup:Giraun	Categoria:Terra
Mun	Mun (desambiguação)
Vegas del Condado	Vegas del Condado
Borrenes	Borrenes
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Barjas	Barjas
Cistierna	Cistierna
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Villamañán	Villamañán
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Urdiales del Páramo	Urdiales del Páramo
Sena de Luna	Sena de Luna
Oña (Burgos)	Oña
Grisaleña (Burgos)	Grisaleña
Zazuar (Burgos)	Zazuar
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Zael (Burgos)	Zael
Lerma (Burgos)	Lerma (Espanha)
Villaquejida	Villaquejida
Sariegos	Sariegos
Corbillos de los Oteros	Corbillos de los Oteros
Vega de Infanzones	Vega de Infanzones
Peranzanes	Peranzanes
Sabero	Sabero
Candín (León)	Candín
Valderrueda	Valderrueda
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
La Vecilla	La Vecilla
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Nava de Roa (Burgos)	Nava de Roa
Villasabariego	Villasabariego
Oencia	Oencia
Encinedo	Encinedo
Zuñeda (Burgos)	Zuñeda
Escobar de Campos	Escobar de Campos
Destriana	Destriana
Villagatón	Villagatón
Laguna Dalga	Laguna Dalga
Iglesiarrubia (Burgos)	Iglesiarrubia
Gumiel de Izán (Burgos)	Gumiel de Izán
Posada de Valdeón	Posada de Valdeón
Valderrey	Valderrey
Joarilla de las Matas	Joarilla de las Matas
Neila (Burgos)	Neila (Burgos)
Santiago Millas	Santiago Millas
Turcia	Turcia
Prioro	Prioro
Valdelugueros	Valdelugueros
Santas Martas	Santas Martas
Vegaquemada	Vegaquemada
Pobladura de Pelayo García	Pobladura de Pelayo García
Navas de Bureba (Burgos)	Navas de Bureba
Vegacervera	Vegacervera
San Adrián del Valle	San Adrián del Valle
Valdefuentes del Páramo	Valdefuentes del Páramo
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
La Gallega (Burgos)	La Gallega
Villabraz	Villabraz
Villamejil	Villamejil
Villaornate y Castro	Villaornate y Castro
Valverde-Enrique	Valverde-Enrique
Villaobispo de Otero	Villaobispo de Otero
Oseja de Sajambre	Oseja de Sajambre
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamandos	Villamandos
Villamol	Villamol
Villaselán	Villaselán
Villamoratiel de las Matas	Villamoratiel de las Matas
Toral de los Guzmanes	Toral de los Guzmanes
Benavides	Benavides
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Estépar (Burgos)	Estépar
Carrizo	Carrizo de la Ribera
Vallecillo	Vallecillo
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Balboa (León)	Balboa (Espanha)
Ranko Matasović	Ranko Matasović
Riaño	Riaño
Villadecanes	Villadecanes
Truchas	Truchas
Regina Duarte	Regina Duarte
Ol tokples bilong Papua Niugini	Línguas da Papua-Nova Guiné
Grup:Ol pes bilong kliaim ol link	Categoria:Desambiguação
Grup:Pilosopi	Categoria:Filosofia
Grup:Saikolosi	Categoria:Psicologia
Grup:Budisim	Categoria:Budismo
Grup:Kristen	Categoria:Cristianismo
Grup:Islam	Categoria:Islamismo
Isar (Burgos)	Isar
Pangu Pati	Partido Pangu
Histori long Papua Niugini	História de Papua-Nova Guiné
Benedicta Boccoli	Benedicta Boccoli
Spencer Fox	Spencer Fox
Carolina Ferraz	Carolina Ferraz
Thiago Lacerda	Thiago Lacerda
Walt Dohrn	Walt Dohrn
Conrad Bain	Conrad Bain
Angélica	Angélica (apresentadora)
Grup:Ol pes i liklik tumas	Categoria:!Esboços
Grup:Ol planet	Categoria:Planetas
Grup:Kontinen	Categoria:Continentes
Renata Sorrah	Renata Sorrah
Templet:Footer SolarSystem	Predefinição:Sistema Solar
Templet:T	Predefinição:Ligação para predefinição
Templet:Babel bokis	Predefinição:Userbox
Susan Egan	Susan Egan
Templet:Wikipediatokples	Predefinição:Wikipédia em outras línguas
Grup:Ol kantri	Categoria:Países
Grup:Ekonomikis	Categoria:Economia
Wikipedia:Administrators	Wikipédia:Administradores
Grup:Manmeri	Categoria:Pessoas
Wikipedia:AutoWikiBrowser	Wikipédia:AutoWikiBrowser
Grup:Politikis	Categoria:Política
Grup:Saiens bilong ai	Categoria:Óptica
Ijip	Egito
Templet:Bot	Predefinição:Robô
Kanada	Canadá
Grup:Hangari	Categoria:Hungria
Grup:Estonia	Categoria:Estónia
Grup:Gris	Categoria:Grécia
Grup:Latvia	Categoria:Letónia
Grup:Aislan	Categoria:Islândia
Grup:Lituwenia	Categoria:Lituânia
Grup:Slovakia	Categoria:Eslováquia
Wikipedia:Copyrights	Wikipédia:Direitos de autor
Templet:Flagicon	Predefinição:ÍconeBandeira
Grup:Ol kantri long Yurop	Categoria:Países da Europa
Grup:Yurop	Categoria:Europa
Templet:Template doc	Predefinição:Documentação
Grup:Yusa tokples	Categoria:!Wikipedistas por idioma
Wikipedia:Faipela lo	Wikipédia:Cinco pilares
Sung Jae-gi	Sung Jae-ki
Templet:Softredirect	Predefinição:Pseudorredirecionamento
Templet:Delete	Predefinição:ER
Grup:Ol tokples	Categoria:Línguas
Grup:Grama	Categoria:Gramática
Solija	Soldado
Grup:Ol siti na taun bilong kantri	Categoria:Assentamentos por país
Templet:Navbox	Predefinição:Navbox
Bikpela magani	Canguru
Templet:Shortcut	Predefinição:Atalho
Templet:!-	Predefinição:!-
Templet:!!	Predefinição:!!
Templet:Tnavbar	Predefinição:Tnavbar
Templet:Loop	Predefinição:Loop
Templet:Unicode	Predefinição:Unicode
Templet:Okina	Predefinição:Okina
Templet:Small	Predefinição:Pequeno
Templet:Clear	Predefinição:Limpar
Templet:Color	Predefinição:Color
Templet:Nowrap	Predefinição:Nowrap
Templet:Anchor	Predefinição:Âncora
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipédia:Artigos essenciais
Grup:Elektroniks	Categoria:Eletrônica
Templet:Babel	Predefinição:Babel
Templet:Commons	Predefinição:Commons
Templet:Link GA	Predefinição:Bom interwiki
Templet:Reflist	Predefinição:Referências
Templet:Stub	Predefinição:Esboço
Templet:User ar-1	Predefinição:User ar-1
Templet:User ast-1	Predefinição:User ast-1
Templet:User az	Predefinição:User az
Templet:Yusa eo-1	Predefinição:User eo-1
Templet:See also	Predefinição:VT
Templet:User da	Predefinição:User da
Templet:User ca-1	Predefinição:User ca-1
Templet:User cs-1	Predefinição:User cs-1
Templet:User eo-3	Predefinição:User eo-3
Templet:User de	Predefinição:User de
Templet:User de-1	Predefinição:User de-1
Templet:User el	Predefinição:User el
Templet:User es	Predefinição:User es
Templet:User de-3	Predefinição:User de-3
Templet:User en-3	Predefinição:User en-3
Templet:User en-1	Predefinição:User en-1
Templet:User en-2	Predefinição:User en-2
Templet:User eo-2	Predefinição:User eo-2
Templet:User en-4	Predefinição:User en-4
Templet:User en-0	Predefinição:User en-0
Templet:User en	Predefinição:User en
Templet:User de-2	Predefinição:User de-2
Templet:User es-1	Predefinição:User es-1
Templet:User fa	Predefinição:User fa
Templet:User fr-1	Predefinição:User fr-1
Grup:Laip	Categoria:Vida
Templet:User gl-1	Predefinição:User gl-1
Templet:User hu-N	Predefinição:User hu
Templet:User sk	Predefinição:User sk
Templet:User tr-2	Predefinição:User tr-2
Templet:User fr-2	Predefinição:User fr-2
Templet:User ja	Predefinição:User ja
Templet:User ja-1	Predefinição:User ja-1
Templet:User it-1	Predefinição:User it-1
Templet:User fr	Predefinição:User fr
Templet:Unsigned	Predefinição:Não assinou
Templet:Country data Tajikistan	Predefinição:Country data Tajiquistão
Grup:Azerbaijan	Categoria:Azerbaijão
Grup:Esia	Categoria:Ásia
Grup:Soria provins	Categoria:Província de Sória
Grup:Castile na León	Categoria:Castela e Leão
Templet:Country data Kuwait	Predefinição:Country data Kuwait
Templet:Mod	Predefinição:Mod
Templet:ISO639-3 documentation	Predefinição:ISO639-3Documentação
Templet:User es-2	Predefinição:User es-2
Templet:NewUser	Predefinição:Bem-vindo(a)
Templet:Ref-ru	Predefinição:Ru icon
Templet:WikipediaSista	Predefinição:Projetos correlatos
Templet:Country data Belgium	Predefinição:Country data Bélgica
Templet:Country data Slovakia	Predefinição:Country data Eslováquia
Templet:Country data El Salvador	Predefinição:Country data El Salvador
Templet:Country data Panama	Predefinição:Country data Panamá
Templet:Navy/core	Predefinição:Marinha/core
Templet:Country data Tunisia	Predefinição:Country data Tunísia
Templet:Country data Czech Republic	Predefinição:Country data República Checa
Templet:Country data Cuba	Predefinição:Country data Cuba
Templet:Country data Indonesia	Predefinição:Country data Indonésia
Templet:Country data Senegal	Predefinição:Country data Senegal
Templet:Country data Madagascar	Predefinição:Country data Madagáscar
Templet:Country data Albania	Predefinição:Country data Albânia
Templet:Country data Macau	Predefinição:Country data Macau
Templet:Country data Kenya	Predefinição:Country data Quénia
Templet:Country data Republic of China	Predefinição:Country data República da China
Templet:Country data Nicaragua	Predefinição:Country data Nicarágua
Templet:Country data Honduras	Predefinição:Country data Honduras
Templet:Country data Uzbekistan	Predefinição:Country data Uzbequistão
Templet:Country data Dominican Republic	Predefinição:Country data República Dominicana
Templet:Country data Togo	Predefinição:Country data Togo
Templet:Country data Guatemala	Predefinição:Country data Guatemala
Grup:Lingwistikis	Categoria:Linguística
Templet:Country data Haiti	Predefinição:Country data Haiti
Templet:Ol mun na de bilong yia	Predefinição:Dias do ano
Templet:Country data Mali	Predefinição:Country data Mali
Templet:Country data Iceland	Predefinição:Country data Islândia
Templet:Country data Poland	Predefinição:Country data Polônia
Templet:ITA	Predefinição:ITA
Templet:Country data Bulgaria	Predefinição:Country data Bulgária
Templet:Country data Bosnia and Herzegovina	Predefinição:Country data Bósnia e Herzegovina
Grup:Yusa fr-1	Categoria:Usuário fr-1
Templet:Country data Norway	Predefinição:Country data Noruega
Templet:Country data South Africa	Predefinição:Dados de país/África do Sul
Templet:Country showdata	Predefinição:Country showdata
Templet:Country data Trinidad and Tobago	Predefinição:Country data Trinidad e Tobago
Templet:Cat handler	Predefinição:Cat handler
Templet:Country data Sri Lanka	Predefinição:Country data Sri Lanka
Templet:Country data Mexico	Predefinição:Country data México
Templet:Country data Greece	Predefinição:Country data Grécia
Templet:Country data Luxembourg	Predefinição:Country data Luxemburgo
Templet:Country data Saudi Arabia	Predefinição:Country data Arábia Saudita
Templet:Country data Croatia	Predefinição:Country data Croácia
Templet:Country data United Arab Emirates	Predefinição:Country data Emirados Árabes Unidos
Templet:Country data U.S. Virgin Islands	Predefinição:Country data Ilhas Virgens Americanas
Templet:Country data Morocco	Predefinição:Country data Marrocos
Templet:Collapsible list	Predefinição:Collapsible list
Templet:Country data Ostrelia	Predefinição:Country data Austrália
Templet:Country data France	Predefinição:Country data França
Templet:Ambox	Predefinição:Ambox
Templet:Navigation templates	Predefinição:Modelo de navegação
Templet:Fossil range/bar	Predefinição:Período fóssil/barra
Templet:Rnd	Predefinição:Rnd
Templet:Steady	Predefinição:Estável
Templet:Infobokis Kantri	Predefinição:Info/País
Templet:Column-count	Predefinição:Column-count
Templet:Country data Laos	Predefinição:Country data Laos
Templet:Fi icon	Predefinição:Fi
Templet:Collapsible option	Predefinição:Collapsible option
Templet:Str left	Predefinição:Str left
Templet:Country data Nepal	Predefinição:Country data Nepal
Templet:Country data Finland	Predefinição:Country data Finlândia
Templet:Country data Japan	Predefinição:Country data Japão
Templet:Country data Netherlands	Predefinição:Country data Países Baixos
Templet:Cite journal	Predefinição:Citar periódico
Templet:Country data Azerbaijan	Predefinição:Country data Azerbaijão
Templet:User es-0	Predefinição:User es-0
Templet:Country data Libya	Predefinição:Country data Líbia
Grup:Yusa en-4	Categoria:Utilizador en-4
Grup:Yusa en	Categoria:Usuários en
Grup:Yusa en-2	Categoria:Usuário en-2
Templet:Infobokis	Predefinição:Info
Templet:Navy	Predefinição:Marinha
Templet:Yusa eo	Predefinição:User eo
Templet:User zh	Predefinição:User zh
Templet:Navbox/core	Predefinição:Navbox/core
Templet:Template other	Predefinição:Template other
Templet:Legend	Predefinição:Legenda
Templet:Country data Italy	Predefinição:Country data Itália
Templet:Ombox	Predefinição:Ombox
Templet:Kantri data	Predefinição:Dados de país
Templet:Pp-template	Predefinição:Pp-template
Templet:·	Predefinição:·
Templet:Ol daireksion	Predefinição:Pontos Cardeais
Templet:Wiktionary	Predefinição:Wikcionário
Templet:Mbox templates	Predefinição:Mbox templates
Templet:Country data Sweden	Predefinição:Country data Suécia
Templet:Ref-lang	Predefinição:Languageicon
Grup:Egrikalsa	Categoria:Agricultura
Templet:Infobokis Setelmen	Predefinição:Info/Assentamento
Templet:User ru	Predefinição:User ru
Templet:IPA	Predefinição:AFI
Templet:Country data Costa Rica	Predefinição:Country data Costa Rica
Templet:Country data India	Predefinição:Country data India
Grup:Language user templates	Categoria:!Predefinições de babel
Templet:Toktok bilong nem	Predefinição:Língua com nome
Templet:Rellink	Predefinição:Rellink
Templet:MONTHNAME	Predefinição:MONTHNAME
Wikipedia:Buk Bilong GFDL	Wikipédia:GNU Free Documentation License
Templet:Commons category-inline	Predefinição:Commonscat em linha
Templet:Cc-by-sa-2.5	Predefinição:Cc-by-sa-2.5
Templet:Country data European Union	Predefinição:Country data União Europeia
Templet:Country data Portugal	Predefinição:Country data Portugal
Templet:MONTHNUMBER	Predefinição:MONTHNUMBER
Templet:Taxobox colour	Predefinição:Info/Taxonomia/cor
Grup:Kantri data bilong ol plak templet	Categoria:!Predefinições Country data
Templet:Namespace detect	Predefinição:Namespace detect
Templet:Fmbox	Predefinição:Fmbox
Templet:Country data China	Predefinição:Country data Chine
Templet:Country data Inglan	Predefinição:Country data Inglaterra
Templet:Country data Turkey	Predefinição:Country data Turquia
Templet:Country data Switzerland	Predefinição:Country data Suíça
Templet:Tok-cs	Predefinição:Lang-cs
Templet:Country data Philippines	Predefinição:Country data Filipinas
Templet:Country data Malaysia	Predefinição:Country data Malásia
Templet:Country data Zimbabwe	Predefinição:Country data Zimbabwe
Templet:Infobokis Plak	Predefinição:Info/Bandeira
Templet:Infobokis Planet	Predefinição:Info/Planeta
Grup:Politikis long kontinen	Categoria:Política por continente
Templet:Infobokis Websait	Predefinição:Info/Sítio
Templet:SCO	Predefinição:SCO
Templet:Documentation subpage	Predefinição:Subpágina de documentação
Templet:CcTLD	Predefinição:CcTLD
Templet:POL	Predefinição:POL
Templet:Div col	Predefinição:Div col
Templet:Tok-de	Predefinição:Lang-de
Templet:Tok-la	Predefinição:Lang-la
Templet:Country flag2	Predefinição:Country flag2
Templet:Harim stori	Predefinição:Wikipédia audível
Templet:Unreferenced	Predefinição:Sem-fontes
Templet:Year nav	Predefinição:Cabeçalho dos anos
Grup:Ples balus long Vietnam	Categoria:Aeroportos do Vietname
Templet:Emergency-bot-shutoff	Predefinição:Botão de emergência
Templet:User pl-1	Predefinição:User pl-1
Templet:Prettytable	Predefinição:Tabela bonita
Templet:Country flagcountry2	Predefinição:Flagcountry/core
Templet:Interwikitmp-grp	Predefinição:Interwikitmp-grp
Templet:Transl	Predefinição:Transl
Templet:Infobokis kantri bilong bipo	Predefinição:Info/Estado extinto
Templet:Redirect	Predefinição:Redirect
Templet:Age in days	Predefinição:Anos em dias
Templet:Cc-by-sa-2.0	Predefinição:Cc-by-sa-2.0
Templet:Politbokis	Predefinição:Politbox
Templet:UNO	Predefinição:UNO
Templet:Infobokis Kontinen	Predefinição:Info/Território geográfico
Templet:Ol de bilong dispela wik	Predefinição:Dias da semana
Templet:Nobold	Predefinição:Nobold
Templet:Gregorian serial date	Predefinição:Gregorian serial date
Grup:Yusa ja-N	Categoria:Usuário ja
Templet:Tok-ru	Predefinição:Lang-ru
Templet:Br separated entries	Predefinição:Br separated entries
Templet:FebrueriKalendar	Predefinição:Calendário de fevereiro
Templet:Disambig	Predefinição:Desambiguação
Templet:Country data Hong Kong	Predefinição:Country data Hong Kong
Grup:Niuspepa	Categoria:Jornais
Templet:Para	Predefinição:Parâmetro
Templet:User no	Predefinição:User no
Templet:Tok-en	Predefinição:Lang-en
Templet:Tlf	Predefinição:Tlf
Templet:PD-user	Predefinição:PD-user
Templet:Mp	Predefinição:Pm
Templet:Tn	Predefinição:Tn
Grup:Ol taun	Categoria:Vilas
Templet:Country data Qatar	Predefinição:Country data Qatar
Templet:User it-2	Predefinição:User it-2
Templet:Ref-de	Predefinição:((de))
Templet:Geological range	Predefinição:Período fóssil
Templet:Country data Israel	Predefinição:Country data Israel
Templet:Nts	Predefinição:Smn
Templet:Country data Pakistan	Predefinição:Country data Paquistão
Templet:Country data Ghana	Predefinição:Country data Gana
Templet:Country data Romania	Predefinição:Country data Romênia
Templet:Country data South Korea	Predefinição:Country data Coreia do Sul
Templet:Ileksen-tebol	Predefinição:Eleição tabela
Templet:Convert	Predefinição:Convert
Templet:InterWiki	Predefinição:InterWiki
Templet:FranPesolIntawiki	Predefinição:Interwikis da página principal
Templet:UF-coord-classes	Predefinição:UF-coord-classes
Templet:Coord	Predefinição:Coord
Templet:Europe topic	Predefinição:Países da Europa
Grup:Yusa sk	Categoria:Usuários sk
Grup:Yusa eo	Categoria:Usuários eo
Grup:Yusa fr	Categoria:Usuários fr
Grup:Yusa hu-N	Categoria:Usuário hu
Grup:Yusa ja	Categoria:Usuários ja
Grup:Yusa th	Categoria:Usuários th
Grup:Yusa fr-3	Categoria:Usuário fr-3
Grup:Yusa ja-3	Categoria:Usuário ja-3
Grup:Yusa pl-1	Categoria:Usuário pl-1
Grup:Yusa fr-2	Categoria:Usuário fr-2
Grup:Yusa hu-2	Categoria:Usuário hu-2
Grup:Yusa it-2	Categoria:Usuário it-2
Grup:Yusa ja-2	Categoria:Usuário ja-2
Grup:Yusa fr-N	Categoria:Usuário fr
Grup:Yusa ru-N	Categoria:Usuário ru
Grup:Ol kapitol bilong Osenia	Categoria:Capitais da Oceania
Grup:ISO 639 name from code templates	Categoria:!Predefinições ISO 639 código para nome
Grup:Yusa ca	Categoria:Usuários ca
Grup:Yusa ca-1	Categoria:Usuário ca-1
Grup:Ailan	Categoria:Ilhas
Grup:Quang Binh provins	Categoria:Quang Binh
Grup:Yusa sk-N	Categoria:Usuário sk
Grup:Yusa de	Categoria:Usuários de
Grup:Yusa de-2	Categoria:Usuário de-2
Grup:Yusa de-3	Categoria:Usuário de-3
Grup:Yusa de-N	Categoria:Usuário de
Grup:Yusa dsb	Categoria:Usuários dsb
Grup:Yusa dsb-1	Categoria:Usuário dsb-1
Grup:Yusa el	Categoria:Usuários el
Grup:Yusa el-N	Categoria:Usuário el
Grup:Yusa en-3	Categoria:Usuário en-3
Grup:Yusa en-N	Categoria:Usuário en
Grup:Yusa eo-1	Categoria:Usuário eo-1
Grup:Yusa eo-2	Categoria:Usuário eo-2
Grup:Yusa eo-3	Categoria:Usuário eo-3
Grup:Yusa es	Categoria:Usuários es
Grup:Yusa es-1	Categoria:Usuário es-1
Grup:Yusa eu	Categoria:Usuários eu
Grup:Yusa eu-1	Categoria:Usuário eu-1
Grup:Yusa hsb	Categoria:Usuários hsb
Grup:Yusa hsb-1	Categoria:Usuário hsb-1
Grup:Yusa hu	Categoria:Usuários hu
Grup:Yusa hu-1	Categoria:Usuário hu-1
Grup:Yusa hu-3	Categoria:Usuário hu-3
Grup:Politikis long kantri	Categoria:Política por país
Templet:Country data Germany	Predefinição:Country data Alemanha
Templet:Country data United Kingdom	Predefinição:Country data Reino Unido
Templet:Cl	Predefinição:Ligação para categoria
Templet:Country data Skotlan	Predefinição:Country data Escócia
Grup:Yusa it	Categoria:Usuários it
Grup:Yusa it-1	Categoria:Usuário it-1
Grup:Yusa ja-1	Categoria:Usuário ja-1
Grup:Ol stet bilong Ol Yunaitet Stet	Categoria:Estados dos Estados Unidos
Grup:Ol provins bilong Vietnam	Categoria:Províncias do Vietname
Templet:Tantok	Predefinição:Em tradução
Templet:Ol provins bilong Papua Niugini	Predefinição:Papua-Nova Guiné/Províncias
Grup:Ol provins bilong Papua Niugini	Categoria:Províncias da Papua-Nova Guiné
Grup:Lukluk bilong manmeri	Categoria:Visão
Grup:Yusa ru-1	Categoria:Usuário ru-1
Wikipedia:Babel	Wikipédia:Babel
Templet:Tdeprecated	Predefinição:Pdepreciada
Templet:·wrap	Predefinição:·wrap
Templet:User sv-1	Predefinição:User sv-1
Templet:MoS-guideline	Predefinição:Livro de estilo
Grup:Ol siti na taun bilong Polan	Categoria:Cidades da Polónia
Templet:Country data Brazil	Predefinição:Country data Brasil
Grup:7	Categoria:7
Grup:Paradisaeidae	Categoria:Paradisaeidae
Grup:Saiens long Manmeri na Ples	Categoria:Ciências sociais
Templet:Country data Hungary	Predefinição:Country data Hungria
Grup:Ol tokples bilong Esia	Categoria:Línguas da Ásia
Grup:Ol kantri long Aprika	Categoria:Países de África
Templet:JanueriKalendar	Predefinição:Calendário de janeiro
Grup:Yusa ru	Categoria:Usuários ru
Grup:Yusa ru-2	Categoria:Usuário ru-2
Grup:Yusa ru-3	Categoria:Usuário ru-3
Grup:Yusa ru-4	Categoria:Usuário ru-4
Grup:Yusa th-1	Categoria:Usuário th-1
Grup:Yusa vi	Categoria:Usuários vi
Templet:Ref-en	Predefinição:((en))
Templet:Spaces	Predefinição:Espaços
Templet:Lang	Predefinição:Lang
Templet:Template example row	Predefinição:Template example row
Templet:Nowrap end	Predefinição:Nowrap end
Templet:As of	Predefinição:Desde
Templet:User hsb-1	Predefinição:User hsb-1
Templet:Coord/dec2dms/dm	Predefinição:Coord/dec2dms/dm
Grup:Vemont	Categoria:Vermont
