Yn Affrick	África
Ar Faoued, Aodoù-an-Arvor	Faouët
Sant-Denwal	Saint-Denoual
Trêgad	Tréogat
Sant-Maodan	Saint-Maudan
Lannolon	Lanvollon
Kledenn-ar-C'hab	Cléden-Cap-Sizun
Ploveilh	Plomelin
Pont-'n-Abad	Pont-l'Abbé
Plouared	Plouaret
An Dre-Nevez	Saint-Sauveur (Finisterra)
Eliant	Elliant
Yn Commeeys Celtiagh	Liga Céltica
Sant-Ke-Porzh-Olued	Saint-Quay-Portrieux
Plual	Pludual
Berrien, y Vritaan	Berrien
Saozon-Sevigneg	Cesson-Sévigné
Wu Cheng'en	Wu Cheng'en
Reeriaght ny h-Albey	Reino da Escócia
Ashoonaght	Nacionalidade
Corockle cleaoil	Consoante palatal
Gansee	Suéter
Meeiley cherrinagh	Milha quadrada
Aonghas	Angus (desambiguação)
Corockle sluggidagh	Consoante glotal
Kemperle	Quimperlé
Mira Awad	Mira Awad
Ashoonyn Celtiagh	Nações celtas
Kate Bosworth	Kate Bosworth
Katharine Isabelle	Katharine Isabelle
Diana Wynne Jones	Diana Wynne Jones
Autumn Reeser	Autumn Reeser
Clara Morgane	Clara Morgane
Natalie Dormer	Natalie Dormer
Kelly Preston	Kelly Preston
Kay Panabaker	Kay Panabaker
Susan Cooper	Susan Cooper
Summer Glau	Summer Glau
Akgul Amanmuradova	Akgul Amanmuradova
Jodie Sweetin	Jodie Sweetin
Urszula Radwańska	Urszula Radwańska
Yn Vritaan	Bretanha (desambiguação)
Ágnes Szávay	Ágnes Szávay
Thora Birch	Thora Birch
Ceboidea	Platyrrhini
Douglas Hyde	Douglas Hyde
Perroz-Gireg	Perros-Guirec
Aiwo (slyst)	Aiwo
Nólsoy (balley)	Nólsoy
Quincas Borba	Quincas Borba
Douarnenez	Douarnenez
Lambal	Lamballe
Emilianish-Romagnolish	Língua emiliano-romanhola
Rostrenenn	Rostrenen
Sligo Rovers F.C.	Sligo Rovers
Fouenant	Fouesnant
Brieg	Briec
Rosko	Roscoff
Fine Gael	Fine Gael
Trongisvágur	Trongisvágur
Oie Houney	Dia das bruxas
Lhune freillagh	Lager
Eddie Izzard	Eddie Izzard
Manninagh	Manx
Rolley corpaneyn harrish-Neptuneagh	Lista de objetos transnetunianos
Kevin Phillips (bluckaneyr)	Kevin Phillips (futebolista)
Olonkinbyen	Olonkinbyen
Christy Moore	Christy Moore
Colaashtey ny Trinaid, Divlyn	Trinity College (Dublin)
Rolley çheeraghyn as thallooyn foddey ersooyl rere eaghtyr	Lista de países e territórios por área
Azura Skye	Azura Skye
Majandra Delfino	Majandra Delfino
Maryam d'Abo	Maryam d'Abo
Ruth Wilson (aghteyr)	Ruth Wilson
Cloreed vagnaishum	Cloreto de magnésio
Kollafjørður	Kollafjørður
Corockle cooyl-chroymmit	Consoante retroflexa
Ard neu-chorpagh	Área não incorporada
Yn Euar	Newry
Punt Yernagh	Libra irlandesa
Algaghyn glassey	Algas verdes
Enez Vriad	Île-de-Bréhat
Rosie O'Donnell	Rosie O'Donnell
Ben shee	Banshee
Patrick Pearse	Patrick Pearse
Mur	Mûr-de-Bretagne
Monkontour	Moncontour (Côtes-d'Armor)
Ewa (slyst)	Ewa (distrito)
Alineg	Allineuc
Lesneven	Lesneven
Lokournan	Saint-Renan
Staol	Étables-sur-Mer
Pińczów	Pińczów
Oashyryn bouinagh	Meia-calça
Çhiarn Vannin	Lorde de Man
Anikó Kapros	Anikó Kapros
Joseph Mary Plunkett	Joseph Mary Plunkett
Sur-ream	Registro (linguística)
Caitlin Stasey	Caitlin Stasey
Meechredjuagh	Agnosticismo
Marjorie Estiano	Marjorie Estiano
Beeal yn Aah	Ballina
Chaim Herzog	Chaim Herzog
Fala	Fala da Estremadura
Sigmundur Brestisson	Sigmundur Brestisson
Ar C'hembod	Le Cambout
Lolo Ferrari	Lolo Ferrari
Middletown, Orange County, York Noa	Middletown (Nova Iorque)
Britaanee	Bretões
Senoturbellida	Xenoturbella
Robert Englund	Robert Englund
Alan Alda	Alan Alda
Kristján Eldjárn	Kristján Eldjárn
James McFadden	James McFadden
Patrick Hillery	Patrick Hillery
Billey slaanee	Senna (planta)
Saki	Saki
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Noo Niglus (persoonid Nollick)	Papai Noel
Mozarabish	Língua moçárabe
Skaer	Scaër
Aberdyfi	Aberdyfi
Çhengey ashoonagh	Língua nacional
Ennalaghey (sheeanaghtys)	Aspiração
Çhengoaylleeaght feamagh	Linguística aplicada
Baare jiarg-buigh	Anthocharis cardamines
Seán T. O'Kelly	Seán T. O'Kelly
Kiryat Shmona	Qiryat-Chemoná
Laramie, Wyoming	Laramie
Meneng (slyst)	Meneng
Baiti (slyst)	Baiti
Lanniliz	Lannilis
Anibare (slyst)	Anibare
Anabar (slyst)	Anabar
Ijuw (slyst)	Ijuw
Uusimaa Hiar	Uusimaa do Leste
Taole	Taulé
Kore, y Vritaan	Coray
Rosporden	Rosporden
Lanyugon	Jugon-les-Lacs
Gouenoù	Gouesnou
Kommanna	Commana
Gwerliskin	Guerlesquin
Gwiler-Leon	Guilers
Bodiliz	Bodilis
Billey kenney	Medronheiro
Boalsert	Bolsward
Sizun	Sizun
Landivizio	Landivisiau
Bee conning	Serralha
Albury, Bretyn Yiass Noa	Albury
Steve Bruce	Steve Bruce
Olivier Kapo	Olivier Kapo
Radhi Jaïdi	Radhi Jaïdi
Rory Gallagher	Rory Gallagher
Liam Ridgewell	Liam Ridgewell
Sant-Tegoneg	Saint-Thégonnec
John Bruton	John Bruton
Rheynn (bea-oaylleeaght)	Divisão (biologia)
Magnus VI	Magno VI da Noruega
Þingvallavatn	Þingvallavatn
Abugida	Abugida
Ym-ysseraght	Meios de comunicação
Clou iddaalagh	Itálico
Richard Schiff	Richard Schiff
Sam Huntington	Sam Huntington
Lee Carsley	Lee Carsley
Erskine Hamilton Childers	Erskine Hamilton Childers
Begerel	Bécherel
Thollag 'aiyr Etruscagh	Musaranho-pigmeu
Loudieg	Loudéac
Balley Aah Luain	Athlone
Sean Faris	Sean Faris
Agglish Ashoonagh Ellanyn ny Geyrragh	Igreja das Ilhas Feroé
Rock Springs, Wyoming	Rock Springs (Wyoming)
Nibok (slyst)	Nibok
Anetan (slyst)	Anetan
Boe (slyst)	Boe (distrito)
John Muir	John Muir
Mehdi Nafti	Mehdi Nafti
Garry O'Connor	Garry O'Connor
Harry Lloyd	Harry Lloyd
Jake Thomas	Jake Thomas
Cearbhall Ó Dálaigh	Cearbhall Ó Dálaigh
Aer Árann	Aer Arann
Liam Cosgrave	Liam Cosgrave
Jack Lynch	John Mary Lynch
Finn Mac Cooil	Fionn Mac Cumhaill
Saum 23	Salmo 23
Tregarvan	Trégarvan
Kampal	Champeaux (Ille-et-Vilaine)
Tonkedeg	Tonquédec
Ar Roc'h-Derrien	La Roche-Derrien
Kernouez	Kernouës
Gouenac'h	Gouesnach
Ar Forest-Fouenant	Forêt-Fouesnant
Pleudehen	Pleudihen-sur-Rance
Ar Forest-Landerne	La Forest-Landerneau
Sant-Segal	Saint-Ségal
Lokmaria-Plouzane	Locmaria-Plouzané
Gwinevez	Plounévez-Lochrist
Terrug	Telgruc-sur-Mer
Beeal yn Aah, Coontae Vay Eo	Ballina (Condado de Mayo)
Świecie	Świecie
Thing	Ting
Rolley fir hoshee steat ny Keinney	Lista de presidentes do Quênia
Aittin	Tojo
St Patrick's Athletic F.C.	St. Patrick’s Athletic Football Club
Shelbourne F.C.	Football Club Shelbourne
Michael J. Fox	Michael J. Fox
Çhengey chadjinit	Norma culta
Creg Ealish	Ailsa Craig
Sulfaayt kelkium	Sulfato de cálcio
Ocseed sodjum	Óxido de sódio
Nieu-nearag	Neurotoxina
Kione (reddaghey)	Cabeça (desambiguação)
Cleaysh chiyt	Hypochaeris radicata
Sulfaayt ollymin	Sulfato de alumínio
Straih veanagh	Sub-bosque
Cloreed litçhey	Cloreto de lítio
Daa-vrat lipaidagh	Bicapa lipídica
Nasair	Nazaré
Binn Éadair	Howth
Jeeghyn Egyptagh	Religião no Antigo Egito
Ronney:Shennaghys rere bun-chooish	Categoria:História por tema
Treveneg	Tréveneuc
Kastell-Bourc'h	Châteaubourg
Lanvalae	Lanvallay
Pledran	Plédran
Ar Yeuc'h	Juch
Plougouloum	Plougoulm
Crooin Hostyn	A Coroa
Ollooscoill Ghurham	Universidade de Durham
Armys Vannin	Brasão de armas da Ilha de Man
Reeriaght Vannin as ny h-Ellanyn	Reino de Mann e das Ilhas
Derry City F.C.	Derry City F.C.
Aarheynnyn ny h-Albey	Subdivisões da Escócia
Thomas Clarke (irreyder magh)	Tom Clarke
Poagey laue	Bolsa (acessório)
Ned Maddrell	Ned Maddrell
Abbyrlhit Gothagh	Alfabeto gótico
Poncho	Poncho
Martin Taylor (bluckaneyr ruggit 1979)	Martin Taylor (jogador de futebol)
Patrick Flueger	Patrick Flueger
Hadera	Hadera
Uaboe (slyst)	Uaboe
Amoebosoa	Amoebozoa
Tczew	Tczew
Tourc'h	Tourch
Anemoi	Ventos (mitologia)
Tregaeg	Trégueux
Landeda	Landéda
Kloar-Fouenant	Clohars-Fouesnant
Lanneured	Lanneuffret
Tregaranteg	Trégarantec
Páirc an Chrócaigh	Croke Park
Lanhouarne	Lanhouarneau
Kallithea	Caliteia
Purt Aer Tan Son Nhat	Aeroporto Internacional Tan Son Nhat
Caslys	Imagem
Phenomenon	Fenómeno
Elijah Wood	Elijah Wood
Fer sniaghtee	Boneco de neve
Pobblaght Hoveidjagh Hoshiallagh ny h-Oosbeckistaan	República Socialista Soviética Uzbequistão
Caayr Kansas, Kansas	Kansas City (Kansas)
Çhionnal Ashoonagh Vretin	Assembleia Nacional do País de Gales
Rolley çhengaghyn	Lista de línguas
Bearnaraigh Mòr	Great Bernera
Taabyl	Tabela
Boayl enmyssit da coontaghyn-pobble	Região censitária
Tombolo	Tômbolo
Diepholz	Diepholz
Ollooscoill Lerphoyll	Universidade de Liverpool
Overland Park, Kansas	Overland Park
Baljaght Ishøj	Ishøj
Starogard Gdański	Starogard Gdański
Partee yn Lught Obbyr (Nerin)	Partido Trabalhista (Irlanda)
Chris Pratt	Chris Pratt
Arrane Ashoonagh ny Salvador	Himno Nacional de El Salvador
Burgoonish (Oïl)	Língua borgonhesa
Çhengoaylleeaght smooinaghtagh	Linguística cognitiva
Lanniskad	Laniscat
Ard Judaea as ny Samaar	Judeia e Samaria (distrito)
Poitevin-Saintongeais	Pictavo-sântone
Ngerulmud	Ngerulmud
Fine Goal	Condado de Fingal
Doon Laoire-Rhaa yn Doon	Condado de Dun Laoghaire-Rathdown
Domloup	Domloup
Erieg	Éréac
Plangonwal	Planguenoual
Ervored	Erbrée
Beloen	Baulon
Czarna Woda	Czarna Woda
Baljaght Kije	Comuna de Kije
Billey ruissagh	Rhododendron ponticum
Ronney:Far-inçhynaght	Categoria:Inteligência artificial
Jason Dohring	Jason Dohring
Matthew Underwood	Matthew Underwood
Christopher Massey	Christopher Massey
Nahuatl Chlassicagh	Náuatle clássico
William Cameron Townsend	William Cameron Townsend
Anna Chakvetadze	Anna Chakvetadze
Coontae Chojnice	Condado de Chojnice
Eiza González	Eiza González
Baile Íomhair	Ballivor
Fontanka	Fontanka
Moyka (awin)	Rio Moika
Scannaneaght	Cinematografia
Blaenau Gwent	Blaenau Gwent
Coontae Tuchola	Condado de Tuchola
Reeriaght ny h-Ungaar (1920-1946)	Reino da Hungria (1920-1946)
Dellal	Comércio
Coontae Malbork	Condado de Malbork
Vestmanna	Vestmanna
Bazeleg-an-Dezerzh	Bazouge-du-Désert
Beeal Aah ny Sluigh	Ballinasloe
Bineal	Gutação
Keeill Airney	Killarney
Cooyl-screeudeyr	Ghost-writer
Corockle scoarnagh	Consoante uvular
Aghill	Achill
Argantreg-ar-Genkiz	Argentré-du-Plessis
Genus (reddaghey)	Género
Benac'h	Belle-Isle-en-Terre
Brock	Texugo
Arenal (volcaan)	Vulcão Arenal
Torfaen	Torfaen
Henant-Sal	Hénansal
Entraven	Antrain
Sant-Jili-Plijo	Saint-Gilles-Pligeaux
Dáil Éireann	Dáil Éireann
Keeill Mantan	Wicklow
Corockle crank	Consoante vibrante simples
Reykjanesbær	Reykjanesbær
Teachta Dála	Teachta Dála
Cowrag	Tag (metadados)
Ooisht y Twoaie	North Uist
Breck ny keylley	Pararge aegeria
Kamen Rider: Dragon Knight	Kamen Rider: Dragon Knight
Hvalba	Hvalba
Inver Mooar	Arklow
Baneag gheayney	Pieris napi
Ardjyn Vretin	Subdivisões do País de Gales
Galicia	Galícia
Eiði	Eiði
Ny Gaeil	Gaels
Gaoth Dobhair	Gweedore
Arrane Ashoonagh Vannin	Hino da Ilha de Man
Kilomeadar kerrinagh	Quilómetro quadrado
Rolley çheeraghyn rere earroo yn phobble	Lista de países por população
Organe (ronsaghey-kirpey)	Órgão (anatomia)
Clade	Clado
Yn Ghermaan Heear	Alemanha Ocidental
Mandarin Chadjinit	Mandarim padrão
Uzel	Uzel
Kadeneg	Chasné-sur-Illet
Fuglafjørður	Fuglafjørður
Trójmiasto	Trójmiasto
Bogrenish	Osmunda regalis
W. V. Awdry	Wilbert Awdry
Henry Nicholas Ridley	Henry Nicholas Ridley
Rolley baljyn ayns Ellanyn ny Geyrragh	Lista de cidades nas Ilhas Feroé
Slættaratindur	Slættaratindur
Cobbrag veg	Lycaena phlaeas
Treogan	Tréogan
Cabbash phalm	Palmito
Kione Beih	Birkenhead
Co-chorp Coontae Chaerffili	Caerphilly (County Borough)
Castell-nedd Port Talbot	Neath Port Talbot
Brev	Brie (Ille-et-Vilaine)
Mêl-Karaez	Maël-Carhaix
Co-chorp Coontae Verthyr Tudful	Merthyr Tydfil
Runavík	Runavík
Tvøroyri	Tvøroyri
Manhua	Manhua
Vágur	Vágur
Lapsana communis	Lapsana
Abbyrlhit Baarleagh	Alfabeto inglês
Lheiney polo	Polo (vestuário)
Aah yn Ree	Athenry
Beinn na Faoghla	Benbecula
Pobblaght Hene-reiltagh ny Crimeea	Crimeia
Rolley Ard-Vinishteryn ny Spaainey	Lista de presidentes do Governo da Espanha
Pengilli	Penguily
Koedmaeg	Coëtmieux
Lanreunan	Laurenan
Antrapoaylleeaght hengoaylleeagh	Linguística antropológica
Pluskelleg	Plusquellec
Coontae Świecie	Condado de Świecie
Lanhervoed	Harmoye
Kastellaodren	Châtelaudren
At the Mountains of Madness	At the Mountains of Madness
Bealach Féich	Ballybofey
Braag-spoyrt	Tênis (vestuário)
Cosney stiagh glare	Aquisição da linguagem
Jees sloo	Par mínimo
Happy Feet Two	Happy Feet Two
Enmys mynphlanaidyn	Designação de planeta menor
Calamintha	Calamintha
Divlyn Yiass	Condado de South Dublin
Bolgan glare	Balão de diálogo
Tinvaal	Tynwald
Abejar	Abejar
Alfey	Stipa tenacissima
Yn Partee Glass (Nerin)	Partido Verde (Irlanda)
Steat Seyr Lippe	Estado Livre de Lippe
Rolley stiureyderyn çhengey	Academia de Letras
Leirvík	Leirvík
Kione Sailley	Kinsale
Kervoroc'h	Kermoroc'h
Andel	Andel
Étrépagny	Étrépagny
Oskaleg	Aucaleuc
Brehant-Monkontour	Bréhand
Boulvriag	Bourbriac
Naghtyreen	Nectarina (fruta)
Eaghtyrane ny Ceeprey	Lista de presidentes de Chipre
Traa ynnydagh ny h-Oarpey Heear	Horário da Europa Ocidental
Oaylleeaght ny slaynt	Ciências da saúde
Co-chorp Coontae Vro Morgannwg	Vale of Glamorgan
Hopen	Hopen
Jaggad	Jaqueta
Breckag ghoo-ghlass	Argynnis aglaja
Pictish	Língua picta
Çhengey ergatagh-jeeragh	Língua ergativa-absolutiva
Bro Gozh ma Zadoù	Hino da Bretanha
Baez	Bais
Plangoed	Plancoët
Lokarn	Locarn
Koem	Coësmes
Maez-Geraod	Les Champs-Géraux
Ar C'houerc'had	Le Vieux-Marché
Duaod	Duault
An Erge-Vras	Ergué-Gabéric
Planiel	Pleudaniel
Kerfod	Kerfot
Landehen	Landéhen
Sant-Nikolaz-ar-Pelem	Saint-Nicolas-du-Pélem
Plouvalae	Ploubalay
Ilfinieg	Yffiniac
Plezeved	Plémet
Koatreven	Coatréven
Sant-Postan	Saint-Pôtan
Gouanac'h	Gommenec'h
Erge-ar-Mor	Erquy
Trabrivan	Trébrivan
Sant-Laorañs-Graeneg	Saint-Laurent-sur-Oust
Laue-cheird	Artesanato
Ratçhal	Corrida
Çhengoaylleeaght hoylee	Linguística comparativa
Mynvreetçhyn doarney	Cueca boxer
Çhengag	Lígula (botânica)
Wayuu (çhengey)	Língua wayuu
Cuttee ghoarney	Cueca samba-canção
Ollooscoill ny h-Oaylleeaghtyn Feamagh Ostwestfalen-Lippe	Universidade de Ciências Aplicadas Ostwestfalen-Lippe
An Bhóinn	Rio Boyne
Sumba, Ellanyn ny Geyrragh	Sumba (Ilhas Faroés)
Brest	Brest
Plasmey sthie	Endoplasma
Ronney:Lublin	Categoria:Lublin
Ceanannas, Coontae ny Mee	Kells
Keeill Darey	Kildare
The Fox and the Hound (noa-skeeal)	The Fox and the Hound
Yn Phroosh (ard)	Prússia (Região histórica)
Gillette, Wyoming	Gillette (Wyoming)
Bro Goth agan Tasow	Hino da Cornualha
Cork City F.C.	Cork City F.C.
Yn Dein	Dingle
Boggaghys	Lenição
Once Upon a Forest	Once Upon a Forest
Creoiaghey	Fortição
Coontae Kartuzy	Condado de Kartuzy
Tewynblustri	Newquay
Porkeri	Porkeri
Galway United F.C.	Galway United
Coontae Nowy Dwór Gdański	Condado de Nowy Dwór Gdański
Lheeahid glooie	Bolor limoso
William Ramsay	William Ramsay
Conamara	Connemara
Littyr Kennain	Letterkenny
Çhengaghyn Mixeagh-Zoqueagh	Línguas mixe-zoqueanas
Skórcz	Skórcz
Isabel Ice	Isabel Ice
Gleann Cholm Cille	Glencolmcille
Jeneeve	Gim
Mareeish	Língua mari
Mark Latham	Mark Latham
Poynt broie	Ponto de ebulição
Mannishter 'er Maigh	Fermoy
Yoal	Youghal
Balley Keeill Charane	Campbeltown
Baile Átha Troim	Trim (Irlanda)
Skarszewy	Skarszewy
Caair ny Mart	Westport (Irlanda)
Egineg	Acigné
Noal-Kastellan	Noyal-Châtillon-sur-Seiche
Noual-Pentevr	Noyal
Plehedel	Pléhédel
Tremuzon	Trémuson
Laksaa	Laxey
Yn Chaladoan	Caledônia
Kawan	Cavan (Côtes-d'Armor)
Bee muc friogganagh	Sonchus asper
Cullee choonee fassan	Acessório
Clwyd	Clwyd
Dyfed	Dyfed
Abbyrlhit Proto-Canaanagh	Escrita protocanaanita
Çhybbyrt Aarey Yiass	Condado de Tipperary Sul
Çhybbyrt Aarey Hwoaie	Condado de Tipperary Norte
Toor Moshe Aviv	City Gate Ramat Gan
Abbyrlhit ny Hawaiish	Alfabeto havaiano
109 Piscium b	109 Piscium b
Caslys-earishlioar	Comics
Coontae Człuchów	Condado de Człuchów
Yn-lhoamey	Caducifólia
Bro-Gerne	Cornouaille
Reachlainn	Ilha Rathlin
Lus ny greg	Crithmum maritimum
Arrane reeoil	Hino real
Coontae Bytów	Condado de Bytów
Coontae Słupsk	Condado de Słupsk
Coontae Wejherowo	Condado de Wejherowo
Pobblaght Nerin (1919-1922)	República da Irlanda (1919-1922)
Coontae Lębork	Condado de Lębork
Coontae Kościerzyna	Condado de Kościerzyna
Thorran	Sambaqui
De Morgannwg	South Glamorgan
Lught-reill unnaneagh	Autoridade unitária
Coontae Gdańsk	Condado de Gdańsk
Yn Kerroo Ewagh	Bairro Judeu (Jerusalém)
Denigomodu (slyst)	Distritos de Nauru
Morgannwg Canol	Mid Glamorgan
Steatyn ny Germaan	Estados da Alemanha
Oded	Rio Odet
Loch Feabhail	Lough Foyle
Plasmey mooie	Ectoplasma (citologia)
Coontae Tczew	Condado de Tczew
Coontae Sztum	Condado de Sztum
Coontae Starogard	Condado de Starogard
University College Dublin A.F.C.	University College Dublin Association Football Club
Coontae Kwidzyn	Condado de Kwidzyn
Lagarfljót	Lagarfljót
Harry Beck	Harry Beck
Cooitinagh	Cutícula
Banian	Ficus benghalensis
Ronney:Yn Ghermaan	Categoria:Alemanha
Ronney:Yn Iddaal	Categoria:Itália
Ronney:Ny Steatyn Unnaneysit	Categoria:Estados Unidos
Ronney:Yn Roosh	Categoria:Rússia
Ronney:Yn Chanadey	Categoria:Canadá
Ronney:Reeriaght Unnaneysit	Categoria:Reino Unido
Ronney:Yn Spaainey	Categoria:Espanha
Ronney:Yn Çheen	Categoria:China
Ronney:Yn Çhapaan	Categoria:Japão
Ronney:Yn Austrail	Categoria:Austrália
Ronney:Meksico	Categoria:México
Ronney:Yn Injey	Categoria:Índia
Ronney:Yn Araab Saudi	Categoria:Arábia Saudita
Ronney:Israel	Categoria:Israel
Ronney:Ard-valley yn Phaab	Categoria:Vaticano
Ronney:Yn Turkee	Categoria:Turquia
Ronney:Yn Affrick Yiass	Categoria:África do Sul
Ronney:Yn Egypt	Categoria:Egito
Ronney:Yn Eeraan	Categoria:Irão
Ronney:Yn Teelynn Noa	Categoria:Nova Zelândia
Ronney:Yn Argenteen	Categoria:Argentina
Skaal	Pires
Inis Eoghain	Inishowen
Laa seyr	Feriado
Ronney:Yn Afghanistaan	Categoria:Afeganistão
Ronney:Yn Algear	Categoria:Argélia
Ronney:Yn Austeyr	Categoria:Áustria
Ronney:Yn Vangladesh	Categoria:Bangladesh
Ronney:Pobblaght Gheynlagh ny Congo	Categoria:República Democrática do Congo
Ronney:Yn Choobey	Categoria:Cuba
Ronney:Yn Eetoip	Categoria:Etiópia
Ronney:Yn Indoneesh	Categoria:Indonésia
Ronney:Yn Earack	Categoria:Iraque
Ronney:Yn Çheer Injil	Categoria:Países Baixos
Ronney:Yn Naigeer	Categoria:Nigéria
Ronney:Yn Phakistaan	Categoria:Paquistão
Ronney:Yn Pholynn	Categoria:Polónia
Ronney:Yn Phortiugal	Categoria:Portugal
Ronney:Singapore	Categoria:Singapura
Ronney:Yn Chorea Yiass	Categoria:Coreia do Sul
Ronney:Yn Toodaan	Categoria:Sudão
Ronney:Yn Elveeish	Categoria:Suíça
Ronney:Yn Çheer Thai	Categoria:Tailândia
Ronney:Yn Ookraan	Categoria:Ucrânia
Ronney:Yn Vietnam	Categoria:Vietname
Ronney:Sheeintee	Categoria:Mamíferos
Conaant Pheairt	Tratado de Perth
Ronney:Vertebrata	Categoria:Répteis
Ronney:Daa-veaghee	Categoria:Anfíbios
Ronney:Ushagyn	Categoria:Aves
Ronney:Fungyssyn	Categoria:Fungos
Ronney:Bacteyryn	Categoria:Bactérias
Ronney:Veeryssyn	Categoria:Vírus
Ronney:Lossreeyn	Categoria:Plantas
Ronney:Pteridophyta	Categoria:Pteridófitas
Ronney:Fishig	Categoria:Física
Ronney:Oaylleeaghtyn najooragh	Categoria:Ciências naturais
Ronney:Bea-oaylleeaght	Categoria:Biologia
Ronney:Kemmig	Categoria:Química
Ronney:Dowan-oaylleeaght	Categoria:Ciências da Terra
Ronney:Shennaghys	Categoria:História
Ronney:Çheer-oaylleeaght	Categoria:Geografia
Ronney:Sheshaght	Categoria:Sociedade
Ronney:Craueeaght	Categoria:Religião
Ronney:Spoyrtyn	Categoria:Desportos
Ronney:Oaylleeaght	Categoria:Ciência
Ronney:Ny h-Ashoonyn Unnaneysit	Categoria:Nações Unidas
Ronney:Yn Unnaneys Oarpagh	Categoria:União Europeia
Ronney:Scannaneaght	Categoria:Cinema
Ronney:Strughtooryn troggit	Categoria:Construções
Ronney:Glare	Categoria:Linguagem
Ronney:Yn Chruinney	Categoria:Terra
Ronney:Spoar	Categoria:Espaço
Ronney:Fysseree	Categoria:Informação
Netochka Nezvanova (noaskeeal)	Netochka Nezvanova
Burley frangagh	Rorippa palustris
Glackan	Travão
Billey eairkey	Phellodendron
Griomasaigh	Grimsay
Stronnaghys	Nasalização
Representation of the People Act 1832	Reform Act 1832
Çhengaghyn ny h-Elveeish	Línguas da Suíça
Co-heiyderyssyn parlamaidagh ayns Pobblagh Nerin	Círculos eleitorais da Irlanda
Boglus	Picris echioides
Possan cair-uillinagh	Grupo ortogonal
Zlatograd	Zlatograd
Cannian	Alho-porro
Ennymockle conastagh	Substantivo relacional
Saintongeais	Saintongeais
Quassia	Quassia
2007 UK126	(229762) 2007 UK126
Omurano	Língua omurano
Ronney:Eggoaylleeaght	Categoria:Ecologia
Ronney:Fallsoonys	Categoria:Filosofia
Ronney:Creestiaght	Categoria:Cristianismo
Ronney:Islam	Categoria:Islamismo
Ronney:Ewaghys	Categoria:Judaísmo
Queiggey Donetsk	Oblast de Donetsk
Caslys-çheerey yn çhoob	Mapa do Metropolitano de Londres
Çhengaghyn Greagagh	Línguas helênicas
Celtiagh P as Q	Hipótese celta-P
Paul Muldoon	Paul Muldoon
Cnoc an Línsigh	Summerhill (Irlanda)
Cappan	Copo
Aah ny Mooa	Annamoe
Arrishaght Bates	Mimetismo batesiano
Beetys marrey	Beta maritima
Lhune braghee	Malzbier
Skyrt	Saia
Baljaghtyn ny Danvarg	Municípios da Dinamarca
Ynstaair	Ínstar
Recortyssyn bleeaney Yernagh	Anais irlandeses
A' Ghàidhealtachd	Gàidhealtachd
Fynn Traie	Ventry
Rolley fliughane-oaylleeyn	Lista de micologistas
Kinnaurish	Língua kinnauri
Bochotnica	Bochotnica
Molenez	Molène (Finisterra)
Corys tree reamyn	Sistema dos Três Domínios
Çheer ny Aeg	Tír na nÓg
Fo-eaddagh liauyr	Ceroulas
Myn-screeu	Grafema
Delawarish	Línguas delaware
Greg Cipes	Greg Cipes
Chumash	Chumash
Brattagh Lion	Bandeira de Leinster
Wooishlagh (lus)	Umbilicus rupestris
Conrad Bain	Conrad Bain
Flodaigh	Flodaigh
Baljaghtyn ayns Åland	Municípios de Åland
Alycia Purrott	Alycia Purrott
Clowan:Caslys-çheerey soiaghey Nunavut	Predefinição:Mapa de localização/Nunavut
Clowan:Caslys-çheerey soiaghey Florida	Predefinição:Mapa de localização/Flórida
Clowan:Caslys-çheerey soiaghey Chalifornia	Predefinição:Mapa de localização/Califórnia
Clowan:Caslys-çheerey soiaghey Kansas	Predefinição:Mapa de localização/Kansas
Clowan:Caslys-çheerey soiaghey Vassachusetts	Predefinição:Mapa de localização/Massachusetts
Clowan:Caslys-çheerey soiaghey York Noa	Predefinição:Mapa de localização/Nova Iorque
Clowan:Caslys-çheerey soiaghey Texas	Predefinição:Mapa de localização/Texas
Clowan:Caslys-çheerey soiaghey Wyoming	Predefinição:Mapa de localização/Wyoming
Ronney:Bunyn	Categoria:!Esboços
Ronney:Ronnaghys Wikipedia	Categoria:!Categorização da Wikipedia
Ronney:Stiurey Wikipedia	Categoria:!Administração da Wikipédia
Ronney:Planaidyn	Categoria:Planetas
Ronney:Nheeghyn rollageagh	Categoria:Objetos astronómicos
Ronney:Cultoor	Categoria:Cultura
Ronney:Ronnaghyn rere boayl çheer-oaylleeagh	Categoria:Categorias por lugar geográfico
Ronney:Ronnaghyn	Categoria:Categorias
Ronney:Jeihaghtyn	Categoria:Décadas
Ronney:Bleeantyn	Categoria:Anos
Ronney:Mooar-rheynnyn	Categoria:Continentes
Ronney:Creg-oaylleeaght	Categoria:Geologia
Ronney:Rollaghyn	Categoria:Listas
Commishoon Eaghtyraneagh (Nerin)	Comissão Presidencial (Irlanda)
Yn Cohaglym Celtiagh	Congresso celta
Pran	Pran
Ronney:Coontae Bytów	Categoria:Condado de Bytów
Ronney:Coontae Chojnice	Categoria:Condado de Chojnice
Ronney:Coontae Człuchów	Categoria:Condado de Człuchów
Ronney:Coontae Gdańsk	Categoria:Condado de Gdańsk
Ronney:Coontae Kartuzy	Categoria:Condado de Kartuzy
