Āfrika	África
1691. gads	1691
1770. gads	1770
1858. gads	1858
1692. gads	1692
1771. gads	1771
1859. gads	1859
1693. gads	1693
1772. gads	1772
1860. gads	1860
1773. gads	1773
1861. gads	1861
1694. gads	1694
1695. gads	1695
1774. gads	1774
1862. gads	1862
1696. gads	1696
1775. gads	1775
1863. gads	1863
1697. gads	1697
1776. gads	1776
1864. gads	1864
1698. gads	1698
Ūdenspolo	Polo aquático
1865. gads	1865
1777. gads	1777
1699. gads	1699
1866. gads	1866
1778. gads	1778
1779. gads	1779
1867. gads	1867
1780. gads	1780
1868. gads	1868
Tramplīnlēkšana	Salto de esqui
1781. gads	1781
1869. gads	1869
Napoleons III	Napoleão III de França
Napoleons II	Napoleão II de França
Augusts Strindbergs	August Strindberg
Žozefs I Napoleons	José Bonaparte
Minūte	Minuto
Gracija Deleda	Grazia Deledda
Luijs Bonaparte	Luís I da Holanda
Ebreju autonomais apgabals	Oblast Autônomo Judaico
Aleksejs I Romanovs	Aleixo I da Rússia
Luijs XVI	Luís XVI de França
Ņujorkas metro	Metropolitano de Nova Iorque
Daiļlēkšana	Salto ornamental
Krievu valoda	Língua russa
Luijs XV	Luís XV de França
1782. gads	1782
1870. gads	1870
Luijs XIV	Luís XIV de França
1783. gads	1783
1871. gads	1871
Vladimirs Putins	Vladimir Putin
Likums	Direito
Rokenrols	Rock and roll
Luijs XVIII	Luís XVIII de França
Džuzepe Arčimboldo	Giuseppe Arcimboldo
1784. gads	1784
1872. gads	1872
Matemātiskā analīze	Análise matemática
Konstitūcija	Constituição
1785. gads	1785
1873. gads	1873
1786. gads	1786
1874. gads	1874
1787. gads	1787
1875. gads	1875
1788. gads	1788
1876. gads	1876
ASEAN	Associação de Nações do Sudeste Asiático
Birobidžana	Birobidjan
1789. gads	1789
1877. gads	1877
1790. gads	1790
1878. gads	1878
Francijas vēsture	História da França
Neatkarīgo Valstu Sadraudzība	Comunidade dos Estados Independentes
Spānijas vēsture	História de Espanha
1879. gads	1879
1791. gads	1791
Nāciju Sadraudzība	Commonwealth
Eiropas vēsture	História da Europa
Habarovskas novads	Krai de Khabarovsk
Portugāles vēsture	História de Portugal
Sahalīna	Sacalina
OPEC	Organização dos Países Exportadores de Petróleo
Sahalīnas apgabals	Oblast de Sacalina
Bramantino	Bramantino
Starptautiskā tiesa	Tribunal Internacional de Justiça
Maize	Pão
Anjolo Bronzino	Agnolo Bronzino
Starptautiskais Valūtas fonds	Fundo Monetário Internacional
1792. gads	1792
1880. gads	1880
1793. gads	1793
1881. gads	1881
UNESCO	Organização das Nações Unidas para a Educação, a Ciência e a Cultura
Homērs Simpsons	Homer Simpson
1794. gads	1794
1882. gads	1882
Vispārējā cilvēktiesību deklarācija	Declaração Universal dos Direitos Humanos
Džoto di Bondone	Giotto di Bondone
1795. gads	1795
1883. gads	1883
Pasaules Veselības organizācija	Organização Mundial da Saúde
1796. gads	1796
1884. gads	1884
1797. gads	1797
1885. gads	1885
1886. gads	1886
1798. gads	1798
Pasaules Tirdzniecības organizācija	Organização Mundial do Comércio
1887. gads	1887
1799. gads	1799
Mārdža Simpsone	Marge Simpson
1888. gads	1888
1889. gads	1889
1890. gads	1890
Boriss Viāns	Boris Vian
Megija Simpsone	Maggie Simpson
Renē Magrits	René Magritte
1891. gads	1891
Svahili	Língua suaíli
1892. gads	1892
1893. gads	1893
Alfrēds Žarī	Alfred Jarry
1894. gads	1894
1895. gads	1895
1896. gads	1896
1897. gads	1897
1898. gads	1898
Abū Dabī Grand Prix	Grande Prêmio de Abu Dhabi
Ķīniešu valoda	Língua chinesa
1899. gads	1899
Pasaules rallija čempionāts	Campeonato Mundial de Rali
Argentīnas Grand Prix	Grande Prêmio da Argentina
Sebastjēns Lēbs	Sébastien Loeb
Autorallijs	Rali
Tualete	Vaso sanitário
Južnosahaļinska	Iujno-Sakhalinsk
Daba	Natureza
Psihiatrija	Psiquiatria
Šūna	Célula
Austrālijas Grand Prix	Grande Prêmio da Austrália
Asinis	Sangue
Austrijas Grand Prix	Grande Prêmio da Áustria
Tulūza	Toulouse
Skelets	Esqueleto
Bahreinas Grand Prix	Grande Prêmio do Bahrain
Plaušas	Pulmão humano
Videospēle	Jogo eletrônico
Elpošanas orgānu sistēma	Sistema respiratório
Reproduktīvā sistēma	Aparelho reprodutor
Kasablanka	Casablanca
Rumāņu valoda	Língua romena
Bulgāru valoda	Língua búlgara
Pedagoģija	Pedagogia
Lietus	Chuva
Malgašu valoda	Língua malgaxe
Frenks Herberts	Frank Herbert
Lavīna	Avalancha
Klimats	Clima
Kiriši	Kirishi
El Ninjo	El Niño
Globālā sasilšana	Aquecimento global
Zemestrīce	Sismo
Minerāls	Mineral
Kamčatkas novads	Krai de Kamtchatka
Patiesība	Verdade
Plātņu tektonika	Tectónica de placas
Petropavlovska-Kamčatska	Petropavlovsk-Kamchatski
Dzenbudisms	Zen
Beļģijas Grand Prix	Grande Prêmio da Bélgica
Brazīlijas Grand Prix	Grande Prêmio do Brasil
Kanādas Grand Prix	Grande Prêmio do Canadá
Ziemeļu kotiks	Callorhinus ursinus
Magadana	Magadan
Magadanas apgabals	Oblast de Magadan
Anadira	Anadyr
Ķīnas Grand Prix	Grande Prêmio da China
Starptautiskā matemātikas olimpiāde	Olimpíada Internacional de Matemática
Čukotkas autonomais apvidus	Chukotka
Datorpele	Rato (informática)
Laptevu jūra	Mar de Laptev
Ruriks	Rurik de Kiev
Dabaszinātnes	Ciências naturais
Korejas Grand Prix	Grande Prémio da Coreia do Sul
Eiropas Grand Prix	Grande Prêmio da Europa
Ivans IV	Ivã IV da Rússia
Francijas Grand Prix	Grande Prêmio da França
Vācijas Grand Prix	Grande Prêmio da Alemanha
Japānas Grand Prix	Grande Prêmio do Japão
Sergejs Eizenšteins	Serguei Eisenstein
Luksofors	Semáforo
Akira Kurosava	Akira Kurosawa
Franklins Rūzvelts	Franklin Delano Roosevelt
Zemes zinātne	Ciências da terra
Gājēju pāreja	Faixa de segurança
Avicenna	Avicena
Dārbi muzejs un mākslas galerija	Derby Museum and Art Gallery
Vinstons Čērčils	Winston Churchill
Svētais Augustīns	Agostinho de Hipona
Lielbritānijas Grand Prix	Grande Prêmio da Grã-Bretanha
Nelsons Mandela	Nelson Mandela
Indijas Grand Prix	Grande Prêmio da Índia
Martins Luters Kings	Martin Luther King Jr.
Itālijas Grand Prix	Grande Prêmio da Itália
GIMP	GIMP
Lasvegasas Grand Prix	Grande Prêmio de Las Vegas
Pēdiņas	Aspas
Ferments	Enzima
10. gadsimts	Século X
Olbaltumvielas	Proteína
Čigāni	Ciganos
Ieži	Rocha
Dabas katastrofas	Desastre natural
Aminoskābes	Aminoácido
Plūdi	Inundação
Luksemburgas Grand Prix	Grande Prémio do Luxemburgo
Cunami	Tsunami
Vulkāns	Vulcão
Mākoņi	Nuvem
Televizors	Televisor
Loģika	Lógica
Wii	Wii
1896. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1896
Virpuļviesulis	Tornado
Malaizijas Grand Prix	Grande Prêmio da Malásia
9. gadsimts	Século IX
Trigonometrija	Trigonometria
8. gadsimts	Século VIII
Ģeometrija	Geometria
1900. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1900
7. gadsimts	Século VII
6. gadsimts	Século VI
Gramatika	Gramática
Viesuļvētra	Ciclone tropical
Nintendo	Nintendo
Vējš	Vento
5. gadsimts	Século V
Telugu valoda	Língua telugu
1904. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1904
4. gadsimts	Século IV
Marokas Grand Prix	Grande Prêmio de Marrocos
3. gadsimts	Século III
2. gadsimts	Século II
Atmosfēra	Atmosfera
1906. gada neoficiālās Olimpiskās spēles	Jogos Olímpicos Intercalados de 1906
1. gadsimts	Século I
Gruzīnu valoda	Língua georgiana
Meksikas Grand Prix	Grande Prêmio do México
1908. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1908
1912. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1912
1916. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1916
1920. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1920
1924. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1924
Ekonomika	Economia
Kapitāls	Capital (economia)
1928. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1928
Valūta	Moeda
1932. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1932
Japānas jena	Iene
Rūpniecība	Indústria
1936. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1936
Nodoklis	Imposto
Valodniecība	Linguística
Pečora (upe)	Rio Pechora
Vārds	Palavra
Fonēma	Fonema
Zilbe	Sílaba
Rakstība	Sistema de escrita
Ilava (Polija)	Iława
Arābu alfabēts	Alfabeto árabe
Daugava	Rio Duína Ocidental
Ķīniešu hieroglifi	Caracteres chineses
Kirilica	Alfabeto cirílico
Grieķu alfabēts	Alfabeto grego
Hangils	Hangul
Latīņu alfabēts	Alfabeto latino
Rakstpratība	Alfabetização
Kategorija:Bulgārija	Categoria:Bulgária
Literatūra	Literatura
Kategorija:Francija	Categoria:França
Kara māksla	A Arte da Guerra
Daiļliteratūra	Ficção
Kategorija:Mūzika	Categoria:Música
Tūkstoš un vienas nakts pasakas	As Mil e Uma Noites
Kategorija:Literatūra	Categoria:Literatura
Romāns	Romance
Kategorija:Dzeja	Categoria:Poesia
Sarkanā kambara sapņi	O Sonho da Câmara Vermelha
Kategorija:Francijas vēsture	Categoria:História da França
Eirozona	Zona Euro
Leģenda par Gendži	Genji Monogatari
Poēma par Gilgamešu	Epopeia de Gilgamesh
Manga	Mangá
Iliāda	Ilíada
Mahābhārata	Mahabharata
Izkaisītā skleroze	Esclerose múltipla
Šāhnāme	Shahnameh
Dāvids Geta	David Guetta
Ķirbju dzimta	Cucurbitaceae
Divdīgļlapji	Dicotiledónea
Lapsa	Raposa
Rudā lapsa	Raposa-vermelha
Federālais izmeklēšanas birojs	FBI
Harijs Poters	Harry Potter
Trompete	Trompete
Džezs	Jazz
Klarnete	Clarinete
Dūdas	Gaita de fole
@@@u0026Dīvainais Els@@@u0026 Jenkeviks	@@@u0026Weird Al@@@u0026 Yankovic
Trombons	Trombone
Papīra saspraude	Clipe
Vijole	Violino
Valjadolida	Valladolid
( )	( )
Algoritms	Algoritmo
1940. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1940
Čells	Violoncelo
1944. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1944
Oboja	Oboé
Ostrava	Ostrava
Pedofilija	Pedofilia
.ac	.ac
Zoofīlija	Zoofilia
Masturbācija	Masturbação
Anālais sekss	Sexo anal
1948. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1948
1952. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1952
Aleksandrs Lielais	Alexandre, o Grande
1956. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1956
Konstantīns I	Constantino
1960. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1960
Rokasbumba	Andebol
1964. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1964
Aeroinženierija	Aeronáutica
Kīrs Lielais	Ciro II
Aerodinamika	Aerodinâmica
Sabiedrība	Sociedade
1968. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1968
Civilizācija	Civilização
Izglītība	Educação
Ģimene	Família
1972. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1972
Ugo Čavess	Hugo Chávez
Vīrietis	Homem
Oto fon Bismarks	Otto von Bismarck
1976. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1976
Laulība	Casamento
Kurts Kobeins	Kurt Cobain
Vikipēdija franču valodā	Wikipédia em francês
Vikipēdija spāņu valodā	Wikipédia em espanhol
1980. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1980
Aborts	Aborto
Nāvessods	Pena de morte
1984. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1984
Korredžo	Antonio da Correggio
Cilvēktiesības	Direitos humanos
Rasisms	Racismo
Timurs	Tamerlão
Verdzība	Escravidão
Pilsoņu karš	Guerra civil
1. FC Kaiserslautern	1. Fußball-Club Kaiserslautern
Umars Ibnelhatābs	Omar
1988. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1988
Redžo di Kalabrija	Régio da Calábria
Karaspēks	Militar
Suleimans I	Solimão, o Magnífico
Interpols	Interpol
Pēteris I	Pedro I da Rússia
Krūšu kauls	Esterno
Kafija	Café
1992. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1992
Sula	Suco
Amudarja	Amu Dária
Piens	Leite
Kalns	Montanha
Datubāze	Banco de dados
Tuksnesis	Deserto
Futbola laukums	Campo de futebol
Vahša	Rio Vakhsh
1996. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 1996
The Big Bang Theory	The Big Bang Theory
Pandža	Rio Panj
2000. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 2000
Deikstras algoritms	Algoritmo de Dijkstra
Edsgers Deikstra	Edsger Dijkstra
2004. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 2004
2008. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 2008
Suņs Jisjaņs	Sun Yat-sen
2012. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 2012
Saladīns	Saladino
Ašoka	Asoka
Akbars Lielais	Akbar
Simons Bolivars	Simón Bolívar
Hipnoze	Hipnose
Endrū Džonsons	Andrew Johnson
2016. gada Vasaras Olimpiskās spēles	Jogos Olímpicos de Verão de 2016
Kvame Nkruma	Kwame Nkrumah
Jidišs	Língua iídiche
Honkonga	Hong Kong
Maiami	Miami
Karāči	Carachi
Korejas karš	Guerra da Coreia
Vēršu Dzinējs	Boötes
Arābu—izraēliešu konflikts	Conflito árabe-israelense
Lagosa	Lagos (Nigéria)
Pūķis (zvaigznājs)	Draco
Amerikas pilsoņu karš	Guerra de Secessão
Riodežaneiro	Rio de Janeiro (cidade)
Zivis (zvaigznājs)	Pisces
Lielbritānijas impērija	Império Britânico
Madrides @@@u0026Real@@@u0026 (futbols)	Real Madrid Club de Fútbol
Aukstais karš	Guerra Fria
Seula	Seul
Džona Kenedija starptautiskā lidosta	Aeroporto Internacional John F. Kennedy
Šanhaja	Xangai
Bilbao @@@u0026Athletic"	Athletic Club
Kultūras revolūcija	Revolução Cultural Chinesa
Hītrovas lidosta	Aeroporto de Londres Heathrow
Bilbao	Bilbau
Lielā depresija	Grande Depressão
Madrides @@@u0026Atletico"	Club Atlético de Madrid
Volts Disnejs	Walt Disney
Meidzi restaurācija	Restauração Meiji
Sevilja	Sevilha
Seviljas @@@u0026Real Betis"	Real Betis Balompié
1917. gada Krievijas revolūcija	Revolução Russa de 1917
Cjinu dinastija	Dinastia Qing
Mīdieši	Medos
Versaļas līgums	Tratado de Versalhes (1919)
Meisene	Meißen
Arhimēds	Arquimedes
Vjetnamas karš	Guerra do Vietnã
Tomass Edisons	Thomas Edison
Bigo	Vigo
Eiklīds	Euclides
Albāņu valoda	Língua albanesa
Bigo @@@u0026Celta"	Real Club Celta de Vigo
Maikls Faradejs	Michael Faraday
Basku valoda	Língua basca
Enriko Fermi	Enrico Fermi
Akoruņa	Corunha
Akoruņas @@@u0026Deportivo"	Real Club Deportivo de La Coruña
Fibonači	Leonardo Fibonacci
Aragoniešu valoda	Língua aragonesa
British Airways	British Airways
DNS (protokols)	Domain Name System
Henrijs Fords	Henry Ford
Žozefs Furjē	Jean-Baptiste Joseph Fourier
HTTP	Hypertext Transfer Protocol
Galēns	Cláudio Galeno
RCD Espanyol	Reial Club Deportiu Espanyol de Barcelona
Armēņu valoda	Língua arménia
Kriptogrāfija	Criptografia
Internet Protocol	Protocolo de Internet
Ukraiņu valoda	Língua ucraniana
Baits	Byte
TCP	Transmission Control Protocol
Bits	Bit
Getafe Club de Fútbol	Getafe Club de Fútbol
Granada	Granada (Espanha)
HTML	HTML
Ogistēns Košī	Augustin-Louis Cauchy
ASCII	ASCII
Valensija (Spānija)	Valência (Espanha)
Unikods	Unicode
Melnkalniešu valoda	Língua montenegrina
Palma (pilsēta)	Palma de Maiorca
Maļorka	Maiorca
Žirafe (zvaigznājs)	Camelopardalis
Real Club Deportivo Mallorca	Real Club Deportivo Mallorca
Zelta Zivs	Dorado
Valis (zvaigznājs)	Cetus
Jaunava (zvaigznājs)	Virgo
Centaurs (zvaigznājs)	Centaurus
Valansa	Valence (Drôme)
Vēzis (zvaigznājs)	Cancer
Malaga	Málaga
Lauva (zvaigznājs)	Leo
Málaga CF	Málaga Club de Fútbol
Orions (zvaigznājs)	Orion (constelação)
Pegazs (zvaigznājs)	Pegasus
Skorpions (zvaigznājs)	Scorpius
Strēlnieks (zvaigznājs)	Sagittarius
Satjadžits Rejs	Satyajit Ray
Stīvens Spīlbergs	Steven Spielberg
Eiropas Komisija	Comissão Europeia
Eiropadome	Conselho Europeu
Eiropas Parlaments	Parlamento Europeu
Eiropas Savienības Padome	Conselho da União Europeia
Eiropas Revīzijas palāta	Tribunal de Contas Europeu
Eiropas Centrālā banka	Banco Central Europeu
Čūsknesis	Ophiuchus
Eiropas Padome	Conselho da Europa
Čūska (zvaigznājs)	Serpens
Krāsns (zvaigznājs)	Fornax
Lielais Lācis	Ursa Major
Eiropas Atomenerģijas kopiena	Comunidade Europeia da Energia Atómica
Gulbis (zvaigznājs)	Cygnus
Dvīņi (zvaigznājs)	Gemini (constelação)
Mariona Kotijāra	Marion Cotillard
Zvaigznājs	Constelação
Eiropas Ekonomiskā telpa	Espaço Económico Europeu
Johans Gūtenbergs	Johannes Gutenberg
Džeimss Preskots Džouls	James Prescott Joule
Johanness Keplers	Johannes Kepler
Kankuna	Cancún
Gvadalahara	Guadalajara
Mo Jaņs	Mo Yan
Šafhauzene	Schaffhausen
Makss Planks	Max Planck
Gvadalahara (Meksika)	Guadalajara (México)
Zviedru valoda	Língua sueca
Dāņu valoda	Língua dinamarquesa
Nikola Tesla	Nikola Tesla
Al-Horezmī	Al-Khwarizmi
Džeimss Vats	James Watt
Norvēģu valoda	Língua norueguesa
Čānakja	Cautília
Gotfrīds Leibnics	Gottfried Wilhelm Leibniz
Noams Čomskis	Noam Chomsky
Luksemburgiešu valoda	Língua luxemburguesa
Čehu valoda	Língua tcheca
Slovāku valoda	Língua eslovaca
Kārlis Markss	Karl Marx
Slovēņu valoda	Língua eslovena
Valters Dikss	Walter Dix
Ungāru valoda	Língua húngara
Voltērs	Voltaire
Igauņu valoda	Língua estónia
Šons Krofords	Shawn Crawford
Mozus	Moisés
Latviešu valoda	Língua letã
Lešons Merits	LaShawn Merritt
Zināšanas	Conhecimento
Lietuviešu valoda	Língua lituana
Džeremijs Voriners	Jeremy Wariner
Hinduisms	Hinduísmo
Baltkrievu valoda	Língua bielorrussa
Hosē Muhika	José Mujica
Džeimss Maksvels	James Clerk Maxwell
Monako Grand Prix	Grande Prêmio de Mônaco
Krūts	Mama
Dmitrijs Mendeļejevs	Dmitri Mendeleiev
Klusā okeāna Grand Prix	Grande Prêmio do Pacífico
Peskāras Grand Prix	Grande Prêmio de Pescara
Portugāles Grand Prix	Grande Prémio de Portugal
Kenenisa Bekele	Kenenisa Bekele
Atoms	Átomo
Sanmarīno Grand Prix	Grande Prêmio de San Marino
Ernests Rezerfords	Ernest Rutherford
Vintertūra	Winterthur
Gaisma	Luz
Grieķu valoda	Língua grega
Ervīns Šrēdingers	Erwin Schrödinger
Mitoloģija	Mitologia
Operētājsistēma	Sistema operativo
Singapūras Grand Prix	Grande Prêmio de Singapura
Brimins Kipruto	Brimin Kipruto
Tadžmahāls	Taj Mahal
Īru valoda	Língua irlandesa
Programmēšanas valoda	Linguagem de programação
Pingvīnu dzimta	Pinguim
Fundamentālisms	Fundamentalismo
Dajrons Robless	Dayron Robles
E-pasts	E-mail
Monoteisms	Monoteísmo
Josips Brozs Tito	Josip Broz Tito
Politeisms	Politeísmo
Dvēsele	Alma
Maltiešu valoda	Língua maltesa
Persiešu valoda	Língua persa
Reliģija	Religião
Korejiešu valoda	Língua coreana
Ābrams	Abraão
Radīšanas grāmata	Gênesis
Kantoniešu dialekts	Cantonês
Empire State Building	Empire State Building
Izceļošanas grāmata	Livro do Êxodo
Renē Dekarts	René Descartes
Mandarīnu valoda	Língua mandarim
Vjetnamiešu valoda	Língua vietnamita
Svētais Pāvils	Paulo de Tarso
Brīvības statuja	Estátua da Liberdade
Klaivs Steiplss Lūiss	Clive Staples Lewis
Khmeru valoda	Língua khmer
Spānijas Grand Prix	Grande Prêmio da Espanha
ASV Grand Prix	Grande Prêmio dos Estados Unidos
Laosiešu valoda	Língua laociana
ASV Armija	Exército dos Estados Unidos
Detroitas Grand Prix	Grande Prêmio do Leste dos Estados Unidos
Zigmunds Freids	Sigmund Freud
Taju valoda	Língua tailandesa
ASV Rietumu Grand Prix	Grande Prêmio do Oeste dos Estados Unidos
Zviedrijas Grand Prix	Grande Prêmio da Suécia
Šveices Grand Prix	Grande Prêmio da Suíça
Dienvidāfrikas Grand Prix	Grande Prêmio da África do Sul
Birmiešu valoda	Língua birmanesa
Turcijas Grand Prix	Grande Prêmio da Turquia
Kategorija:Zvaigznāji	Categoria:Constelações
Džainisms	Jainismo
Ungārijas Grand Prix	Grande Prêmio da Hungria
Georgs Vilhelms Frīdrihs Hēgelis	Georg Wilhelm Friedrich Hegel
Malajiešu valoda	Língua malaia
Indonēziešu valoda	Língua indonésia
Mongoļu valoda	Língua mongol
Baku	Baku
Pūpe (zvaigznājs)	Puppis
Kazahu valoda	Língua cazaque
Altāris (zvaigznājs)	Ara
Kirgīzu valoda	Língua quirguiz
Andromeda (zvaigznājs)	Andrômeda (constelação)
UNESCO Pasaules mantojuma objekts	Património Mundial
Tadžiku valoda	Língua tajique
Asterisms	Asterismo (astronomia)
Uzbeku valoda	Língua uzbeque
Salāti (ēdiens)	Salada
Turkmēņu valoda	Língua turcomena
Jūdaisms	Judaísmo
Thimphu	Thimbu
Bandarseribegavana	Bandar Seri Begawan
Kauss (zvaigznājs)	Crater
Berenikes Mati	Coma Berenices
Tēlnieks (zvaigznājs)	Sculptor
Ivrits	Língua hebraica
Galds (zvaigznājs)	Mensa
Azerbaidžāņu valoda	Língua azeri
Ibn Haldūns	Ibn Khaldun
Maķedoniešu valoda	Língua macedônia
Serbu valoda	Língua sérvia
Serbohorvātu valoda	Língua servo-croata
Delfīns (zvaigznājs)	Delphinus
Bosniešu valoda	Língua bósnia
Mazais Suns	Canis Minor
Galisiešu valoda	Língua galega
Velsiešu valoda	Língua galesa
Dili	Díli
Imanuels Kants	Immanuel Kant
Skotu gēlu valoda	Língua gaélica escocesa
Sikhisms	Sikhismo
Džons Meinards Keinss	John Maynard Keynes
Tintoreto	Tintoretto
Lufthansa	Lufthansa
Vjenčana	Vienciana
Gijs de Mopasāns	Guy de Maupassant
Uzvedība	Comportamento
Laodzi	Lao Zi
Gmail	Gmail
Google Drive	Google Drive
Google Docs	Google Docs
Male	Malé
Picasa	Picasa
Joga	Ioga
Pikaču	Pikachu
Džons Loks	John Locke
Frīdrihs Nīče	Friedrich Nietzsche
Biškeka	Bisqueque
Žans Pols Sartrs	Jean-Paul Sartre
Dušanbe	Duchambe
Google meklētājs	Google Search
Aknas	Fígado
Liesa	Baço
Simacjaņs	Sima Qian
Nieres	Rim
Ādams Smits	Adam Smith
Urīnpūslis	Bexiga
Sēklinieks	Testículo
Urīnvads	Ureter
Urīnizvadkanāls	Uretra
Maksis Vēbers	Max Weber
Ludvigs Vitgenšteins	Ludwig Wittgenstein
Truši	Coelho
Džu Sji	Zhu Xi
Nervu sistēma	Sistema nervoso
Vilkacis	Lobisomem
Emocijas	Emoção
Psiholoģija	Psicologia
Domāšana	Pensamento
Džeks Nikleuss	Jack Nicklaus
Timbuktu	Tombuctu
Okeāns	Oceano
Arnolds Pālmers	Arnold Palmer
Akvīnas Toms	Tomás de Aquino
Viktorija (Lielbritānija)	Vitória do Reino Unido
Sidhārta Gautama	Sidarta Gautama
Lietus mežs	Floresta húmida
Pīts Samprass	Pete Sampras
Anglijas futbola Premjerlīga	Premier League
Dialektika	Dialética
Muhameds	Maomé
Ētika	Ética
Epistemoloģija	Epistemologia
Gribas brīvība	Livre-arbítrio
IPod	IPod
Vāveres	Esquilo
Sačins Tendulkars	Sachin Tendulkar
Lidvāveres	Esquilo-voador
Varbūtība	Probabilidade
Anglijas Futbola asociācija	The Football Association
Īstenība	Realidade
Elpošana	Respiração
BBC	British Broadcasting Corporation
Šāhruhs Hāns	Shahrukh Khan
Bāddoberāna	Bad Doberan
Tonijs Blērs	Tony Blair
Al Gazāli	Al-Ghazali
Mārtiņš Luters	Martinho Lutero
Džons Meidžors	John Major
Amitābs Bačens	Amitabh Bachchan
Džeimss Kelahans	James Callaghan
Burgosa	Burgos
Konfūcisms	Confucionismo
Džeralds Fords	Gerald Ford
1924. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1924
Honda	Honda
Šiītu islāms	Xiismo
Ričards Niksons	Richard Nixon
1928. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1928
Romas Katoļu baznīca	Igreja Católica
Trimūrti	Trimúrti
1932. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1932
Vēders	Abdómen
Daoisms	Taoismo
1936. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1936
Zoroastrisms	Zoroastrismo
Sūfisms	Sufismo
Cilvēka galvaskauss	Crânio humano
Muguras smadzenes	Medula espinhal
1940. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1940
Vēnas	Veia
Bengāļu valoda	Língua bengali
Dzemde	Útero
1944. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1944
Mēle	Língua
1948. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1948
Chelsea F.C.	Chelsea Football Club
Arsenal FC	Arsenal Football Club
Aizkuņģa dziedzeris	Pâncreas
Nervs	Nervo
Cilvēka skelets	Esqueleto humano
1952. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1952
Liberālie demokrāti	Partido Liberal Democrata (Reino Unido)
Priekšdziedzeris	Próstata
Konservatīvā partija (Apvienotā Karaliste)	Partido Conservador (Reino Unido)
Vēderplēve	Peritónio
Leiboristu partija (Apvienotā Karaliste)	Partido Trabalhista (Reino Unido)
Olnīca	Ovário
1956. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1956
Kakls	Pescoço
1960. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1960
Mute	Boca
1964. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1964
Balsene	Laringe
Zarnas	Intestino
Lindons Džonsons	Lyndon B. Johnson
1968. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1968
Locītava	Articulação
1972. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1972
Dziedzeris	Glândula
Folklenda Salas	Ilhas Malvinas
Gremošanas orgānu sistēma	Aparelho digestivo
1976. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1976
1980. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1980
Ipswich Town F.C.	Ipswich Town Football Club
Diafragma	Músculo diafragma
Artērijas	Artéria
1984. gada Ziemas Olimpiskās spēles	Jogos Olímpicos de Inverno de 1984
