Αφρική	África
868	868
855	855
Κόμμα Συμμαχίας Φιλελευθέρων και Δημοκρατών για την Ευρώπη	Aliança dos Democratas e Liberais pela Europa (partido)
818	818
Γούντι Άλεν	Woody Allen
837	837
Λάμια (αποσαφήνιση)	Lâmia (desambiguação)
845	845
Φαμπρίτσιο Ντε Αντρέ	Fabrizio De André
Γίγαντας	Giant
Πιερ Πάολο Παζολίνι	Pier Paolo Pasolini
Γκρέτζιο	Greggio
Λινιάνα	Lignana
Λιβόρνο Φερράρις	Livorno Ferraris
American Beauty	Beleza Americana
Κέβιν Σπέισι	Kevin Spacey
Μονκριβέλο	Moncrivello
Φράνκο Μπατιάτο	Franco Battiato
Ρόαλντ Νταλ	Roald Dahl
Ρομπέρτο Σαβιάνο	Roberto Saviano
Τιτανικός	RMS Titanic
Rammstein	Rammstein
Inception	A Origem
Κρίστοφερ Νόλαν	Christopher Nolan
Ρονσέκκο	Ronsecco
Σαλάσκο	Salasco
Σάλι Βερτσελλέζε	Sali Vercellese
Σαν Τζερμάνο Βερτσελλέζε	San Germano Vercellese
Σαντιά	Santhià
Τρίτσερο	Tricerro
Τρίνο	Trino
Τροντσάνο Βερτσελλέζε	Tronzano Vercellese
Βιλλαρμπόιτ	Villarboit
166	166
Κουκουβάγια	Strigiformes
Πρόεδρος της Γερμανίας	Presidente da Alemanha
Στερλίνα	Libra esterlina
Ολλανδικές Αντίλλες	Antilhas Neerlandesas
Ανγκουίλα	Anguilla
Γκέρνσεϊ	Guernsey
Αρχιπέλαγος Σβάλμπαρντ	Svalbard
Μπενέτιτσε	Benetice (Světlá nad Sázavou)
Κοτσύφι	Turdus merula
Ώρα	Hora
Βατ (μονάδα μέτρησης)	Watt
Αρακάς	Pisum sativum
Σπονδυλωτό	Vertebrados
Σημύδα	Bétula
2016	2016
Τσαλαπετεινός	Poupa-eurasiática
Βολτ	Volt
Νόβι Ντβορ Κρολέφσκι	Nowy Dwór Królewski
Υετός	Precipitação (meteorologia)
Φεροϊκή γλώσσα	Língua feroesa
Μετεωρολογία	Meteorologia
Αζόρες	Açores
Αιλουρίδες	Felidae
552	552
Κλίμακα Κελσίου	Grau Celsius
Αφροασιατικές γλώσσες	Línguas afro-asiáticas
Τζάουλ (μονάδα μέτρησης)	Joule
Πρίστινα	Pristina
Διεθνής Διαστημικός Σταθμός	Estação Espacial Internacional
Αμπέρ (μονάδα μέτρησης)	Ampere
Σταχτοτσικνιάς	Garça-real-europeia
ISO 3166-1	ISO 3166-1
Ισότοπο	Isótopo
Ισπανιόλα	Ilha de São Domingos
Ντουάιτ Χάουαρντ	Dwight Howard
Κουρασάο	Curaçao
Χάρρισμπεργκ (Πενσυλβάνια)	Harrisburg
Νταλάτ	Da Lat
Ντα Νανγκ	Da Nang
Μαϊντανός	Salsa (planta)
Ουψάλα	Uppsala
Γκέτεμποργκ	Gotemburgo
Κορνουαλική γλώσσα	Língua córnica
2017	2017
Χουρμαδιά	Tamareira
Κελτικές γλώσσες	Línguas celtas
Σφυρί	Martelo
Γλωσσική οικογένεια	Família linguística
6ος αιώνας π.Χ.	Século VI a.C.
1ος αιώνας π.Χ.	Século I a.C.
2 π.Χ.	2 a.C.
1 π.Χ.	1 a.C.
2ος αιώνας π.Χ.	Século II a.C.
Ουάσινγκτον (αποσαφήνιση)	Washington (desambiguação)
Ρατσίμπορζ	Racibórz
Πιτσιλέμου	Pichilemu
Βρετανικές Παρθένοι Νήσοι	Ilhas Virgens Britânicas
Σαρκοφάγα	Carnívoros
Καρακάξα	Pega-rabuda
Ορχιδέα	Orquídea
Βλαττοειδή	Barata
Ρόμπερτ Κένεντι	Robert F. Kennedy
Νυφίτσα	Mustela nivalis
Δίπτερα	Diptera
Αγγειόσπερμα	Angiosperma
Τυτώ	Coruja-das-torres
Ώρχους	Aarhus
Πολ Λανζεβέν	Paul Langevin
3ος αιώνας π.Χ.	Século III a.C.
Αρκτική	Ártico
Φριζικές γλώσσες	Língua frísia
Μαλάκια	Moluscos
Κοκκινελίδες	Joaninha
Αντόνι Γκαουντί	Antoni Gaudí
Αρτιοδάκτυλα	Artiodátilos
Τρέντον (Νιου Τζέρσεϊ)	Trenton (Nova Jersey)
Όντενσε	Odense
Ψαραετός	Pandion haliaetus
Κοκκινολαίμης	Pisco-de-peito-ruivo
4ος αιώνας π.Χ.	Século IV a.C.
Μαρσιποφόρα	Marsupiais
Ο Μικρός Πρίγκιπας	Le Petit Prince
5ος αιώνας π.Χ.	Século V a.C.
7ος αιώνας π.Χ.	Século VII a.C.
Στρουθιόμορφα	Passeriformes
Ισχύς	Potência
Τετραγωνικό μέτρο	Metro quadrado
Ελβετικό φράγκο	Franco suíço
Ερμίνα	Arminho
8ος αιώνας π.Χ.	Século VIII a.C.
Βρύο	Musgo
Πρασινοκέφαλη (πάπια)	Pato-real
Αστερίας	Estrela-do-mar
Ελάτη	Abeto
Τέοντορ Μόμσεν	Theodor Mommsen
Λευκοπελαργός	Cegonha-branca
Διπλοσάινο	Açor
Κίσσα	Gaio-comum
Γροιλανδική γλώσσα	Língua groenlandesa
Λεύκα	Populus
Κοράκι	Corvus corax
Ηλεκτρική αντίσταση	Resistência elétrica
Νήσος Ναβάσσα	Ilha de Navassa
123 π.Χ.	123 a.C.
234 π.Χ.	234 a.C.
Άγιος Βαρθολομαίος	Coletividade de São Bartolomeu
Πλαγκτόν	Plâncton
Δίθυρα	Bivalvia
Κόμπι Μπράιαντ	Kobe Bryant
Ιερακόμορφα	Falconiformes
Χονδριχθύες	Chondrichthyes
Δράμα	Drama
Ατλαντίδα	Atlântida
Περισσοδάκτυλα	Perissodáctilos
Οδοντόγναθα	Odonata
Φαλαρίδα	Galeirão-comum
Μαυροσταχτάρα	Andorinhão-preto
Βίλε Βάλο	Ville Valo
Ξεφτέρι	Gavião-da-europa
Κεχριμπάρι	Âmbar
Πύρρουλας	Dom-fafe
Φρυγίλλος ο άγαμος	Tentilhão
Νανόμπουφος	Coruja-pequena
Γερακίνα	Buteo buteo
Χαβαρόνι	Gralha-calva
Συκοφάγος	Papa-figos
Γιουτλάνδη	Jutlândia
Καλημάνα	Vanellus vanellus
Αηδόνι	Rouxinol
Κάργια	Gralha-de-nuca-cinzenta
Νιούαρκ (Νιου Τζέρσεϊ)	Newark
Μποναίρ	Bonaire
Μαυροπελαργός	Cegonha-preta
Ασπροσουσουράδα	Alvéola-branca
Σύνθετα	Asteraceae
Λαγόμορφα	Lagomorfos
Οξιά	Faia
Κουρούνα	Gralha-cinzenta
Κουλόμπ (μονάδα μέτρησης)	Coulomb
Αγριαψιθιά	Milefólio
Κόσιτσε	Košice
Άλμποργκ	Aalborg
Χέλσινγκμποργκ	Helsingborg
Βεστερός	Västerås
Σταβάνγκερ	Stavanger
Κορόνα Δανίας	Coroa dinamarquesa
Καρδερίνα	Pintassilgo-comum
Εσερίχια κόλι	Escherichia coli
Νανοβουτηχτάρι	Tachybaptus ruficollis
Σκουφοβουτηχτάρι	Mergulhão-de-crista
9ος αιώνας π.Χ.	Século IX a.C.
10ος αιώνας π.Χ.	Século X a.C.
345 π.Χ.	345 a.C.
Διαφορά δυναμικού	Tensão elétrica
Σταβλοχελίδονο	Hirundo rustica
Σειρηνοειδή	Sirenia
Θαλασσαετός	Haliaeetus albicilla
Δρυοκολάπτης	Pica-pau
Κορμοράνος	Corvo-marinho-de-faces-brancas
Κνιδόζωα	Cnidários
Σορβικές γλώσσες	Línguas sorábias
Φουνσάλ	Funchal
Ολόκαινος εποχή	Holoceno
Βερβερικές γλώσσες	Línguas berberes
Μέλνλικε	Mölnlycke
Ψαρόνι	Estorninho-comum
Μπατούμι	Batumi
Καλόγερος (πτηνό)	Chapim-real
456 π.Χ.	456 a.C.
Bovidae	Bovídeos
Δίοδος Εκπομπής Φωτός	Diodo emissor de luz
Accept	Accept
Κυβικό μέτρο	Metro cúbico
Δακτυλιοσκώληκες	Anelídeo
Σάμπα (Ολλανδία)	Saba
Σγιέλαν	Zelândia (Dinamarca)
Πλειστόκαινο	Pleistoceno
Βαλτόκιρκος	Tartaranhão-azulado
Αγέλαος	Agelau
Ούμεο	Umeå
600	600
Φώκιες	Foca
Άγιος Μαρτίνος (νήσος)	Ilha de São Martinho
Σανκτ Γκάλεν	São Galo (cidade)
Συνδετικός ιστός	Tecido conjuntivo
Λάριξ	Larix
400	400
Λίτας	Litas lituano
300	300
Πορθμείο	Balsa
Άρκευθος	Juniperus
Digital Object Identifier	Digital object identifier
Αρτεμισία το αψίνθιο	Absinto (planta)
Κιρκίρι	Marrequinha-comum
Ήταυρος	Botaurus stellaris
1η χιλιετία π.Χ.	Primeiro milénio a.C.
Η Εμμονή της Μνήμης	A Persistência da Memória
Έρεμπρο	Örebro
Η Μπάρμπι στον Καρυοθραύστη	Barbie em O Quebra Nozes
Τρυποφράχτης	Carriça
Bibcode	Bibcode
Χουχουριστής	Aluco
Ούνικς Καζάν	BC UNICS
Βαρβάρα (πτηνό)	Pato-branco
Βαλτόμπουφος	Coruja-do-nabal
Τρόντχαϊμ	Trondheim
Ευθήρια	Placentários
Ανοικτή θάλασσα	Alto-mar
Πόλεμος της Επανάκτησης	Guerra de Devolução
2η χιλιετία	Segundo milénio d.C.
1η χιλιετία	Primeiro milénio d.C.
Αλεξάντρ Γκλαζουνόφ	Aleksandr Konstantinovitch Glazunov
Δεντρογέρακο	Ógea
Στρειδοφάγος	Ostraceiro-europeu
Εσκιμολεουτικές γλώσσες	Línguas esquimó-aleútes
Διαστημικός σταθμός	Estação espacial
Έρμαν Έσσε	Hermann Hesse
Ώρα Κεντρικής Ευρώπης	Horário da Europa Central
Παγκόσμιο Πρωτάθλημα Καλαθοσφαίρισης	Campeonato Mundial de Basquetebol Masculino
Δάφνη (φυτό)	Loureiro
Αγγλοαμερικανικός πόλεμος του 1812	Guerra anglo-americana de 1812
Φάσσα	Pombo-torcaz
Λευκοχελίδονο	Delichon urbicum
Τζέιμς Μάσλοου	James Maslow
Greatest Lovesongs Vol. 666	Greatest Love Songs Vol. 666
Junkers Ju 52	Junkers Ju 52
Κλας-Γιαν Χούντελααρ	Klaas-Jan Huntelaar
Υδροκυάνιο	Cianeto de hidrogênio
Σούπα από πτερύγιο καρχαρία	Sopa de barbatanas de tubarão
Πύλη της Ιστάρ	Porta de Ishtar
Αιώρημα	Suspensão (química)
Χάννα Χάρπερ	Hannah Harper
Μπεκάτσα	Galinhola
Πρέσοβ	Prešov
Μικροτσικνιάς	Garça-pequena
Αβοκέτα	Alfaiate (ave)
Μαργαρίτα	Bellis perennis
ΟΥΕΦΑ Τσάμπιονς Λιγκ 1995-96	Liga dos Campeões da UEFA de 1995–96
Άγιος Ευστάθιος	Santo Eustáquio (Países Baixos)
Τα Πρωτόκολλα των Πρεσβύτερων (Σοφών) της Σιών	Os Protocolos dos Sábios de Sião
Διονύσιος ο Αλικαρνασσεύς	Dionísio de Halicarnasso
Χρυσοτσίχλονο	Escrevedeira-amarela
Γναθοστόματα	Gnatostomados
3η χιλιετία	Terceiro milénio d.C.
Μαδέρα	Região Autónoma da Madeira
2η χιλιετία π.Χ.	Segundo milénio a.C.
Παρθένοι Νήσοι	Ilhas Virgens
Ατροπίνη	Atropina
Άγιος Μαρτίνος (Ολλανδία)	São Martinho (Países Baixos)
Διαγωνισμός Νέων Χορευτών Eurovision	Festival Eurovisão de Jovens Dançarinos
Λόγκαν Χέντερσον	Logan Henderson
Ηλεκτρύωνας	Electrião
Λάπαθο	Rumex acetosa
Ελευσίνια Μυστήρια	Mistérios de Elêusis
Σαπινδώδη	Sapindales
Πανεπιστήμιο Νικολό Κουζάνο	Università degli Studi Niccolò Cusano
Ντάνκαν Α΄ της Σκωτίας	Duncan I da Escócia
Διπρωτόδοντα	Diprotodontia
Ηλεκτροστατική	Eletrostática
Γλαυκοκαρχαρίας	Prionace glauca
Δολάριο Ανατολικής Καραϊβικής	Dólar do Caribe Oriental
Ημίπτερα	Hemiptera
Ατομική φυσική	Física atômica
Do It Yourself	Faça você mesmo
Αντεργκράουντ	Underground
Δημόσια ραδιοτηλεόραση	Radiodifusão pública
Αχαγκάρ	Hoggar
Φαρισαίος	Fariseus
Χιονογερακίνα	Bútio-patudo
Ντόρντρεχτ	Dordrecht
Μονπελιέ (Βερμόντ)	Montpelier (Vermont)
Καλαμόκιρκος	Tartaranhão-ruivo-dos-pauis
Παγκόσμιο Κλασικό του Μπέιζμπολ	Clássico Mundial de Beisebol
Σφυριχτάρι	Piadeira
Μπόμπαν Μπαμπούνσκι	Boban Babunski
Γρηγοριανό μέλος	Canto gregoriano
Σούντσβαλ	Sundsvall
Βραχοκιρκίνεζο	Peneireiro-vulgar
Σημαία της Γεωργίας	Bandeira da Geórgia
Εσκιλστούνα	Eskilstuna
Φιονία	Fiónia
Ο Γέρος και η Θάλασσα	O Velho e o Mar
Έστερσουντ	Östersund
Λουίς Σουάρες	Luis Alberto Suárez
Ντράμεν	Drammen
Ρομποτικό διαστημόπλοιο	Sonda espacial
Κουνάβι	Marta (animal)
Τεχνητός δορυφόρος	Satélite artificial
Χρένο	Raiz-forte
Γιακ	Iaque
Σταυρομύτης	Cruza-bico
Παιδική κακοποίηση	Abuso sexual de menor
Περιφέρειες του Νεπάλ	Regiões do Nepal
Εθνόσημο της Δημοκρατίας της Κίνας	Brasão de armas da República da China
Ζάχλε	Zahlé
Λιβαδόκιρκος	Tartaranhão-caçador
Αυτοκρατορία των Εφθαλιτών	Império Heftalita
Αντόνιο Κόντε	Antonio Conte
Σιουδάδ Χουάρες	Ciudad Juárez
Φουκουόκα	Fukuoka (cidade)
Κοκκινούρης	Rabirruivo-de-testa-branca
Ματ Χάρντι	Matt Hardy
Τι απέγινε η Μπέιμπι Τζέιν;	What Ever Happened to Baby Jane?
Ιωάννης Αργυρόπουλος	João Argirópulo
Χρυσοβασιλίσκος	Estrelinha-de-poupa
Αετομάχος	Picanço-de-dorso-ruivo
BMW	BMW
Οργάνωση για την Απελευθέρωση της Παλαιστίνης	Organização para a Libertação da Palestina
Φρατέρκουλα του Ατλαντικού	Fradinho
Άνηθος	Endro
Κηλιδοβούτι	Mobelha-pequena
Εθνικός Ύμνος του Τουρκμενιστάν	Garassyz, Bitarap, Türkmenistanyn Döwlet Gimni
Καρδινάλιος Ρισελιέ	Cardeal de Richelieu
Μπα (κωμόπολη)	Ba (cidade)
Γιδοβύζι	Noitibó-da-europa
Δυτικές γερμανικές γλώσσες	Línguas germânicas ocidentais
Γαριφαλόδενδρο	Cravo-da-índia
Φοινικικό αλφάβητο	Alfabeto fenício
Καρβουνιάρης	Rabirruivo-preto
Κισσός (φυτό)	Hedera
1242 Ζαμβεζία	1242 Zambesia
2165 Γιανγκ	2165 Young
Σιέρρα Νεβάδα (Η.Π.Α.)	Serra Nevada (Estados Unidos)
2866 Χάρντυ	2866 Hardy
Μπέργκεν	Bergen
Junkers Ju 87	Junkers Ju 87
Ab urbe condita	Ab urbe condita
Ντάνι Ντε Βίτο	Danny DeVito
Κιούμελ	Carum carvi
Αλεντέζου	Alentejo
Ηρόδοτος	Heródoto
Αλγκάρβε	Algarve
Οθέλος	Otelo, o Mouro de Veneza
Ασημόψαρο	Lepisma saccharina
Όρκα	Orca
Αρχέλαος Α΄ της Μακεδονίας	Arquelau I da Macedônia
Γαλατία (Μικρά Ασία)	Galácia
Βέιντερ	Big Van Vader
Καμίλο Σιενφουέγος	Camilo Cienfuegos
Διαμέρισμα Σαν Αντρές και Προβιδένσια	Santo André, Providência e Santa Catarina
Αιτωλία	Etólia
Κολλαγόνο	Colágeno
Τέιλορ Σουίφτ	Taylor Swift
Μέλβιλ Ντιούι	Melvil Dewey
Θεριζοαλωνιστική μηχανή	Colheitadeira
Χαλικοκυλιστής	Rola-do-mar
Σιέρρα Νεβάδα	Serra Nevada
Αγριοκαστανιά	Castanheiro-da-índia
Σιουδάδ Μπολίβαρ	Ciudad Bolívar
Νομός Φωκίδας	Fócida
Χαλίντ ιμπν Ουαλίντ	Khalid ibn al-Walid
Alfa Romeo	Alfa Romeo
Ιάκωβος ο αδελφόθεος	Tiago, o Justo
Πιτ Τάουνσεντ	Pete Townshend
Ηλίανθος	Helianthus
Σιέρρα Νεβάδα (Ισπανία)	Serra Nevada (Espanha)
Προγεστερόνη	Progesterona
Ψυχρόμετρο	Psicrómetro
Mercedes-AMG	Mercedes-AMG
Γονιδιακή έκφραση	Expressão génica
Νήσοι Κουκ	Ilhas Cook
Κάρδαμο	Lepidium sativum
Carabidae	Carabidae
Αιλουροειδή	Feliformia
Ppm (μονάδα μέτρησης)	Parte por milhão
Ενισχυτής	Amplificador
Καραΐβοι	Caraíbas (etnia)
Καρατζάς (πτηνό)	Gaivina-de-bico-vermelho
Ανώτερα φυτά	Planta vascular
Ηλεκτρική ισχύς	Potência elétrica
Ο Βασιλιάς κι Εγώ	O Rei e Eu
Έρο	Ærø
Αλ Καφ	El Kef (Tunísia)
Κεμπιλί	Kebili
Λα Μανουμπά	Manouba
Ράντερς	Randers
Ευρωβουλευτής	Eurodeputado
Άμλετ (ταινία 1948)	Hamlet (1948)
1897 Χιντ	1897 Hind
Ετερόπτερα	Heteroptera
Λάμαρ Χαντ Γ.Σ. Όπεν Καπ	Copa dos Estados Unidos
Οστεϊχθύες	Osteichthyes
Σιλγιάνα	Siliana
Τσιφτάς	Trigueirão
Bentley	Bentley
Δυτική Ασία	Sudoeste Asiático
Βασίλειο της Πρωσίας	Reino da Prússia
Πόρτο Σάντο	Porto Santo
Πυξός	Buxo
Βακ-Κόρποραλ	WAC Corporal
Οδοντίατρος	Dentista
Βόρεια Αφρική	Norte de África
Μέτωπο Εθνικής Απελευθέρωσης Σαντινίστας	Frente Sandinista de Libertação Nacional
Παγκόσμια Ομοσπονδία Δημοκρατικών Νεολαιών	Federação Mundial da Juventude Democrática
Ανατολική Αφρική	África Oriental
Scream	Scream
Modern Talking	Modern Talking
Cadillac	Cadillac (automóvel)
Κυνηγός-συλλέκτης	Caçador-coletor
Dacia	Automobile Dacia
DAF Trucks	DAF
Τσερμάτ	Zermatt
Λούκας Βίλτσες	Lucas Wilchez
Τζακ ο Κυνηγός Γιγάντων	Jack the Giant Slayer
Cursus honorum	Cursus honorum
Λάνγκελαντ	Langeland
Ευρασία-Αφρική	Eurafrásia
Daimler	Daimler AG
BES νησιά	Países Baixos Caribenhos
Ferrari	Ferrari
Γλάρος	Larídeos
AC/DC	AC/DC
Όμιλος Fiat	FIAT
Ντον Άνταμς	Don A. Adams
Κεντρική Αμερική	América Central
Κάδμος	Cadmo
Στάδιο Πετρόφσκι	Estádio Petrovsky
Μιχαήλ Μπακούνιν	Mikhail Bakunin
Κανάριος φοίνικας	Palmeira-das-canárias
Φοίνικας (φυτό)	Phoenix (planta)
Ξενοδοχείο	Hotel
Μανόλο Χιμένεθ	Manolo Jiménez
Σάκα Ζούλου	Shaka Zulu
Οίνος της Μαδέρας	Vinho da Madeira
Κρίση του Οκτωβρίου (Καναδάς, 1970)	Crise de Outubro
Ξιφοφόρα	Ensifera
S	S (desambiguação)
Λουί Αντουάν Λεόν ντε Σαιν Ζυστ	Louis Antoine Léon de Saint-Just
Διχοτόμος γωνίας	Bissetriz
Κατάλογος Ναζιστικών στρατοπέδων συγκέντρωσης	Lista dos campos de concentração nazistas
Χριστάδελφοι	Cristadelfianos
Γερμανικό πρωτάθλημα ποδοσφαίρου ανδρών 2006-2007	1. Fußball-Bundesliga alemã 2006/2007
Πολιορκία της Κωνσταντινούπολης (717-18)	Cerco de Constantinopla (717-718)
Νόμοι της Νυρεμβέργης	Leis de Nuremberg
Βαθύφωνος	Baixo (voz)
Τενόρος	Tenor
Ζαγκουάν (Κυβερνείο)	Zaghouan (província)
Καλαθοσφαίριση στους Θερινούς Ολυμπιακούς Αγώνες 2008 / γυναίκες	Basquetebol nos Jogos Olímpicos de Verão de 2008 - Feminino
Καλαθοσφαίριση στους Θερινούς Ολυμπιακούς Αγώνες 2008 / άνδρες	Basquetebol nos Jogos Olímpicos de Verão de 2008 - Masculino
Λίστα (αφηρημένος τύπος δεδομένων)	Lista
Εκκλησίες της Τσιλοέ	Igrejas de Chiloé
Εθνική Τυνησίας (ποδόσφαιρο ανδρών)	Seleção Tunisiana de Futebol
Κουτσό	Amarelinha
'Till I Collapse	'Till I Collapse
C (αποσαφήνιση)	C (desambiguação)
Αλφόνσο Κουαρόν	Alfonso Cuarón
Τζούντι Ντεντς	Judi Dench
Χαμάμ	Hamam
Άντολφ Άιχμαν	Adolf Eichmann
Εθνική Αιγύπτου (ποδόσφαιρο ανδρών)	Seleção Egípcia de Futebol
Μαυρότρυγγας	Perna-vermelha-escuro
Χελιδόνι	Hirundo
Κανέλα	Canela
Αλτάι γλώσσα	Língua altai
Τζέφερσον Σίτι (Μιζούρι)	Jefferson City
Παγκόσμιος Πόλεμος Ζ	World War Z (filme)
Τζάκσον	Jackson (Mississippi)
Αουγκούστα (Μέιν)	Augusta (Maine)
Μπατόν Ρουζ	Baton Rouge
Μαγκρέμπ	Magrebe
Οι Άθλιοι (ταινία 2012)	Os Miseráveis (2012)
Άπω Δυτική περιφέρεια (Νεπάλ)	Extremo-Oeste (Nepal)
Ασημόγλαρος	Gaivota-prateada
Λάνσινγκ	Lansing
Αμχαρική γλώσσα	Língua amárica
Κόνκορντ (Νιου Χάμσαϊρ)	Concord (Nova Hampshire)
Αρμενικό ημερολόγιο	Calendário arménio
Κρις Μπρόντερικ	Chris Broderick
Λίνκολν (Νεμπράσκα)	Lincoln (Nebraska)
Αννάπολις	Annapolis (Maryland)
Έντι Ρέντμεϊν	Eddie Redmayne
Σέλινο	Apium graveolens
Λεπιδόπτερα	Lepidoptera
Μαγνητική διαπερατότητα	Permeabilidade magnética
Ορτύκι	Codorniz-comum
Λαμιακός πόλεμος	Guerra Lamiaca
Σπαράγγι	Asparagus officinalis
Σεναριογράφος	Roteirista
Μοίρα (γεωμετρία)	Grau (geometria)
Νυχτερίδα	Morcego
Συνοικία Κάσκι	Kaski (distrito)
Σάο Λουίς	São Luís (Maranhão)
Δυτική περιφέρεια (Νεπάλ)	Oeste (Nepal)
Μεσοδυτική περιφέρεια (Νεπάλ)	Centro-Oeste (Nepal)
36	36
Βραβεία Ολίβιε	Laurence Olivier Award
Τρίχα	Pelo
Μαξ Μπροντ	Max Brod
Μπερενίς Μπεζό	Bérénice Bejo
Ρέιφ Φάινς	Ralph Fiennes
Χάινριχ φον Κλάιστ	Heinrich von Kleist
Στάντιο Ρέντζο Μπαρμπέρα	Estádio Renzo Barbera
Πελαργός	Ciconiidae
Αυστροουγγαρία	Áustria-Hungria
Σπρίνγκφιλντ (Ιλινόις)	Springfield (Illinois)
Τόντορ Ζίβκοβ	Todor Jivkov
Ανθόζωα	Anthozoa
The Vampire Diaries	The Vampire Diaries (série)
Μισέλ Χαζαναβίσιους	Michel Hazanavicius
Δημόσια βιβλιοθήκη	Biblioteca pública
Μάγια	Civilização maia
Ίνκα	Império Inca
Κομητεία	Condado
Ανατολική περιφέρεια (Νεπάλ)	Região Leste (Nepal)
567 π.Χ.	567 a.C.
Κεντρική περιφέρεια (Νεπάλ)	Centro (Nepal)
Ντέιβιντ Πετρέους	David Petraeus
Κοινωνική ανθρωπολογία	Antropologia cultural
Αραμαϊκή γλώσσα	Aramaico
Φράνκφορτ (Κεντάκι)	Frankfort (Kentucky)
Συνοικία Δόλπα	Dolpa (distrito)
Γκάρι Κασπάροφ	Garry Kasparov
Δράκων	Drácon
Επαιτικά τάγματα	Ordens mendicantes
Γλυκάνισος	Anis
Πανεπιστήμιο του Ελσίνκι	Universidade de Helsinque
Νουκλεοσίδιο	Nucleosídeo
Κάζιμιρ Φουνκ	Casimir Funk
Αμινογλυκοσίδες	Aminoglicosídeo
Νουκλεοτίδιο	Nucleótido
Λιποπρωτεΐνη χαμηλής πυκνότητας	Lipoproteína de baixa densidade
Αντίστροφη μεταγραφάση	Transcriptase reversa
Ο Πόλεμος των Άστρων: Οι Επαναστάτες	Star Wars Rebels
Εφαρμοσμένες επιστήμες	Ciências aplicadas
Ύφασμα	Tecido têxtil
Μετάλλιο Φιλντς	Medalha Fields
Σαιντ Πωλ (Μινεσότα)	Saint Paul (Minnesota)
Python	Python
Αγαθό (οικονομία)	Bem (economia)
Λάχτι	Lahti
Στυρένιο	Estireno
Μπερνάρδο Ο' Χίγκινς	Bernardo O'Higgins
Ματ Μόργκαν	Matt Morgan
Διεθνές Αεροδρόμιο Βρυξελλών	Aeroporto de Bruxelas
Πώρος	Poro (rei)
Cloud Atlas (ταινία)	Cloud Atlas (filme)
Φρανκ Λόιντ	Frank Lloyd
Ποδόσφαιρο κλειστού χώρου	Showbol
Ποδοβόλεϊ	Futevôlei
Εμβρυογένεση	Embriogénese
Stereophonics	Stereophonics
Αίθουσα της Τενερίφης	Auditório de Tenerife
Σπείρα του Αρχιμήδη	Espiral de Arquimedes
Κρίστοφερ Μάρλοου	Christopher Marlowe
Νέα Φλαμανδική Συμμαχία	Nova Aliança Flamenga
Το Κινούμενο Κάστρο	Howl no Ugoku Shiro
Τσόου Τσόου	Chow-chow
Δένδερα	Dendera
Μίλος Ζέμαν	Miloš Zeman
Πασκάλ Κουπακί	Pascal Koupaki
Άκουρεϊρι	Akureyri
Οτζάνο ντελ Εμίλια	Ozzano dell'Emilia
Αναστενάρια	Nestinarstvo
Αραβοβυζαντινοί πόλεμοι	Guerras bizantino-árabes
ΦΚ Κουμπάν Κρασνοντάρ	Kuban Krasnodar
Ζενίτ Αγίας Πετρούπολης	FC Zenit São Petersburgo
ΦΚ Σπαρτάκ Μόσχας	FC Spartak Moscou
Λοκομοτίβ Μόσχας	FC Lokomotiv Moscou
Ακίτα (σκύλος)	Akita Inu
Τρίτος θερμοδυναμικός νόμος	Terceira lei da termodinâmica
Πεζικό	Infantaria
Παράγωγος	Derivada
Φρανθίσκο Φράνκο	Francisco Franco
Επίσκοπος	Bispo
Προκριματικά Ευρωπαϊκού Πρωταθλήματος 2008	Qualificações para o Campeonato Europeu de Futebol de 2008
Supermarine Spitfire	Supermarine Spitfire
Γιαγί Μπονί	Thomas Yayi Boni
Πρεμιέρα Κύκλου	Estreia de temporada
Αιγυπτιακή επανάσταση του 2011	Revolução Egípcia de 2011
Σάουλι Νιινίστο	Sauli Niinistö
Τάρια Χάλονεν	Tarja Halonen
Ρινόκερος της Σουμάτρας	Rinoceronte-de-sumatra
Νεκρόπολη των Θηβών	Necrópole de Tebas
Κύπελλο Πορτογαλίας (ποδόσφαιρο ανδρών)	Taça de Portugal
Μάρτι Αχτισάαρι	Martti Ahtisaari
300 (κόμικς)	Os 300 de Esparta
Σαιν Μπριέκ	Saint-Brieuc
Πυραμίδα του Ηλίου	Pirâmide do Sol
Πυραμίδα της Σελήνης	Pirâmide da Lua
McDonnell Douglas F-15 Eagle	F-15 Eagle
Φαταλισμός	Fatalismo
F-35 Lightning II	F-35 Lightning II
Πρώτος Πόλεμος της Τσετσενίας	Primeira Guerra da Chechênia
Πρωτάθλημα Ελλάδας καλαθοσφαίρισης ανδρών	Liga Grega de Basquetebol
Αρχιεπίσκοπος του Καντέρμπερι	Arcebispo da Cantuária
Γιόχαν Στράους	Johann Strauss
Παλάτσο Πίττι	Palácio Pitti
ESCP Europe	ESCP Europe
Γουίλις Τάουερ	Willis Tower
Ερεθιστικότητα	Irritabilidade
Κάντερμπερι	Cantuária
Βλάχικη γλώσσα	Língua arromena
Μετάφραση των Εβδομήκοντα	Septuaginta
Αρβανίτικη γλώσσα	Língua arvanitica
Καστελφράνκο Βένετο	Castelfranco Veneto
Μοντγκόμερι (Αλαμπάμα)	Montgomery (Alabama)
Γκρέντελ	Grendel
ΑΚΡ Μεσσίνα	Associazione Calcio Rinascita Messina
