Afríka	África
Fílolás	Filolau de Crotona
Leikstjórnandi (körfuknattleikur)	Armador (basquete)
Tonkinflói	Golfo de Tonkin
Eistland í Söngvakeppni evrópskra sjónvarpsstöðva	Estónia no Festival Eurovisão da Canção
Mellotron	Mellotron
Carola Häggkvist	Carola Häggkvist
Kate Moss	Kate Moss
Erfðir (forritun)	Herança (programação)
Þráðlaust staðarnet	WLAN
Maurice Merleau-Ponty	Maurice Merleau-Ponty
Rudy Giuliani	Rudolph Giuliani
Darin Zanyar	Darin
Monica Lewinsky	Monica Lewinsky
Hámiðaldir	Idade Média Plena
Döbb	Dub
I Am Legend (kvikmynd)	Eu Sou a Lenda
Þriðja millitímabilið	Terceiro Período Intermediário
Klassísk skilyrðing	Condicionamento clássico
Alrúna	Mandragora
Annáll Engilsaxa	Crônica Anglo-Saxônica
Burt Bacharach	Burt Bacharach
Suðurnes	Suðurnes
Vaðfuglar	Ave limícola
1812-forleikurinn	Abertura 1812
Spagettívestri	Spaghetti western
The Selfish Gene	O Gene Egoísta
Beygjuskil	Ponto de inflexão
Listi yfir stærðfræðinga	Lista de matemáticos
Pelóta	Pelota basca
Alkajos	Alceu de Mitilene
Stephen Colbert	Stephen Colbert
Neftóbak	Rapé
Lehman Brothers	Lehman Brothers
Heimilistæki	Eletrodoméstico
Vefverslun	Comércio on-line
Aflatoxin	Aflatoxina
Pontifex Maximus	Pontífice máximo
Samuel Adams	Samuel Adams
Tú alfagra land mítt	Tú alfagra land mítt
Síðmiðaldir	Baixa Idade Média
Sundföt	Traje de banho
Benedict Anderson	Benedict Anderson
Open Season	Open Season
Þráður	Thread (ciência da computação)
Nýaldartónlist	New age
Austur-Indíur	Índias
Svartur bjarnköttur	Arctictis binturong
Víkingaþungarokk	Viking metal
Burrhus Frederic Skinner	Burrhus Frederic Skinner
Landhelgi	Mar territorial
Skelleysingjar	Aplacophora
Valdés-skagi	Península Valdés
Emilia Fox	Emilia Fox
Jonzac	Jonzac
Merlot	Merlot
John Stockton	John Stockton
Enska knattspyrnudeildin	Football League
Opið mengi	Conjunto aberto
Mykines	Mykines
New York Yankees	New York Yankees
Virginíuháskóli	Universidade de Virgínia
Verslun (búð)	Loja
Át	Alimentação
Sandkassi	Caixa de areia
Kynkirtill	Gónada
Harmonium	Harmônio
Bangsi	Urso de pelúcia
Hummer	Hummer
Boyzone	Boyzone
Djenné	Djenné
Bill Cosby	Bill Cosby
Forseti Tékkóslóvakíu	Lista de presidentes da Tchecoslováquia
Metallica (plata)	Metallica (álbum)
Turninn í Hanoi	Torre de Hanói
Kæfisvefn	Apneia de sono
Cyrano de Bergerac	Cyrano de Bergerac
Jesse James	Jesse James
Víkingaöld	Era viking
Karl Lachmann	Karl Lachmann
Kóreupopp	K-pop
Grímsey	Grímsey
Hurling	Hurling
Bluegrass	Bluegrass
Snælda	Fuso (têxtil)
Hringjarinn í Notre-Dame (kvikmynd 1996)	O Corcunda de Notre Dame (filme)
Eiríkur blóðöx	Érico I da Noruega
Phil Spector	Phil Spector
Kraftlyftingar	Levantamento de peso básico
Ólafur Tryggvason	Olavo I da Noruega
Lindisfarne	Lindisfarne
Alessandro Costacurta	Alessandro Costacurta
Úr bálki hrakfalla	A Series of Unfortunate Events
Annise Parker	Annise Parker
Jim Jones	Jim Jones
Paul Walker	Paul Walker
Jarðsöguleg tímatalsfræði	Geocronologia
Hafís	Banquisa
Listi yfir ríkisstjórnir Ítalíu	Lista de primeiros-ministros da Itália
Kajak- og kanóróður	Canoagem
Reifasveppir	Amanita
Lúxemborgarfranki	Franco luxemburguês
Gustav Vigeland	Gustav Vigeland
Boston Red Sox	Boston Red Sox
21 Jump Street	21 Jump Street (filme)
Estella Svíaprinsessa	Estela Sílvia, duquesa de Östergötland
Flundra	Platichthys flesus
Dvergar (norræn goðafræði)	Anões (mitologia)
Seltjarnarnesbær	Seltjarnarnes
Níðhöggur	Níðhöggr
Vísindabyltingin	Revolução científica
Ýmir	Imer (mitologia nórdica)
Myndunarstaður	Ponto de articulação
Stjörnuhreyfill	Motor radial
Luciano Floridi	Luciano Floridi
Xenókrates	Xenócrates
Orustan um Wesnoth (tölvuleikur)	The Battle for Wesnoth
Blóðbaðið á Haymarket	Revolta de Haymarket
Innfeldi	Produto interno
Þjóðhöfðingjar Skotlands	Lista de monarcas da Escócia
Eden Hazard	Eden Hazard
Benni McCarthy	Benni McCarthy
Olíuhreinsistöð	Refinaria
Spádómur	Profecia
MacBook Pro	MacBook Pro
Blöðruselur	Foca-de-crista
Pentium	Pentium
Jean Nouvel	Jean Nouvel
Elenóra Spánarprinsessa	Leonor, Princesa das Astúrias
Alin	Vara
Pækill	Salmoura
Skýjaskógur	Floresta nublada
David Seaman	David Seaman
Mark Hughes	Mark Hughes (futebolista)
Beatrix Potter	Beatrix Potter
Benny Andersson	Benny Andersson
Núllstöð	Raiz (matemática)
John Fowles	John Fowles
Félagsauður	Capital social
Nyiragongo	Monte Nyiragongo
Snjóþrúgur	Raquete de neve
Gautelfur	Göta älv
Aldursgreining með geislunarmælingu	Datação radiométrica
Publius Quinctilius Varus	Públio Quintílio Varo
Þétteðlisfræði	Física da matéria condensada
Northern-leið	Northern line
Pierre Bayle	Pierre Bayle
Mýrdalsjökull	Mýrdalsjökull
Bank of China Tower	Bank of China Tower (Hong Kong)
Harry Belafonte	Harry Belafonte
Willard Van Orman Quine	Willard van Orman Quine
Símanúmer	Número de telefone
Gemini-geimferðaáætlunin	Projeto Gemini
Betlehemsturninn	Torre de Belém
Niðarósdómkirkja	Catedral de Nidaros
Ritrýni	Revisão por pares
Lewisham (borgarhluti)	Lewisham
Game & Watch	Game & Watch
Auðhumla	Audumbla
Súpergrúppa	Supergrupo
Mlungu dalitsani Malaŵi	Mulungu dalitsa Malaŵi
Fágað fall	Função analítica
Tomás Luis de Victoria	Tomás Luis de Victoria
Spóar	Numenius
Skagen	Skagen
BMX	BMX
Ufsagrýla	Gárgula
John Mayer	John Mayer
Hot Fuss	Hot Fuss
Grárefur	Raposa-cinzenta
Piccadilly Circus	Piccadilly Circus
Richard Rorty	Richard Rorty
Vedatímabilið	Civilização védica
Daniel Dennett	Daniel Dennett
Anna Bergendahl	Anna Bergendahl
Geislaskammtur	Dose absorvida
Rákahöfrungur	Golfinho-riscado
Norðursnjáldri	Baleia-bicuda-de-sowerby
Notting Hill	Notting Hill
SVT	Sveriges Television
Björn bróðir	Brother Bear
Askøy	Askøy
Sundurlæg mengi	Conjuntos disjuntos
Presence	Presence
Stikilberja-Finnur	As Aventuras de Huckleberry Finn (livro)
Music From the Film More	Music from the Film More
Stórveldistími Svíþjóðar	Império Sueco
Vitrúvíski maðurinn	Homem vitruviano
Kevin Federline	Kevin Federline
Henry Morgan	Henry Morgan
Jerry Seinfeld	Jerry Seinfeld
Aladdín	Aladdin
Konungsríkið Írland	Reino da Irlanda
Carrie Underwood	Carrie Underwood
Raddbönd	Cordas vocais
Þyrnirós (kvikmynd 1959)	A Bela Adormecida (filme)
Vilém Flusser	Vilém Flusser
Arnaldur Indriðason	Arnaldur Indriðason
Orkudrykkur	Bebida energética
Jared Padalecki	Jared Padalecki
Kapellumeistari	Mestre de capela
Heimskringla	Heimskringla
Torneträsk	Lago Torneträsk
Kristinehamn	Kristinehamn
Mállýskusamfella	Continuum dialetal
Ellen Pompeo	Ellen Pompeo
Jeff Buckley	Jeff Buckley
Perlumóðir	Madrepérola
Birtíngur	Cândido, ou O Otimismo
Fuglaspámaður	Áugure
Gliese 581 g	Gliese 581 g
Barnaheill	Save the Children
Kepri	Khepri
Yfirstilling	Overclocking
Aðalpersóna	Protagonista
Þrúgur reiðinnar	As Vinhas da Ira
Deildaverslun	Loja de departamento
Hneflur	Russula
Charing Cross	Charing Cross
Gráloddur	Oniscidea
Steve Carell	Steve Carell
Þorskfiskar	Gadiformes
Alain Robbe-Grillet	Alain Robbe-Grillet
Strákasveitir	Boy band
Titill	Título
Docklands Light Railway	Docklands Light Railway
Tyne-á	Rio Tyne
Glitský	Nuvem estratosférica polar
Sámsey	Samsø
Leiftur	Golfinho-de-laterais-brancas-do-atlântico
Brasilíutré	Caesalpinia echinata
Italo Svevo	Italo Svevo
Ruslatunna	Lixeira
Sam Houston	Sam Houston
Valdimar atterdag	Valdemar IV da Dinamarca
Icelandair	Icelandair
Gluggastjóri	Gerenciador de janela
Vögguprent	Incunábulo
Háfrónska	Alto islandês
Ludvig Holberg	Ludvig Holberg
Liam Gallagher	Liam Gallagher
Jens Fink-Jensen	Jens Fink-Jensen
LARP	Live action (RPG)
Flores	Ilha das Flores (Açores)
Ísland í Söngvakeppni evrópskra sjónvarpsstöðva	Islândia no Festival Eurovisão da Canção
Hlaðbakur	Hatchback
Kvasir	Kvasir
Geysir	Geysir
Svínoy	Svínoy
Skúvoy	Skúvoy
Sker	Escolho
Gran Sasso	Gran Sasso
Hoba-loftsteinninn	Meteorito Hoba
Grænhöfði	Cabo Verde (cabo)
Umhverfa	Inverso multiplicativo
Veraldarhyggja	Secularismo
Óliver og félagar	Oliver & Company
Harry Potter (kvikmyndaröð)	Harry Potter (série de filmes)
Auglýsingastofa	Agência de publicidade
Ingvar Kamprad	Ingvar Kamprad
Sean Kingston	Sean Kingston
Júródans	Eurodance
Hera Björk Þórhallsdóttir	Hera Björk
Hafréttarsáttmáli Sameinuðu þjóðanna	Convenção das Nações Unidas sobre o Direito do Mar
Josh Hutcherson	Josh Hutcherson
Jerry Bruckheimer	Jerry Bruckheimer
Síðfornöld	Antiguidade Tardia
Peter Abrahams	Peter Abrahams
Pólitískur fangi	Preso político
Ferðaskrifstofa	Agência de viagens
Airsoft	Airsoft
Hnýðingur	Golfinho-de-bico-branco
Faisal	Faisal da Arábia Saudita
Ródesía	Rodésia
Persaflóasamstarfsráðið	Conselho de Cooperação do Golfo
Skuldakreppan í Evrópu	Crise da dívida pública da Zona Euro
Síðari iðnbyltingin	Segunda Revolução Industrial
Korndrjóli	Esporão-do-centeio
Kappadókía	Capadócia
Eldfell	Eldfell
Desert Eagle	Desert Eagle
John Edwards	John Edwards
24 stundir	24 Stundir
Sjálfsmorðsárás	Ataque suicida
Sandhverfa	Pregado
Sigma-algebra	Sigma-álgebra
Friðrik 2.	Frederico II
Open Season 2	Open Season 2
Bernarsáttmáli til verndar bókmenntum og listaverkum	Convenção da União de Berna
Ríkjafræði	Teoria das categorias
Sleikipinni	Pirulito
Characiformes	Characiformes
John Broadus Watson	John B. Watson
Iris Murdoch	Iris Murdoch
Petsórahaf	Mar de Pechora
Kýlapest	Peste bubônica
Cheddar-ostur	Cheddar (queijo)
Sólgleraugu	Óculos de sol
Múlasni	Bardoto
Daily Mirror	Daily Mirror
Q (tímarit)	Q (revista)
Plank	Planking
Forsætisráðherrar á Íslandi	Lista de primeiros-ministros da Islândia
Purdue-háskóli í West Lafayette	Universidade de Purdue
Rekill	Amento
Augnsíld	Alosa fallax
Lawrence Lessig	Lawrence Lessig
Taflmenn frá Ljóðhúsum	Peças de Lewis
Landnámabók	Landnámabók
Cauchyruna	Sucessão de Cauchy
Ásgeir Ásgeirsson	Ásgeir Ásgeirsson
Hinrik 4.	Henrique IV
Salsa	Salsa (desambiguação)
TNT	TNT
Hinrik 3.	Henrique III
LZ 129 Hindenburg	LZ 129 Hindenburg
Summumyndun	Somatório
Evrumynt	Moedas de euro
BH	BH
Ís	IS
Kímon	Címon
Dýrahringsmorðinginn	Assassino do Zodíaco
Alí	Ali (desambiguação)
Pauleta	Pedro Pauleta
En	EN
Hinrik 1.	Henrique I
Sjálfstæðisflokkurinn	Partido da Independência (Islândia)
Joseph Butler	Joseph Butler
Prófsumma	Soma de verificação
Krækilyng	Empetrum
Kerfill	Cerefólio
Wilson Bentley	Wilson Bentley
Will Ferrell	Will Ferrell
Lundarháskóli	Universidade de Lund
John Candy	John Candy
Díana	Diana
Jay Leno	Jay Leno
Edge	Edge
Sagó	Sagu
Joshua Lederberg	Joshua Lederberg
BT	BT
Portsmouth (aðgreining)	Portsmouth (desambiguação)
Pócahontas	Pocahontas (filme)
Charlotte	Charlotte (desambiguação)
Laurence Sterne	Laurence Sterne
Súludans	Pole dance
OM	OM
Appelsínusafi	Suco de laranja
Palestínuríki	Estado da Palestina
Cushing heilkenni	Síndrome de Cushing
Tegundir í bráðri útrýmingarhættu	Espécie em perigo crítico
Staðalform	Notação científica
Túlípanaæðið	Mania das tulipas
Mjólkuróþol	Intolerância à lactose
Judith Butler	Judith Butler
Tour de France 2012	Tour de France 2012
Húsavík (Skjálfanda)	Húsavík
The Mask	The Mask (filme)
Hrogn	Ova
Hringferð í sönnun	Petitio principii
Þeókrítos	Teócrito
Fremdardýrafræði	Primatologia
Saab	Saab
CP/M	CP/M
Glæstar vonir	Great Expectations
Bryce Canyon-þjóðgarðurinn	Parque Nacional de Bryce Canyon
Washington-háskóli	Universidade de Washington
Karólínska stofnunin	Instituto Karolinska
Hvannir	Angelica (género)
Fyrsta súran	Al-Fatiha
Nokia 3310	Nokia 3310
Þróunarsálfræði	Psicologia evolucionista
Chris Tucker	Chris Tucker
Network News Transfer Protocol	NNTP
Hunter S. Thompson	Hunter S. Thompson
Lawrence Durrell	Lawrence Durrell
Elbridge Gerry	Elbridge Gerry
Krossviður	Madeira compensada
Næturverðirnir	A Ronda Noturna
Raymond Carver	Raymond Clevie Carver, Jr.
King's Cross-járnbrautarstöðin	Estação de King's Cross
Matthew Flinders	Matthew Flinders
Launhelgar Míþrasar	Mitraísmo
The Ting Tings	The Ting Tings
Rumiko Takahashi	Rumiko Takahashi
Scania	Scania
Guanche	Guanches
Gagnrýni hreinnar skynsemi	Crítica da Razão Pura
Anthony Giddens	Anthony Giddens
Golden Gate	Golden Gate
Kingsley Amis	Kingsley Amis
Lögmál Daltons	Lei de Dalton
Giambologna	Giambologna
HMS Hood	HMS Hood (51)
Þriðja konungsættin	III dinastia egípcia
Seth Rogen	Seth Rogen
Dýralíffærafræði	Zootomia
Símaskrá	Lista telefônica
Íslenskt mannanafn	Nomes islandeses
Streymimiðlun	Streaming
Karkari	Carraca
Herúlar	Hérulos
Joseph-Ignace Guillotin	Joseph-Ignace Guillotin
Fornleifar	Artefacto (arqueologia)
Keisaraserkur	Amanita caesarea
Austurland	Austurland
Space Invaders	Space Invaders
XMLHttpRequest	XMLHttpRequest
Sameiginleg landbúnaðarstefna Evrópusambandsins	Política Agrícola Comum da União Europeia
Ken Livingstone	Ken Livingstone
The Killers	The Killers
Kóngulóafælni	Aracnofobia
Brimbrettarokk	Surf music
Ray Romano	Ray Romano
Philipskúrfan	Curva de Phillips
Walvis Bay	Walvis Bay
Margrét af Valois	Margarida de Valois
Timothy McVeigh	Timothy McVeigh
Hrekjanleiki	Falseabilidade
Original Animation Video	OVA
Flokkur evrópskra sósíalista	Partido Socialista Europeu
Fílebos (Platon)	Filebo
Tristan da Cunha	Tristão da Cunha (arquipélago)
Ópíumstríðin	Guerras do ópio
Skjaldarmerki Ástralíu	Brasão de armas da Austrália
Heljarhrun	Big Crunch
Mauritshuis	Mauritshuis
Samstarfsverkefni opinberra aðila og einkaaðila	Parceria público-privada
28 vikum síðar	28 Weeks Later
Halloween	Halloween (filme)
Listi yfir bæi í Vestur-Kongó	Lista de cidades no Congo
William Dampier	William Dampier
Blóðögðuveiki	Esquistossomose
Listi yfir akademískar fræðigreinar	Lista de disciplinas acadêmicas
Ísókrates	Isócrates
Qaqortoq	Qaqortoq
Giuseppe Rossi	Giuseppe Rossi
Skólphreinsun	Tratamento de águas residuais
Rússland í Söngvakeppni evrópskra sjónvarpsstöðva	Rússia no Festival Eurovisão da Canção
Anggun	Anggun
Jaden Smith	Jaden Smith
Skyldusiðfræði	Deontologia
Hattsveppir	Agaricales
Gilbert Gottfried	Gilbert Gottfried
FC Metz	Football Club de Metz
Frenzy	Frenzy
AIK	AIK Fotboll
Dómínókenningin	Teoria do dominó
Gusthlaup	Fluxo piroclástico
Stokkhólmsháskóli	Universidade de Estocolmo
Föðurlandsvinalögin	USA PATRIOT Act
Blóð-heila-hömlur	Barreira hematoencefálica
Hilary Putnam	Hilary Putnam
Knattspyrnufélag Reykjavíkur	Knattspyrnufélag Reykjavíkur
Sýrudjass	Acid jazz
Anaxímenes frá Lampsakos	Anaxímenes de Lâmpsaco
Vesturland	Vesturland
Michael Weatherly	Michael Weatherly
Skógarlíf 2	The Jungle Book 2
Akkilles Tatíos	Aquiles Tácio
ASUS Eee PC	ASUS Eee PC
Hairspray (2007)	Hairspray (filme de 2007)
Erfðamengjafræði	Genómica
Miðherji (körfuknattleikur)	Pivô (basquete)
Courtney Love	Courtney Love
Theodore Kaczynski	Theodore Kaczynski
The Small Faces	Small Faces
Skarð í vör	Fissura labiopalatal
Kambhænsn	Gallus
Mac OS X v10.5	Mac OS X v10.5
Sean Hayes	Sean Hayes
Skjaldbaka	Testudinata
Fótboltastríðið	Guerra do Futebol
Lífhimnubólga	Peritonite
Kill Bill	Kill Bill
Norðnorðvestur	Intriga Internacional
Hellsing (manga)	Hellsing
Aphex Twin	Aphex Twin
Nýi stíllinn keisarans	The Emperor's New Groove
Bob Sinclar	Bob Sinclar
Kaólín	Caulinita
Konungur ljónanna 3	O Rei Leão 3 - Hakuna Matata
Stuttbuxur	Short
Qaanaaq	Qaanaaq
The Devil Wears Prada (kvikmynd)	O Diabo Veste Prada (filme)
F/A-18E/F Super Hornet	F/A-18E/F Super Hornet
League of Legends	League of Legends
Asklepiosarstafurinn	Bordão de Asclépio
Háskólinn í Birmingham	Universidade de Birmingham
Josh Radnor	Josh Radnor
Cleveland Browns	Cleveland Browns
Nunarput utoqqarsuanngoravit	Nunarput utoqqarsuanngoravit
Daniel Tompkins	Daniel D. Tompkins
Þriðji viðauki stjórnarskrár Bandaríkjanna	Terceira Emenda à Constituição dos Estados Unidos
Kvenréttindi	Direitos da mulher
Teygni	Elasticidade (economia)
SI grunneining	Unidades básicas do SI
Þór	Thor (desambiguação)
Bylting fylkis	Matriz transposta
Gufupönk	Steampunk
Pinot noir	Pinot noir
Fjallahjól	Bicicleta de montanha
Francesco Hayez	Francesco Hayez
Hvítbók	White paper
Sjálfstæðisyfirlýsing Ísraels	Declaração de Independência do Estado de Israel
Velvet Revolver	Velvet Revolver
Leptín	Leptina
Evrópsku kvikmyndaverðlaunin	Prémios do Cinema Europeu
Brian Molko	Brian Molko
P. T. Barnum	P. T. Barnum
McFly	McFly
CSS (aðgreining)	CSS
Salisbury (aðgreining)	Salisbury (desambiguação)
Naglalakk	Verniz de unha
James-flói	Baía de James
Að	TO
Seneca	Seneca (desambiguação)
Gary Cahill	Gary Cahill
Kent (aðgreining)	Kent (desambiguação)
The Number of the Beast	The Number of the Beast
Berkeley	Berkeley
Stanley (aðgreining)	Stanley
Einhjól	Monociclo
Cleveland	Cleveland (desambiguação)
Náttúruhyggja	Naturalismo
Oscar	Oscar (desambiguação)
Platínuflokkur	Platinoides
Grafkerjamenningin	Cultura dos Campos de Urnas
Topaz	Topázio (filme)
Schiller	Schiller (desambiguação)
Camus	Camus
Horn	Horn
Fox	Fox
Daníel	Daniel
Abel	Abel (desambiguação)
Bush	Bush
Sín	Sin
Princeton	Princeton (desambiguação)
Reading	Reading (desambiguação)
KV	KV
Fé	FE
Jules Verne-verðlaunin	Troféu Júlio Verne
Hasdrúbal (aðgreining)	Asdrúbal (desambiguação)
Richter	Richter
Hinrik 6.	Henrique VI
NF	NF
Lepidus	Marco Emílio Lépido (desambiguação)
Abýdos	Abidos
Guantánamo	Guantánamo (desambiguação)
Samson	Samson
KR	KR
Stratford	Stratford
Listi yfir hæstu kirkjur heims	Igrejas mais altas do mundo
Medúsa (aðgreining)	Medusa
MMS	MMS
Haraldur hein	Haroldo III da Dinamarca
Kross	Kross
Lýkúrgos	Licurgo
Súla	Sula (desambiguação)
Mombasa	Mombaça (Quênia)
WTF	WTF
Ódessa (aðgreining)	Odessa (desambiguação)
Kyn	Sexo (desambiguação)
Möltukross	Cruz de Malta
Lúther	Luther
Land (aðgreining)	Land
Regína	Regina
Tómamengi	Conjunto vazio
Grunnstýringarkerfi	BIOS
Etna (aðgreining)	Etna (desambiguação)
LOL	LOL (desambiguação)
Fram	Fram
Dvína	Duína
Indiana	Indiana (desambiguação)
NH	NH
Akademía (aðgreining)	Academia (desambiguação)
Bókfell	Pergaminho
Marija Šerifović	Marija Šerifović
Þögul kvikmynd	Filme mudo
Styx (aðgreining)	Styx (desambiguação)
No-leikur	Noh
AFC	AFC
Kögurskottur	Thysanura
Miðgildi	Mediana (estatística)
365 miðlar	365 miðlar
Hard Candy	Hard Candy
Apple (aðgreining)	Apple (desambiguação)
Vera	Vera
Samsemd	Identidade
Matkempa	Champignon
Johann Bernoulli	Johann Bernoulli
McCarthy	McCarthy
XD	XD
Ammoníti	Ammonoidea
Rykmý	Chironomidae
Kleggjar	Tabanidae
Smákettir	Felis
Scipio	Scipio
Kali Yuga	Kali Yuga
Aspasía	Aspásia
Kiran Desai	Kiran Desai
Marta Vieira da Silva	Marta (futebolista)
Suzanne Collins	Suzanne Collins
Isla Fisher	Isla Fisher
Ísabella af Frakklandi, Englandsdrottning	Isabel de França, rainha de Inglaterra
Noomi Rapace	Noomi Rapace
Lea Michele	Lea Michele
Debra Messing	Debra Messing
Dianna Agron	Dianna Agron
Colleen McCullough	Colleen McCullough
Elena Katina	Lena Katina
Yulia Volkova	Yulia Volkova
Jane Lynch	Jane Lynch
Colbie Caillat	Colbie Caillat
Elinóra af Provence	Leonor da Provença
Wu Cheng'en	Wu Cheng'en
Julie Kavner	Julie Kavner
Gloria Gaynor	Gloria Gaynor
Blóðbaðið í München	Massacre de Munique
Leslie Mann	Leslie Mann
Tricia Helfer	Tricia Helfer
Jessica Szohr	Jessica Szohr
Haylie Duff	Haylie Duff
Melissa McCarthy	Melissa McCarthy
Geimrannsóknastofnun Indlands	Organização Indiana de Pesquisa Espacial
Dublin (aðgreining)	Dublin (desambiguação)
Átæk vörpun	Função sobrejectiva
Margrét Skotadrottning	Margarida da Escócia
Viola Davis	Viola Davis
Sela Ward	Sela Ward
Jóhanna 1. Navarradrottning	Joana I de Navarra
Katrín af Valois, Englandsdrottning	Catarina de Valois
Lafði Margrét Beaufort	Margarida Beaufort
Claude af Bretagne	Cláudia de França
Kai Lun	Cai Lun
Lily Tomlin	Lily Tomlin
Homer	Homer
Karaókí	Karaokê
Kúrí	Curie
Sojasósa	Molho de soja
Adela af Champagne	Adélia de Champanhe
Ísabella af Aragóníu, Frakklandsdrottning	Isabel de Aragão, rainha de França
Allison Janney	Allison Janney
Marcellus	Marcellus
Eva Herzigová	Eva Herzigová
Patricia Hearst	Patty Hearst
Lauren Holly	Lauren Holly
Carmen Kass	Carmen Kass
Kyra Sedgwick	Kyra Sedgwick
Marg Helgenberger	Marg Helgenberger
Melina Kanakaredes	Melina Kanakaredes
Matthildur af Boulogne	Matilde I, condessa de Bolonha
Catherine Hardwicke	Catherine Hardwicke
Charlie's Angels (kvikmynd)	Charlie's Angels (filme)
Charlie's Angels: Full Throttle	Charlie's Angels: Full Throttle
Margaret Brown	Margaret Brown
G.E.M. Anscombe	Elizabeth Anscombe
Zumbi	Zumbi dos Palmares
Sarah Chalke	Sarah Chalke
Berengaría af Navarra	Berengária de Navarra
Ísabella af Valois	Isabel de Valois, rainha de Inglaterra
Katie Cassidy	Katie Cassidy
Jóhanna 2. Navarradrottning	Joana II de Navarra
Ísabella af Hainaut	Isabel de Hainaut
Klementía af Ungverjalandi	Clemência da Hungria
SIM-kort	Cartão SIM
Ástríður Belgíudrottning	Astrid da Suécia
Jane Krakowski	Jane Krakowski
Mary Anning	Mary Anning
Michigan-háskóli	Universidade de Michigan
Meyjarflugur	Zygoptera
Phyllis Diller	Phyllis Diller
Sjálfstæði nýlendnanna	Descolonização
Adélaide de Maurienne	Adelaide de Saboia
Fernando Henrique Cardoso	Fernando Henrique Cardoso
Labrador	Labrador (desambiguação)
Cote de Pablo	Cote de Pablo
Advanced Packaging Tool	Advanced Packaging Tool
Konungsríkið Skotland	Reino da Escócia
Limbó	Limbo (desambiguação)
Margrét af Provence	Margarida de Provença
Foxtrot	Foxtrot (desambiguação)
Berry	Berry
Háskólinn í Manchester	Universidade de Manchester
Thule (aðgreiningarsíða)	Thule (desambiguação)
New Holland	Nova Holanda (desambiguação)
María af Brabant	Maria de Brabante
APA	APA
Villarrica	Villarrica
Borg (aðgreining)	Borg
Mason-sýsla	Condado de Mason
Edda	Edda (desambiguação)
Vermut	Vermute
Anna af Foix	Ana de Foix-Candale
Encarta	Encarta
Uppruni lífs	Abiogênese
Japanska innhafið	Mar Interior de Seto
Fall	Fall
Maurljón	Formiga-leão
Alberta	Alberta (desambiguação)
Paricutín	Paricutín
Pólhéri	Lebre-ártica
Arsinóe 1.	Arsínoe I
Bereníke 3.	Cleópatra Berenice (filha de Ptolemeu IX Sóter II)
Emily Procter	Emily Procter
Margrét af Frakklandi, Ungverjalandsdrottning	Margarida de França
Hailee Steinfeld	Hailee Steinfeld
Sasha Alexander	Sasha Alexander
Lidia Kopania	Lidia Kopania
Mary Higgins Clark	Mary Higgins Clark
Emmanuelle Vaugier	Emmanuelle Vaugier
Kendra Wilkinson	Kendra Wilkinson
Eva LaRue	Eva LaRue
Kat Dennings	Kat Dennings
Ingibjörg af Danmörku, Frakklandsdrottning	Ingeborg da Dinamarca, rainha de França
Jóhanna af Búrgund	Joana II, condessa da Borgonha
Soffía Amalía	Sofia Amália de Brunsvique-Luneburgo
Konstansa af Kastilíu	Constança de Castela, rainha de França
Margot Fonteyn	Margot Fonteyn
Kim Delaney	Kim Delaney
Jóhanna d'Évreux, Frakklandsdrottning	Joana de Évreux
Ísabella af Angoulême	Isabel de Angoulême
Jóhanna af Bourbon, Frakklandsdrottning	Joana de Bourbon
María af Lúxemborg	Maria do Luxemburgo
Jorja Fox	Jorja Fox
Kristin Chenoweth	Kristin Chenoweth
Pauley Perrette	Pauley Perrette
Charlotte Amalie af Hessen-Kassel	Carlota Amália de Hesse-Cassel
Félag með sérstakan tilgang	Sociedade de propósito específico
Nina Persson	Nina Persson
Yvonne Strahovski	Yvonne Strahovski
Ritgerð um ríkisvald	Dois Tratados sobre o Governo
Jelena Slesarenko	Yelena Slesarenko
Lynx	Lynx
Julia Louis-Dreyfus	Julia Louis-Dreyfus
Elinóra Kastilíudrottning	Leonor de Inglaterra
William John Macquorn Rankine	William John Macquorn Rankine
One Day	Um Dia (filme)
Natalia Tena	Natalia Tena
69 (aðgreining)	69 (desambiguação)
Fyrsta millitímabilið	Primeiro Período Intermediário
Lost	Lost
Blanka af Búrgund	Branca da Borgonha
Roseanne Barr	Roseanne Barr
Rem Koolhaas	Rem Koolhaas
Metrakerfið	Sistema métrico
Belgískur franki	Franco belga
Kathryn Joosten	Kathryn Joosten
Frjálslyndi lýðræðisflokkurinn (Japan)	Partido Liberal Democrata (Japão)
Nerima	Nerima
Jenna Dewan	Jenna Dewan
415 f.Kr.	415 a.C.
Gabrielle Anwar	Gabrielle Anwar
Edit af Skotlandi	Edite da Escócia
Linda Hunt	Linda Hunt
Emilíana Torrini	Emiliana Torrini
Opinn aðgangur	Acesso livre
Salt	Salt
Tveggja riddara tafl	Defesa dos Dois Cavalos
420 f.Kr.	420 a.C.
421 f.Kr.	421 a.C.
Reyklausi dagurinn	Dia Mundial Sem Tabaco
Dausgörn	Íleon
Guðaníundin	Enéade
Offa af Mersíu	Offa da Mércia
Skeggþerna	Gaivina-de-faces-brancas
Agnes af Frakklandi, keisaraynja	Inês da França
Viking-geimferðaáætlunin	Programa Viking
Melissos	Melisso de Samos
Vanessa Ferlito	Vanessa Ferlito
Vasco da Gama-brúin	Ponte Vasco da Gama
Castelsardo	Castelsardo
